# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:35:27.215002+00:00
date,nav
2019-04-24,1000.08720
2019-04-29,1000.98410
2019-05-03,1001.69650
2019-05-12,1003.34790
2019-05-17,1004.26120
2019-05-19,1004.63150
2019-05-24,1005.55790
2019-05-29,1006.49430
2019-06-06,1007.89670
2019-06-09,1008.38990
2019-06-16,1009.48920
2019-06-21,1010.24900
2019-06-23,1010.55570
2019-06-28,1011.31200
2019-07-08,1012.89100
2019-07-12,1013.50180
2019-07-14,1013.80830
2019-07-19,1014.56090
2019-07-28,1015.92920
2019-08-02,1016.67840
2019-08-04,1016.98050
2019-08-09,1017.71960
2019-08-18,1019.02590
2019-08-23,1019.73320
2019-08-26,1020.15850
2019-09-01,1021.01460
2019-09-06,1021.73160
2019-09-15,1023.00290
2019-09-20,1023.71410
2019-09-22,1024.00310
2019-09-26,1024.56830
2019-10-06,1026.28270
2019-10-11,1026.93230
2019-10-13,1027.19060
2019-10-18,1027.82930
2019-10-28,1029.15650
2019-11-01,1029.67680
2019-11-08,1030.60170
2019-11-10,1030.87310
2019-11-15,1031.53960
2019-11-24,1032.75340
2019-11-29,1033.42690
2019-12-01,1033.69720
2019-12-06,1034.34250
2019-12-15,1035.49800
2019-12-20,1036.15930
2019-12-29,1037.32460
2020-01-02,1037.81690
2020-01-05,1038.16260
2020-01-10,1038.75170
2020-01-17,1039.60660
2020-01-21,1040.17640
2020-01-26,1040.85820
2020-01-31,1041.48490
2020-02-07,1042.53790
2020-02-13,1043.37620
2020-02-23,1044.79300
2020-02-27,1045.33580
2020-03-04,1046.24790
2020-03-09,1047.13810
2020-03-15,1047.94200
2020-03-22,1048.83080
2020-03-25,1049.06030
2020-04-02,1049.21830
2020-04-08,1049.60250
2020-04-12,1049.91430
2020-04-19,1050.52140
2020-04-26,1051.04630
2020-04-30,1051.37620
2020-05-03,1051.66980
2020-05-10,1052.31440
2020-05-14,1052.57320
2020-05-21,1053.15840
2020-05-25,1053.46320
2020-05-29,1053.78530
2020-06-07,1054.55050
2020-06-12,1054.96540
2020-06-14,1055.12950
2020-06-21,1055.68990
2020-06-26,1056.02760
2020-06-30,1056.37080
2020-07-09,1057.14030
2020-07-11,1057.31260
2020-07-17,1057.82590
2020-07-21,1058.17060
2020-07-30,1058.94220
2020-08-02,1059.20580
2020-08-07,1059.63150
2020-08-15,1060.33460
2020-08-20,1060.76300
2020-08-22,1060.92220
2020-08-28,1061.41340
2020-09-01,1061.75700
2020-09-10,1062.51170
2020-09-13,1062.77440
2020-09-18,1063.22360
2020-09-25,1063.85320
2020-10-01,1064.43120
2020-10-04,1064.70150
2020-10-09,1065.16100
2020-10-18,1065.97330
2020-10-23,1066.41210
2020-10-25,1066.58510
2020-10-30,1066.99340
2020-11-08,1067.80480
2020-11-12,1068.13880
2020-11-16,1068.42800
2020-11-20,1068.72440
2020-11-28,1069.32690
2020-12-06,1069.97160
2020-12-10,1070.31690
2020-12-13,1070.57240
2020-12-18,1071.00790
2020-12-27,1071.81480
2021-01-01,1072.20980
2021-01-07,1072.70220
2021-01-09,1072.88240
2021-01-15,1073.40270
2021-01-22,1074.02550
2021-01-24,1074.20650
2021-01-29,1074.65630
2021-02-07,1075.47050
2021-02-12,1075.91530
2021-02-14,1076.08730
2021-02-19,1076.46660
2021-02-26,1077.00610
2021-03-07,1077.79850
2021-03-11,1078.16160
2021-03-14,1078.43550
2021-03-19,1078.89310
2021-03-26,1079.53040
2021-04-03,1080.27570
2021-04-05,1080.45550
2021-04-12,1081.04050
2021-04-18,1081.57650
2021-04-23,1082.02820
2021-04-25,1082.20730
2021-04-30,1082.64730
2021-05-09,1083.46520
2021-05-14,1083.92700
2021-05-16,1084.11340
2021-05-23,1084.76190
2021-05-30,1085.40530
2021-06-03,1085.76490
2021-06-06,1086.04970
2021-06-11,1086.51130
2021-06-18,1087.12800
2021-06-21,1087.45480
2021-06-25,1087.85690
2021-07-04,1088.75330
2021-07-09,1089.20860
2021-07-12,1089.49460
2021-07-16,1089.86360
2021-07-25,1090.72010
2021-07-30,1091.18320
2021-08-02,1091.46450
2021-08-06,1091.82510
2021-08-15,1092.63090
2021-08-20,1093.07570
2021-08-23,1093.33910
2021-08-28,1093.80280
2021-09-03,1094.34210
2021-09-12,1095.14870
2021-09-17,1095.60090
2021-09-19,1095.78990
2021-09-24,1096.25220
2021-10-03,1097.09390
2021-10-07,1097.47410
2021-10-14,1098.13440
2021-10-17,1098.40960
2021-10-24,1099.03180
2021-10-29,1099.34450
2021-11-07,1100.35320
2021-11-11,1100.80460
2021-11-17,1101.38540
2021-11-21,1101.77680
2021-11-26,1102.25200
2021-12-03,1102.93460
2021-12-05,1103.13530
2021-12-10,1103.59480
2021-12-19,1104.49950
2021-12-21,1104.63430
2021-12-27,1105.28460
2022-01-03,1105.97680
2022-01-07,1106.39790
2022-01-10,1106.69380
2022-01-14,1107.09190
2022-01-21,1107.78430
2022-01-30,1108.79980
2022-02-04,1109.29150
2022-02-06,1109.49520
2022-02-12,1110.12360
2022-02-16,1110.57620
2022-02-22,1111.15010
2022-02-27,1111.67550
2022-03-04,1112.16480
2022-03-11,1112.89480
2022-03-16,1113.46020
2022-03-20,1113.90950
2022-03-24,1114.33760
2022-04-03,1115.51100
2022-04-08,1116.06140
2022-04-13,1116.59160
2022-04-17,1117.03370
2022-04-22,1117.57560
2022-05-01,1118.57800
2022-05-05,1118.99210
2022-05-08,1119.37210
2022-05-13,1120.00560
2022-05-22,1121.14360
2022-05-26,1121.64050
2022-05-29,1122.04290
2022-06-03,1122.71440
2022-06-12,1124.01940
2022-06-13,1124.15120
2022-06-17,1124.62020
2022-06-26,1126.03880
2022-06-29,1126.39750
2022-07-04,1127.22470
2022-07-08,1127.82810
2022-07-18,1129.33410
2022-07-22,1129.70740
2022-07-25,1130.22520
2022-07-29,1130.68440
2022-08-07,1132.18400
2022-08-12,1132.99640
2022-08-16,1133.65520
2022-08-25,1135.18320
2022-08-31,1136.17570
2022-09-04,1136.86690
2022-09-11,1138.01090
2022-09-16,1138.65780
2022-09-18,1139.01050
2022-09-22,1139.57370
2022-09-28,1140.46240
2022-10-03,1141.70740
2022-10-12,1143.17930
2022-10-16,1143.93340
2022-10-21,1144.79650
2022-10-25,1145.58640
2022-10-31,1146.77360
2022-11-06,1147.92300
2022-11-11,1148.83970
2022-11-20,1150.48940
2022-11-24,1151.25630
2022-11-27,1151.82850
2022-12-02,1152.73920
2022-12-11,1154.39780
2022-12-15,1155.12810
2022-12-18,1155.73010
2022-12-23,1156.85020
2022-12-28,1157.88020
2023-01-03,1159.54970
2023-01-11,1160.99150
2023-01-15,1161.70650
2023-01-22,1163.09150
2023-01-26,1163.78450
2023-01-30,1164.60940
2023-02-08,1166.51230
2023-02-12,1167.30170
2023-02-19,1168.79090
2023-02-24,1169.77420
2023-02-26,1170.20630
2023-03-03,1171.28690
2023-03-12,1173.12160
2023-03-17,1174.13480
2023-03-19,1174.55810
2023-03-28,1176.34840
2023-04-02,1177.71170
2023-04-06,1178.62970
2023-04-16,1180.68040
2023-04-20,1181.50980
2023-04-26,1182.71230
2023-05-01,1183.79160
2023-05-05,1184.66770
2023-05-09,1185.58040
2023-05-17,1187.33390
2023-05-22,1188.57960
2023-05-26,1189.37120
2023-05-30,1190.20580
2023-06-04,1191.28590
2023-06-09,1192.25520
2023-06-18,1194.18730
2023-06-23,1195.28040
2023-06-25,1195.71220
2023-06-30,1196.81500
2023-07-09,1198.73630
2023-07-14,1199.81720
2023-07-16,1200.23410
2023-07-21,1201.28200
2023-07-30,1203.18410
2023-08-04,1204.26150
2023-08-06,1204.67920
2023-08-11,1205.67360
2023-08-20,1207.60820
2023-08-25,1208.69600
2023-08-27,1209.13810
2023-09-03,1210.70510
2023-09-08,1211.73680
2023-09-15,1213.31700
2023-09-17,1213.76780
2023-09-22,1214.87330
2023-09-27,1215.89640
2023-10-04,1217.65170
2023-10-13,1219.66220
2023-10-15,1220.11590
2023-10-20,1221.22680
2023-10-29,1223.24520
2023-11-03,1224.39510
2023-11-05,1224.85030
2023-11-10,1225.99950
2023-11-19,1228.08140
2023-11-24,1229.21770
2023-11-27,1229.91870
2023-12-03,1231.25990
2023-12-08,1232.39560
2023-12-17,1234.40370
2023-12-22,1235.58670
2023-12-25,1236.29780
2023-12-31,1237.74260
2024-01-04,1238.73280
2024-01-08,1239.70610
2024-01-17,1241.79680
2024-01-19,1242.21700
2024-01-28,1244.27600
2024-02-04,1245.93000
2024-02-09,1247.05960
2024-02-11,1247.52980
2024-02-16,1248.75960
2024-02-25,1250.87640
2024-03-01,1252.04150
2024-03-07,1253.46920
2024-03-10,1254.16330
2024-03-15,1255.25040
2024-03-22,1256.78890
2024-03-31,1259.21880
2024-04-02,1260.01340
2024-04-08,1261.59870
