# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:26.726356+00:00
date,fund_below_high,benchmark_below_high
2019-10-25,0.000000,
2019-10-31,0.000000,
2019-11-05,-0.006874,
2019-11-07,0.000000,
2019-11-13,-0.013365,
2019-11-19,-0.000508,
2019-11-22,-0.005858,
2019-11-28,0.000000,
2019-12-05,-0.011468,
2019-12-10,-0.025659,
2019-12-13,-0.010598,
2019-12-19,-0.001919,
2019-12-26,-0.010977,
2019-12-27,-0.001617,
2020-01-02,0.000000,
2020-01-06,-0.021130,
2020-01-10,0.000000,
2020-01-17,-0.000749,
2020-01-22,-0.010321,
2020-01-29,-0.004457,
2020-02-03,-0.043251,
2020-02-05,-0.018337,
2020-02-12,-0.015936,
2020-02-17,-0.033245,
2020-02-20,-0.022703,
2020-02-27,-0.056767,
2020-02-28,-0.084728,
2020-03-05,-0.089967,
2020-03-12,-0.222158,
2020-03-17,-0.265463,
2020-03-23,-0.384937,
2020-03-26,-0.327797,
2020-04-03,-0.347371,
2020-04-09,-0.273340,
2020-04-17,-0.236975,
2020-04-21,-0.269092,
2020-04-23,-0.249491,
2020-04-30,-0.224386,
2020-05-05,-0.267037,
2020-05-13,-0.247853,
2020-05-18,-0.287084,
2020-05-22,-0.270648,
2020-05-26,-0.264644,
2020-06-01,-0.214608,
2020-06-08,-0.181517,
2020-06-11,-0.196807,
2020-06-15,-0.199673,
2020-06-22,-0.169311,
2020-06-23,-0.158041,
2020-06-29,-0.166618,
2020-07-06,-0.147044,
2020-07-08,-0.151746,
2020-07-15,-0.153948,
2020-07-20,-0.128716,
2020-07-24,-0.135228,
2020-07-28,-0.126314,
2020-07-31,-0.125050,
2020-08-10,-0.089840,
2020-08-12,-0.092087,
2020-08-17,-0.085592,
2020-08-21,-0.072221,
2020-08-27,-0.046553,
2020-08-31,-0.086720,
2020-09-03,-0.064080,
2020-09-09,-0.091377,
2020-09-16,-0.050009,
2020-09-18,-0.046653,
2020-09-24,-0.112643,
2020-09-28,-0.082218,
2020-10-01,-0.075086,
2020-10-09,-0.053256,
2020-10-15,-0.074459,
2020-10-19,-0.061161,
2020-10-23,-0.045325,
2020-10-30,-0.069220,
2020-11-04,-0.053029,
2020-11-09,-0.022358,
2020-11-11,-0.013571,
2020-11-17,0.000000,
2020-11-25,-0.012351,
2020-11-27,0.000000,
2020-12-07,0.000000,
2020-12-10,-0.008790,
