# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:37:34.742833+00:00
date,nav
2019-06-10,1000.80160
2019-06-13,1001.27940
2019-06-17,1001.93410
2019-06-24,1003.14870
2019-06-28,1003.77740
2019-07-01,1004.40400
2019-07-04,1005.36040
2019-07-12,1007.61730
2019-07-16,1008.85820
2019-07-19,1009.37680
2019-07-26,1010.53870
2019-07-30,1011.56830
2019-08-05,1013.12640
2019-08-14,1014.94090
2019-08-19,1015.85870
2019-08-23,1016.59740
2019-08-27,1017.26900
2019-08-30,1017.88450
2019-09-06,1019.19330
2019-09-16,1020.88650
2019-09-20,1021.23610
2019-09-23,1021.71570
2019-09-27,1022.35630
2019-10-07,1024.63100
2019-10-14,1025.85020
2019-10-17,1026.35000
2019-10-22,1027.24090
2019-10-25,1027.65270
2019-11-04,1029.39990
2019-11-08,1029.86390
2019-11-13,1030.69960
2019-11-18,1031.39020
2019-11-22,1031.97910
2019-12-02,1033.52520
2019-12-05,1033.78010
2019-12-09,1034.37420
2019-12-13,1034.94180
2019-12-20,1035.86860
2019-12-23,1036.30120
2019-12-30,1037.46110
2020-01-03,1038.05260
2020-01-08,1038.75480
2020-01-16,1039.80360
2020-01-20,1040.37170
2020-01-27,1041.45200
2020-01-30,1041.83110
2020-02-03,1042.44620
2020-02-06,1042.85450
2020-02-14,1044.18940
2020-02-24,1045.64270
2020-02-27,1045.96040
2020-03-03,1046.64200
2020-03-06,1047.38870
2020-03-11,1049.74730
2020-03-19,1050.91030
2020-03-26,1051.84500
2020-03-31,1051.90860
2020-04-09,1052.30520
2020-04-15,1052.70820
2020-04-20,1053.15300
2020-04-24,1053.49440
2020-04-30,1053.94230
2020-05-11,1054.91750
2020-05-14,1055.10380
2020-05-18,1055.41000
2020-05-22,1055.71200
2020-05-27,1056.01560
2020-06-04,1056.50770
2020-06-08,1056.76490
2020-06-15,1057.24200
2020-06-19,1057.49880
2020-06-22,1057.68450
2020-06-26,1057.91130
2020-07-03,1058.30290
2020-07-07,1058.55810
2020-07-10,1058.76050
2020-07-20,1059.40770
2020-07-24,1059.67790
2020-07-27,1059.87790
2020-07-31,1060.13630
2020-08-10,1060.85230
2020-08-13,1061.06830
2020-08-17,1061.33800
2020-08-24,1061.77860
2020-08-25,1068.09150
2020-09-01,1069.01820
2020-09-07,1069.56740
2020-09-10,1069.59620
2020-09-16,1069.95030
2020-09-21,1070.58730
2020-09-25,1070.75130
2020-10-05,1072.14300
2020-10-08,1072.45370
2020-10-12,1072.90220
2020-10-19,1073.67640
2020-10-21,1073.81500
2020-10-26,1074.43380
2020-11-02,1075.03360
2020-11-06,1075.42020
2020-11-11,1075.90690
2020-11-20,1076.50510
2020-11-23,1076.71960
2020-11-27,1077.01220
