# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:34.494168+00:00
date,fund_value_inr,benchmark_value_inr
2024-02-07,10000.00,
2024-02-08,9964.26,
2024-02-09,9936.46,
2024-02-12,9891.79,
2024-02-14,9905.69,
2024-02-15,9956.32,
2024-02-16,10061.55,
2024-02-20,10063.54,
2024-02-21,10096.30,
2024-02-22,10117.14,
2024-02-26,10091.33,
2024-02-27,10171.75,
2024-02-28,10157.85,
2024-02-29,10126.08,
2024-03-04,9931.50,
2024-03-05,9894.77,
2024-03-06,9865.98,
2024-03-07,9888.81,
2024-03-12,9663.46,
2024-03-13,9459.94,
2024-03-14,9577.09,
2024-03-18,9646.58,
2024-03-19,9532.41,
2024-03-20,9559.22,
2024-03-22,9806.41,
2024-03-26,9827.26,
2024-03-27,9842.15,
2024-03-31,9912.64,
2024-04-01,10000.99,
2024-04-02,10023.83,
2024-04-03,9983.12,
2024-04-05,10035.74,
2024-04-08,10035.74,
2024-04-09,10036.73,
2024-04-10,10059.57,
2024-04-15,9913.63,
2024-04-16,9979.15,
2024-04-19,9853.07,
2024-04-22,9937.46,
2024-04-23,9925.54,
2024-04-25,10040.70,
2024-04-26,10071.48,
2024-04-29,10152.88,
2024-04-30,10127.07,
2024-05-02,10136.01,
2024-05-06,10222.38,
2024-05-07,9995.04,
2024-05-09,9874.91,
2024-05-10,9995.04,
2024-05-13,10075.45,
2024-05-14,10063.54,
2024-05-16,10151.89,
2024-05-17,10140.97,
2024-05-21,10192.59,
2024-05-22,10184.65,
2024-05-24,10059.57,
2024-05-27,10097.29,
2024-05-29,10132.04,
2024-05-30,9999.01,
2024-05-31,9977.17,
2024-06-04,9808.40,
2024-06-05,10188.62,
2024-06-06,10190.61,
2024-06-07,10326.62,
2024-06-10,10447.73,
2024-06-12,10537.08,
2024-06-13,10587.71,
2024-06-14,10652.24,
2024-06-19,10552.96,
2024-06-20,10574.80,
2024-06-24,10520.20,
2024-06-25,10528.14,
2024-06-26,10532.12,
2024-06-27,10487.44,
2024-07-01,10644.30,
2024-07-02,10617.49,
2024-07-03,10709.82,
2024-07-05,10952.05,
2024-07-08,10893.48,
2024-07-09,10972.90,
2024-07-10,11115.85,
2024-07-12,11042.39,
2024-07-15,11135.71,
2024-07-18,11133.72,
2024-07-19,10956.02,
2024-07-22,11022.54,
2024-07-23,11091.04,
2024-07-25,11260.80,
2024-07-26,11419.64,
2024-07-29,11453.39,
2024-07-30,11455.38,
2024-08-01,11569.54,
2024-08-02,11677.75,
2024-08-06,11460.34,
2024-08-07,11724.41,
2024-08-08,11766.11,
2024-08-09,11846.52,
2024-08-13,11862.40,
2024-08-14,11781.99,
2024-08-16,11922.96,
2024-08-20,12097.69,
2024-08-21,12211.85,
2024-08-22,12245.61,
2024-08-23,12314.11,
2024-08-27,12397.50,
2024-08-28,12513.65,
2024-08-29,12471.95,
2024-08-30,12670.51,
