# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:37:14.516535+00:00
date,nav
2013-01-03,11.26030
2013-01-11,11.15240
2013-01-15,11.34230
2013-01-28,11.37330
2013-02-08,11.05310
2013-02-19,11.12080
2013-02-28,10.64920
2013-03-08,11.12420
2013-03-20,10.65380
2013-04-02,10.75110
2013-04-09,10.28430
2013-04-12,10.34580
2013-04-25,11.05170
2013-05-13,11.16660
2013-05-17,11.54450
2013-05-23,11.14690
2013-06-06,11.10140
2013-06-13,10.69840
2013-06-26,10.49260
2013-07-02,10.99900
2013-07-15,11.33110
2013-07-23,11.42400
2013-08-06,10.42550
2013-08-14,10.80360
2013-08-21,9.98120
2013-08-28,9.94820
2013-09-03,10.05610
2013-09-10,11.09430
2013-09-19,11.50200
2013-09-30,10.78770
2013-10-11,11.46070
2013-10-28,11.47310
2013-11-01,11.86040
2013-11-13,11.26240
2013-11-22,11.27200
2013-12-09,11.95680
2013-12-17,11.53900
2013-12-27,11.86110
2014-01-07,11.57610
2014-01-15,11.87210
2014-01-23,11.91900
2014-02-03,11.27920
2014-02-13,11.27640
2014-02-19,11.56310
2014-03-03,11.69010
2014-03-07,12.26270
2014-03-21,12.19410
2014-04-02,12.67790
2014-04-16,12.52990
2014-04-23,12.83100
2014-05-08,12.49350
2014-05-13,13.31420
2014-05-29,13.57260
2014-06-09,14.39080
2014-06-13,14.18670
2014-06-26,14.09160
2014-07-07,14.66860
2014-07-11,14.05650
2014-07-24,14.75950
2014-08-01,14.34280
2014-08-08,14.27820
2014-08-19,14.90390
2014-09-03,15.30490
2014-09-16,14.96250
2014-09-22,15.36180
2014-10-07,14.80540
2014-10-16,14.63550
2014-10-31,15.71710
2014-11-13,15.78050
2014-11-24,16.10030
2014-11-28,16.20790
2014-12-05,16.10790
2014-12-17,15.16210
2014-12-23,15.60540
2015-01-07,15.28800
2015-01-14,15.61560
2015-01-27,16.80240
2015-02-09,16.06900
2015-02-19,16.76000
2015-02-26,16.35710
2015-03-05,16.85170
2015-03-13,16.30110
2015-03-27,15.74280
2015-04-13,16.66310
2015-04-21,15.81520
2015-04-27,15.50860
2015-05-07,15.20800
2015-05-22,15.96480
2015-06-01,15.92230
2015-06-11,15.08320
2015-06-22,15.82690
2015-06-29,15.76180
2015-07-09,15.79460
2015-07-16,16.33150
2015-07-28,15.82490
2015-08-06,16.29180
2015-08-18,16.06030
2015-08-24,14.81840
2015-08-28,15.18480
2015-09-07,14.36280
2015-09-18,15.15980
2015-09-29,14.89350
2015-10-09,15.54510
2015-10-23,15.76080
2015-10-30,15.30710
2015-11-13,14.74000
2015-11-27,15.07380
2015-12-09,14.44850
2015-12-17,14.88210
2015-12-29,15.03710
2016-01-01,15.10000
2016-01-18,13.94570
2016-01-21,13.80740
2016-01-31,14.34280
2016-02-11,13.24470
2016-02-22,13.72420
2016-02-29,13.26130
2016-03-09,14.27630
2016-03-21,14.62900
2016-04-05,14.43500
2016-04-08,14.33940
2016-04-27,15.14330
2016-05-04,14.61190
2016-05-10,14.95450
2016-05-24,14.69590
2016-05-30,15.53530
2016-06-14,15.42360
2016-06-24,15.41960
2016-07-04,15.96250
2016-07-08,15.86660
2016-07-25,16.47000
2016-08-03,16.28480
2016-08-08,16.59710
2016-08-17,16.43840
2016-08-26,16.33320
2016-09-06,17.04880
2016-09-22,16.89670
2016-09-29,16.35830
2016-10-17,16.22850
2016-10-24,16.60800
2016-11-01,16.44480
2016-11-10,16.29010
2016-11-21,15.20340
2016-11-30,15.67990
2016-12-09,15.74580
2016-12-22,15.23140
2016-12-26,15.10720
2017-01-05,15.75230
2017-01-20,15.88370
2017-01-25,16.36310
2017-02-07,16.83350
2017-02-15,16.74840
2017-02-22,17.12600
2017-03-10,17.13240
2017-03-16,17.57420
2017-03-27,17.37430
2017-04-05,17.78050
2017-04-19,17.46950
2017-04-26,17.93090
2017-05-05,17.79860
2017-05-24,17.93290
2017-05-26,18.36420
2017-06-05,18.54420
2017-06-20,18.51490
2017-06-28,18.20680
2017-07-10,18.73930
2017-07-13,18.97230
2017-08-01,19.39700
2017-08-07,19.28550
2017-08-11,18.64730
2017-08-28,19.01230
2017-09-08,19.04030
2017-09-18,19.45680
2017-09-27,18.66530
2017-10-04,18.97980
2017-10-16,19.57660
2017-11-01,19.97590
2017-11-06,19.99590
2017-11-15,19.34660
2017-11-27,19.87110
2017-12-06,19.19720
2017-12-11,19.72550
2017-12-26,20.15690
2018-01-03,19.99130
2018-01-16,20.44390
2018-01-29,21.24880
2018-02-06,20.04820
2018-02-08,20.20080
2018-02-26,20.19210
2018-03-07,19.37360
2018-03-12,19.87200
2018-03-23,19.28120
2018-04-02,19.90070
2018-04-16,20.50200
2018-04-30,20.91430
2018-05-04,20.67540
2018-05-14,21.03510
2018-05-23,20.29400
2018-05-31,20.92590
2018-06-13,21.16510
2018-06-19,20.91220
2018-06-28,20.69120
2018-07-12,21.55270
2018-07-19,21.43770
2018-07-31,22.20660
2018-08-13,22.23470
2018-08-20,22.63130
2018-08-28,23.00370
2018-09-14,22.58820
2018-09-24,21.52330
2018-10-05,20.26650
2018-10-16,20.77710
2018-10-26,19.71530
2018-11-02,20.72490
2018-11-12,20.58350
2018-11-19,21.13430
2018-12-06,20.81130
2018-12-17,21.35780
2018-12-24,20.90550
2019-01-01,21.38170
2019-01-14,21.02590
2019-01-21,21.47320
2019-01-29,20.83560
2019-02-07,21.65540
2019-02-19,20.76990
2019-02-25,21.33980
2019-03-08,21.59120
2019-03-19,22.49150
2019-03-27,22.31980
2019-04-05,22.83400
2019-04-26,23.00330
2019-05-09,22.12130
2019-05-15,21.82550
2019-05-20,23.09250
2019-06-03,23.57400
2019-06-17,22.72090
2019-06-20,23.04750
2019-07-04,23.26920
2019-07-08,22.51840
2019-07-17,22.90670
2019-08-01,21.57510
2019-08-09,21.82370
2019-08-22,21.07640
2019-08-27,21.76350
2019-09-05,21.31770
2019-09-19,21.05370
2019-09-26,22.66210
2019-10-07,21.76480
2019-10-18,22.84000
2019-11-07,23.47880
2019-11-13,23.07420
2019-11-27,23.56340
2019-12-06,23.19500
2019-12-10,23.08520
2019-12-18,23.73720
2020-01-06,23.31420
2020-01-14,24.08070
2020-01-24,23.89430
2020-02-02,22.74090
2020-02-06,23.64070
2020-02-20,23.49240
2020-02-28,21.79940
2020-03-05,21.89750
2020-03-23,15.17140
2020-03-26,17.10930
2020-04-03,16.10670
2020-04-17,18.36720
2020-04-30,19.45150
2020-05-18,17.46590
2020-05-26,17.99890
2020-06-03,19.88280
2020-06-15,19.41640
2020-06-23,20.65520
2020-06-30,20.33000
2020-07-07,21.22320
2020-07-15,20.98740
2020-07-28,22.35730
2020-08-04,22.00770
2020-08-18,22.64070
2020-08-28,23.03640
2020-09-09,22.29880
2020-09-16,22.96890
2020-09-24,21.46150
2020-10-08,23.42750
2020-10-15,23.15290
2020-10-21,23.68140
2020-11-02,23.10680
2020-11-11,25.19500
2020-11-25,25.37020
2020-12-07,26.46600
2020-12-17,27.14620
2020-12-21,26.36530
2020-12-30,27.67920
2021-01-12,28.90950
2021-01-27,27.78210
2021-01-29,27.12750
2021-02-08,30.16090
2021-02-22,29.37770
2021-03-03,30.53740
2021-03-10,30.38730
2021-03-25,28.69750
2021-04-01,29.79900
2021-04-12,28.66690
2021-04-29,29.83190
2021-05-04,29.10480
2021-05-14,29.52920
2021-05-21,30.53150
2021-06-07,31.70570
2021-06-09,31.45350
2021-06-25,31.85720
2021-07-01,31.52090
2021-07-15,32.05300
2021-07-20,31.53300
2021-08-04,32.76180
2021-08-11,32.70140
2021-08-23,32.97360
2021-08-31,34.30240
2021-09-06,34.78250
2021-09-23,35.57810
2021-10-01,35.04950
2021-10-13,36.29780
2021-10-18,36.90870
