# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:37.158487+00:00
date,fund_below_high,benchmark_below_high
2012-07-12,0.000000,
2012-07-23,-0.008509,
2012-07-30,0.000000,
2012-08-10,-0.001744,
2012-08-23,0.000000,
2012-08-31,-0.009287,
2012-09-07,0.000000,
2012-09-20,-0.001490,
2012-10-04,0.000000,
2012-10-10,-0.008006,
2012-10-18,-0.002915,
2012-10-30,-0.012236,
2012-11-07,0.000000,
2012-11-20,-0.009661,
2012-11-29,0.000000,
2012-12-13,-0.003865,
2012-12-21,-0.005379,
2013-01-01,0.000000,
2013-01-16,-0.004494,
2013-01-28,0.000000,
2013-01-29,-0.003636,
2013-02-13,-0.008821,
2013-02-26,-0.023668,
2013-03-04,-0.027414,
2013-03-11,-0.012768,
2013-03-21,-0.031536,
2013-04-02,-0.023256,
2013-04-16,-0.044588,
2013-04-25,-0.023476,
2013-05-09,-0.010469,
2013-05-15,-0.005844,
2013-05-23,-0.019409,
2013-06-07,-0.017687,
2013-06-13,-0.033954,
2013-06-26,-0.045541,
2013-07-02,-0.025720,
2013-07-15,-0.015415,
2013-07-23,-0.011239,
2013-08-06,-0.042088,
2013-08-14,-0.020673,
2013-08-28,-0.036583,
2013-09-10,-0.003783,
2013-09-19,0.000000,
2013-09-30,-0.019036,
2013-10-09,0.000000,
2013-10-17,-0.001635,
2013-11-01,0.000000,
2013-11-13,-0.016175,
2013-11-19,-0.002044,
2013-11-27,-0.009171,
2013-12-09,0.000000,
2013-12-17,-0.014581,
2014-01-01,-0.003456,
2014-01-10,-0.012666,
2014-01-23,-0.005432,
2014-01-28,-0.018899,
2014-02-04,-0.021032,
2014-02-13,-0.015826,
2014-02-26,0.000000,
2014-03-13,-0.004646,
2014-03-18,0.000000,
2014-04-02,0.000000,
2014-04-16,-0.006013,
2014-04-21,0.000000,
2014-05-08,-0.010547,
2014-05-14,0.000000,
2014-05-29,-0.009039,
2014-06-03,0.000000,
2014-06-19,-0.003876,
2014-06-24,0.000000,
2014-07-09,-0.006092,
2014-07-17,0.000000,
2014-07-28,-0.002742,
2014-08-01,-0.005351,
2014-08-12,0.000000,
2014-09-02,0.000000,
2014-09-08,0.000000,
2014-09-16,-0.008487,
2014-09-25,-0.012533,
2014-10-16,-0.008563,
2014-10-22,0.000000,
2014-11-05,-0.003084,
2014-11-12,0.000000,
2014-11-28,0.000000,
2014-12-05,-0.000714,
2014-12-17,-0.016563,
2014-12-22,-0.006389,
2015-01-07,-0.009467,
2015-01-12,-0.001800,
2015-01-29,0.000000,
2015-02-09,-0.012147,
2015-02-16,-0.004688,
2015-03-03,-0.000890,
2015-03-10,-0.012030,
2015-03-16,-0.014035,
2015-03-27,-0.015916,
2015-04-09,-0.000467,
2015-04-27,-0.017675,
2015-05-07,-0.021331,
2015-05-11,-0.012562,
2015-05-22,-0.003554,
2015-06-01,-0.002811,
2015-06-11,-0.019874,
2015-06-23,-0.002680,
2015-07-06,0.000000,
2015-07-10,-0.008404,
2015-07-22,0.000000,
2015-07-28,-0.012262,
2015-08-06,-0.005105,
2015-08-19,-0.001755,
2015-08-26,-0.024901,
2015-09-07,-0.032493,
2015-09-18,-0.014960,
2015-09-29,-0.019260,
2015-10-07,0.000000,
2015-10-23,0.000000,
2015-11-04,-0.008615,
2015-11-18,-0.025206,
2015-11-27,-0.015198,
2015-12-09,-0.027001,
2015-12-17,-0.015040,
2015-12-29,-0.008148,
2016-01-01,-0.005765,
2016-01-18,-0.031617,
2016-01-21,-0.035781,
2016-02-01,-0.017539,
2016-02-11,-0.039242,
2016-02-29,-0.039758,
2016-03-04,-0.009914,
2016-03-15,-0.011393,
2016-03-23,0.000000,
2016-04-07,-0.006228,
2016-04-27,0.000000,
2016-05-04,-0.009313,
2016-05-12,0.000000,
2016-05-24,-0.009267,
2016-05-27,0.000000,
2016-06-13,-0.007532,
2016-06-16,-0.000805,
2016-06-28,-0.003696,
2016-07-11,0.000000,
2016-07-18,-0.004382,
2016-07-28,0.000000,
2016-08-16,0.000000,
2016-08-25,-0.005660,
2016-09-06,0.000000,
2016-09-12,-0.011914,
2016-09-22,-0.002842,
2016-09-29,-0.015082,
2016-10-07,-0.006562,
2016-10-24,-0.003457,
2016-11-08,-0.008815,
2016-11-21,-0.032745,
2016-11-30,-0.016836,
2016-12-09,-0.015972,
2016-12-15,-0.024813,
2016-12-26,-0.036765,
2016-12-30,-0.022022,
2017-01-12,-0.003508,
2017-01-20,-0.004916,
2017-02-01,0.000000,
2017-02-15,-0.006486,
2017-02-20,0.000000,
2017-03-09,-0.004524,
2017-03-14,0.000000,
2017-03-30,0.000000,
2017-04-10,-0.002428,
2017-04-11,0.000000,
2017-04-21,-0.001763,
2017-05-05,-0.003393,
2017-05-12,0.000000,
2017-05-24,-0.007290,
2017-06-01,0.000000,
2017-06-20,-0.005315,
2017-06-28,-0.010667,
2017-07-07,-0.008559,
2017-07-17,0.000000,
2017-07-31,0.000000,
2017-08-07,0.000000,
2017-08-11,-0.008096,
2017-08-22,-0.009844,
2017-09-01,0.000000,
2017-09-20,-0.000202,
2017-09-25,-0.007104,
2017-10-05,-0.006294,
2017-10-12,-0.000232,
2017-11-02,-0.000024,
2017-11-08,-0.005378,
2017-11-15,-0.008434,
2017-11-27,-0.000082,
2017-12-06,-0.012437,
2017-12-22,0.000000,
2017-12-28,-0.001073,
2018-01-04,0.000000,
2018-01-23,0.000000,
2018-02-01,-0.006039,
2018-02-06,-0.017825,
2018-02-15,-0.013531,
2018-03-07,-0.022137,
2018-03-13,-0.017165,
2018-03-23,-0.026058,
2018-04-03,-0.016804,
2018-04-18,-0.004730,
2018-04-25,-0.005287,
2018-05-08,-0.000643,
2018-05-18,-0.008548,
2018-05-29,-0.003996,
2018-06-05,-0.009403,
2018-06-13,0.000000,
2018-06-27,-0.007422,
2018-06-28,-0.009728,
2018-07-10,0.000000,
2018-07-20,-0.005861,
2018-07-30,0.000000,
2018-08-10,-0.001650,
2018-08-17,0.000000,
2018-09-04,-0.004006,
2018-09-14,-0.000827,
2018-09-24,-0.008881,
2018-10-09,-0.019392,
2018-10-15,-0.009482,
2018-10-26,-0.019719,
2018-11-02,-0.001423,
2018-11-22,-0.009460,
2018-12-04,0.000000,
2018-12-10,-0.009021,
2018-12-17,0.000000,
2019-01-03,-0.006579,
2019-01-10,-0.000951,
2019-01-17,0.000000,
2019-01-28,-0.009341,
2019-02-06,0.000000,
2019-02-19,-0.011506,
2019-02-25,-0.001269,
2019-03-11,0.000000,
2019-03-25,-0.002174,
2019-03-28,0.000000,
2019-04-16,0.000000,
2019-04-26,-0.001538,
2019-05-08,-0.010755,
2019-05-15,-0.011725,
2019-05-24,-0.000428,
2019-06-03,0.000000,
2019-06-17,-0.007793,
2019-06-24,0.000000,
2019-07-10,-0.008763,
2019-07-16,-0.000219,
2019-07-30,-0.011682,
2019-08-08,-0.001313,
2019-08-22,-0.008587,
2019-08-26,0.000000,
2019-09-13,-0.001223,
2019-09-19,-0.012701,
2019-09-25,-0.004338,
2019-10-07,-0.012302,
2019-10-18,0.000000,
2019-11-07,-0.000104,
2019-11-13,-0.004918,
2019-11-28,0.000000,
2019-12-09,-0.007738,
2019-12-11,-0.010384,
2019-12-20,0.000000,
2020-01-07,-0.003761,
2020-01-13,0.000000,
2020-01-27,0.000000,
2020-02-03,-0.010466,
2020-02-07,-0.000997,
2020-02-24,0.000000,
2020-03-06,-0.018716,
2020-03-19,-0.117991,
