# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:35.587662+00:00
date,fund_value_inr,benchmark_value_inr
2015-05-21,10000.00,
2015-05-28,10034.04,
2015-06-04,9959.49,
2015-06-12,9943.56,
2015-06-19,10065.80,
2015-06-25,10002.69,
2015-07-06,10140.36,
2015-07-13,10086.20,
2015-07-15,10108.10,
2015-07-28,10181.96,
2015-08-04,10179.87,
2015-08-10,10222.68,
2015-08-19,10272.95,
2015-08-24,10194.31,
2015-09-01,10298.33,
2015-09-11,10305.30,
2015-09-18,10389.71,
2015-09-28,10380.55,
2015-10-05,10545.99,
2015-10-13,10508.57,
2015-10-26,10484.87,
2015-11-02,10522.40,
2015-11-09,10462.68,
2015-11-17,10500.00,
2015-11-30,10448.64,
2015-12-03,10502.00,
2015-12-14,10449.74,
2015-12-18,10497.91,
2015-12-31,10502.99,
2016-01-08,10551.17,
2016-01-15,10509.36,
2016-01-21,10553.36,
2016-02-03,10523.00,
2016-02-11,10550.37,
2016-02-23,10448.14,
2016-02-25,10397.87,
2016-03-03,10574.86,
2016-03-11,10609.50,
2016-03-21,10720.19,
2016-03-30,10759.71,
2016-04-12,10887.13,
2016-04-21,10866.72,
2016-04-29,10901.06,
2016-05-12,10929.04,
2016-05-18,10917.69,
2016-05-23,10932.92,
2016-06-01,10937.20,
2016-06-07,10961.29,
2016-06-15,10959.99,
2016-06-24,11000.41,
2016-07-04,11058.34,
2016-07-13,11197.50,
2016-07-18,11210.15,
2016-08-01,11427.35,
2016-08-03,11383.45,
2016-08-11,11514.45,
2016-08-22,11470.55,
2016-08-30,11542.42,
2016-09-07,11591.59,
2016-09-20,11582.44,
2016-09-26,11696.21,
2016-10-05,11784.11,
2016-10-07,11752.56,
2016-10-19,11779.93,
2016-11-03,11771.27,
2016-11-08,11799.44,
2016-11-11,11857.28,
2016-11-24,12399.19,
2016-12-06,12362.26,
2016-12-07,12204.28,
2016-12-15,12149.14,
2016-12-28,12130.82,
2017-01-02,12306.31,
2017-01-09,12279.84,
2017-01-19,12278.24,
2017-01-27,12325.92,
2017-02-07,12316.97,
2017-02-09,12012.66,
2017-02-22,11998.03,
2017-02-28,12042.62,
2017-03-10,12026.50,
2017-03-16,12090.11,
2017-03-27,12192.34,
2017-04-07,12188.65,
2017-04-13,12229.17,
2017-04-25,12258.04,
2017-05-02,12243.60,
2017-05-11,12280.83,
2017-05-15,12365.84,
2017-05-23,12452.64,
2017-06-05,12501.42,
2017-06-09,12691.55,
2017-06-14,12723.20,
2017-06-21,12755.95,
2017-07-04,12716.93,
2017-07-10,12792.28,
2017-07-21,12848.23,
2017-07-31,12846.24,
2017-08-03,12879.68,
2017-08-11,12885.56,
2017-08-28,12907.45,
2017-09-01,12938.11,
2017-09-07,12942.00,
2017-09-19,12918.60,
2017-09-21,12873.81,
2017-10-03,12916.21,
2017-10-09,12829.71,
2017-10-16,12890.83,
2017-10-30,12850.12,
2017-11-03,12887.75,
2017-11-14,12807.91,
2017-11-20,12924.08,
2017-11-27,12869.33,
2017-12-06,12903.47,
2017-12-12,12831.30,
2017-12-27,12827.12,
2017-12-28,12736.04,
2018-01-05,12853.60,
2018-01-16,12729.57,
2018-01-23,12827.52,
2018-02-01,12679.30,
2018-02-08,12753.06,
2018-02-22,12636.00,
2018-03-05,12656.11,
2018-03-08,12734.25,
2018-03-16,12801.44,
2018-03-26,12792.98,
2018-04-05,12907.85,
2018-04-17,12857.09,
2018-04-23,12771.88,
2018-04-27,12741.32,
2018-05-08,12788.50,
2018-05-16,12715.93,
2018-05-28,12778.75,
2018-06-05,12769.19,
2018-06-07,12724.40,
2018-06-20,12817.87,
2018-06-21,12835.68,
2018-06-29,12832.00,
2018-07-06,12849.82,
2018-07-17,12891.93,
2018-07-25,12902.58,
2018-08-01,12930.85,
2018-08-10,12954.34,
2018-08-16,12947.97,
2018-08-29,12971.56,
2018-09-10,12889.54,
2018-09-19,12952.65,
2018-09-25,12934.83,
2018-10-01,13020.44,
2018-10-09,13031.09,
2018-10-22,13078.87,
2018-10-31,13097.78,
2018-11-02,13118.78,
