# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:36.166259+00:00
stretch_ending,fund_return,benchmark_return
2022-07-11,0.163483,
2022-07-18,0.169656,
2022-07-25,0.177916,
2022-08-01,0.195041,
2022-08-08,0.194997,
2022-08-12,0.202366,
2022-08-22,0.205249,
2022-08-29,0.199423,
2022-09-05,0.206418,
2022-09-12,0.206864,
2022-09-19,0.186722,
2022-09-26,0.173836,
2022-10-03,0.181821,
2022-10-10,0.188304,
2022-10-17,0.173596,
2022-10-21,0.181469,
2022-10-31,0.179001,
2022-11-07,0.180642,
2022-11-14,0.182224,
2022-11-21,0.180287,
2022-11-28,0.180604,
2022-12-05,0.191089,
2022-12-12,0.186010,
2022-12-19,0.178236,
2022-12-26,0.166420,
2023-01-02,0.167825,
2023-01-09,0.165056,
2023-01-16,0.155255,
2023-01-23,0.157622,
2023-01-30,0.159188,
2023-02-06,0.157238,
2023-02-13,0.162505,
2023-02-20,0.170665,
2023-02-27,0.179435,
2023-03-06,0.191301,
2023-03-13,0.215601,
2023-03-20,0.257606,
2023-03-27,0.267004,
2023-04-03,0.297733,
2023-04-10,0.259921,
2023-04-17,0.247664,
2023-04-24,0.256200,
2023-04-28,0.254300,
2023-05-08,0.264078,
2023-05-15,0.266938,
2023-05-22,0.266209,
2023-05-29,0.253846,
2023-06-05,0.237213,
2023-06-12,0.241370,
2023-06-19,0.239153,
2023-06-26,0.230085,
2023-07-03,0.230922,
2023-07-10,0.228356,
2023-07-17,0.231074,
2023-07-24,0.225350,
2023-07-31,0.225154,
2023-08-07,0.215503,
2023-08-14,0.210558,
2023-08-21,0.199890,
2023-08-28,0.196125,
2023-09-04,0.214273,
2023-09-11,0.225344,
2023-09-18,0.216318,
2023-09-25,0.226073,
2023-09-29,0.206004,
2023-10-09,0.192924,
2023-10-16,0.201384,
2023-10-23,0.184590,
2023-10-30,0.184514,
2023-11-06,0.176768,
2023-11-13,0.168513,
2023-11-20,0.167785,
2023-11-24,0.161565,
2023-12-04,0.163971,
2023-12-11,0.165453,
2023-12-18,0.168641,
2023-12-22,0.165346,
2024-01-01,0.169133,
2024-01-08,0.151627,
2024-01-15,0.157214,
2024-01-19,0.151872,
2024-01-29,0.164783,
2024-02-05,0.143466,
2024-02-12,0.134518,
2024-02-19,0.148476,
2024-02-26,0.155955,
2024-03-04,0.149291,
2024-03-11,0.147469,
2024-03-18,0.149730,
2024-03-22,0.150371,
2024-04-01,0.152280,
2024-04-08,0.149048,
2024-04-15,0.149131,
2024-04-22,0.152713,
2024-04-29,0.149939,
2024-05-06,0.145753,
2024-05-13,0.147507,
2024-05-17,0.145141,
2024-05-27,0.145975,
2024-06-03,0.135065,
2024-06-10,0.141389,
2024-06-14,0.147301,
2024-06-24,0.145196,
2024-07-01,0.148142,
2024-07-08,0.153858,
2024-07-15,0.152468,
2024-07-22,0.150339,
2024-07-29,0.159900,
2024-08-05,0.141237,
2024-08-12,0.142113,
2024-08-19,0.149372,
2024-08-26,0.157369,
2024-09-02,0.148538,
2024-09-09,0.143398,
2024-09-16,0.148477,
2024-09-23,0.152190,
2024-09-30,0.157987,
2024-10-07,0.133832,
2024-10-14,0.131373,
2024-10-21,0.136456,
2024-10-28,0.132635,
2024-11-04,0.117635,
2024-11-11,0.121770,
2024-11-18,0.120590,
2024-11-25,0.139889,
2024-12-02,0.137571,
2024-12-09,0.138675,
2024-12-16,0.150457,
2024-12-23,0.135068,
2024-12-30,0.124594,
2025-01-06,0.121391,
2025-01-13,0.101203,
2025-01-20,0.123072,
2025-01-27,0.121907,
2025-02-03,0.124950,
2025-02-10,0.130179,
2025-02-17,0.117024,
2025-02-24,0.125806,
2025-03-03,0.124860,
2025-03-10,0.120475,
2025-03-17,0.111168,
2025-03-24,0.132569,
2025-03-31,0.119007,
2025-04-07,0.092032,
2025-04-11,0.111383,
2025-04-21,0.132463,
2025-04-28,0.136631,
2025-05-05,0.151654,
2025-05-12,0.172892,
2025-05-19,0.171953,
2025-05-26,0.170106,
2025-06-02,0.166478,
2025-06-09,0.180036,
2025-06-16,0.199673,
2025-06-23,0.183803,
2025-06-30,0.190676,
2025-07-07,0.178665,
2025-07-14,0.176493,
2025-07-21,0.168223,
2025-07-28,0.150171,
2025-08-04,0.145471,
2025-08-11,0.135361,
2025-08-18,0.141375,
2025-08-25,0.146427,
2025-09-01,0.140919,
2025-09-08,0.140955,
2025-09-15,0.152558,
2025-09-22,0.153935,
2025-09-26,0.143189,
2025-10-06,0.144413,
2025-10-13,0.150112,
2025-10-20,0.150308,
2025-10-27,0.147833,
2025-11-03,0.141018,
2025-11-10,0.136999,
2025-11-17,0.144936,
2025-11-24,0.136895,
2025-12-01,0.137209,
2025-12-08,0.135933,
2025-12-15,0.143972,
2025-12-22,0.157512,
2025-12-29,0.145314,
2026-01-05,0.154895,
2026-01-12,0.141563,
2026-01-19,0.140723,
2026-01-23,0.132962,
2026-02-02,0.129342,
2026-02-09,0.139321,
2026-02-16,0.138481,
2026-02-23,0.146234,
2026-03-02,0.132526,
2026-03-09,0.121308,
2026-03-16,0.115558,
2026-03-23,0.104587,
2026-03-30,0.094564,
2026-04-06,0.102604,
2026-04-13,0.120430,
2026-04-20,0.132015,
2026-04-27,0.119751,
2026-05-04,0.118845,
2026-05-11,0.115696,
2026-05-18,0.104514,
2026-05-25,0.107166,
2026-06-01,0.094590,
2026-06-08,0.090628,
2026-06-15,0.093870,
2026-06-22,0.107769,
2026-06-29,0.091348,
2026-07-06,0.098214,
2026-07-13,0.098003,
2026-07-20,0.095809,
2026-07-27,0.093744,
2026-08-03,0.107811,
2026-08-10,0.106980,
2026-08-17,0.107166,
2026-08-24,0.104566,
2026-08-31,0.095672,
2026-09-07,0.080664,
2026-09-11,0.075155,
2026-09-21,0.081808,
