# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:36:37.366312+00:00
date,nav
2022-08-05,10.00000
2022-08-10,10.07010
2022-08-11,10.15340
2022-08-17,10.30560
2022-08-18,10.33170
2022-08-22,10.06620
2022-08-24,10.13110
2022-08-29,9.94730
2022-08-30,10.21120
2022-09-02,10.10580
2022-09-07,10.13290
2022-09-08,10.23860
2022-09-13,10.39480
2022-09-15,10.28300
2022-09-16,10.08590
2022-09-20,10.25470
2022-09-22,10.14090
2022-09-26,9.79400
2022-09-29,9.67440
2022-10-03,9.71640
2022-10-04,9.93410
2022-10-07,9.95800
2022-10-11,9.76870
2022-10-13,9.78680
2022-10-18,10.06060
2022-10-21,10.11050
2022-10-27,10.20300
2022-10-31,10.37320
2022-11-01,10.44810
2022-11-03,10.39520
2022-11-07,10.48390
2022-11-10,10.37590
2022-11-15,10.60410
2022-11-16,10.60240
2022-11-21,10.45940
2022-11-23,10.52010
2022-11-24,10.63400
2022-11-29,10.72190
2022-12-01,10.83280
2022-12-02,10.76770
2022-12-07,10.68370
2022-12-08,10.71560
2022-12-12,10.65140
2022-12-14,10.74270
2022-12-16,10.51960
2022-12-20,10.59080
2022-12-23,10.25690
2022-12-27,10.43750
2022-12-29,10.47570
2023-01-02,10.47630
2023-01-03,10.49190
2023-01-06,10.28350
2023-01-10,10.31280
2023-01-12,10.28340
2023-01-16,10.30200
2023-01-18,10.46170
2023-01-20,10.37560
2023-01-24,10.43720
2023-01-27,10.14640
2023-02-01,10.14010
2023-02-03,10.27880
2023-02-07,10.20260
2023-02-09,10.30670
2023-02-13,10.23120
2023-02-15,10.37470
2023-02-16,10.39040
2023-02-21,10.27200
2023-02-22,10.11360
2023-02-27,10.02610
2023-02-28,9.97310
2023-03-02,9.98370
2023-03-08,10.23000
2023-03-10,10.03190
2023-03-13,9.88520
2023-03-15,9.77850
2023-03-17,9.85060
2023-03-22,9.88440
2023-03-24,9.76110
2023-03-28,9.77020
2023-03-31,10.00510
2023-04-05,10.11060
2023-04-10,10.15510
2023-04-12,10.26340
2023-04-17,10.20050
2023-04-19,10.15190
2023-04-21,10.16100
2023-04-26,10.24880
2023-04-28,10.39920
2023-05-02,10.45430
2023-05-05,10.41630
2023-05-08,10.50620
2023-05-10,10.54970
2023-05-15,10.59530
2023-05-16,10.52110
2023-05-18,10.46560
