# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:32.856749+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.209563,
2016-01-08,0.190810,
2016-01-15,0.174347,
2016-01-22,0.177363,
2016-01-29,0.185903,
2016-02-05,0.189251,
2016-02-12,0.168681,
2016-02-19,0.181541,
2016-02-26,0.181580,
2016-03-04,0.203500,
2016-03-18,0.219624,
2016-03-23,0.231189,
2016-04-01,0.223786,
2016-04-08,0.233495,
2016-04-13,0.241766,
2016-04-22,0.236951,
2016-04-29,0.231432,
2016-05-06,0.217125,
2016-05-20,0.221080,
2016-05-27,0.231842,
2016-06-03,0.237270,
2016-06-10,0.247282,
2016-06-17,0.244535,
2016-06-24,0.256683,
2016-07-01,0.257599,
2016-07-15,0.262985,
2016-07-22,0.260148,
2016-07-29,0.283139,
2016-08-05,0.299765,
2016-08-12,0.283147,
2016-08-19,0.308467,
2016-08-26,0.312038,
2016-09-02,0.323727,
2016-09-09,0.290545,
2016-09-23,0.280158,
2016-09-30,0.281650,
2016-10-07,0.282019,
2016-10-14,0.268579,
2016-10-21,0.264709,
2016-10-28,0.259934,
2016-11-04,0.238778,
2016-11-18,0.225368,
2016-11-25,0.233298,
2016-12-02,0.219957,
2016-12-09,0.223792,
2016-12-16,0.223594,
2016-12-23,0.203387,
2016-12-30,0.209702,
2017-01-06,0.223972,
2017-01-20,0.224902,
2017-01-27,0.245478,
2017-02-03,0.256088,
2017-02-10,0.258503,
2017-02-17,0.257320,
2017-02-23,0.252665,
2017-03-03,0.247314,
2017-03-10,0.234043,
2017-03-17,0.241291,
2017-03-24,0.234815,
2017-04-07,0.225576,
2017-04-13,0.229941,
2017-04-21,0.225353,
2017-04-28,0.233786,
2017-05-05,0.232293,
2017-05-12,0.220101,
2017-05-19,0.203423,
2017-05-26,0.204147,
2017-06-09,0.188402,
2017-06-16,0.184231,
2017-06-23,0.178735,
2017-06-30,0.174270,
2017-07-07,0.181153,
2017-07-14,0.193356,
2017-07-21,0.185429,
2017-08-04,0.188353,
2017-08-11,0.174760,
2017-08-18,0.168079,
2017-08-24,0.166362,
2017-09-01,0.160404,
2017-09-08,0.150583,
2017-09-15,0.160399,
2017-09-22,0.151970,
2017-09-29,0.146729,
2017-10-13,0.160323,
2017-10-18,0.156364,
2017-10-27,0.153094,
2017-11-03,0.151117,
2017-11-10,0.141421,
2017-11-17,0.136298,
2017-11-24,0.138850,
2017-12-01,0.126388,
2017-12-15,0.148358,
2017-12-22,0.144413,
2017-12-29,0.142135,
2018-01-05,0.146175,
2018-01-12,0.139701,
2018-01-19,0.132360,
2018-01-25,0.123564,
2018-02-09,0.118650,
2018-02-16,0.103697,
2018-02-23,0.109844,
2018-03-01,0.097713,
2018-03-09,0.096399,
2018-03-16,0.094433,
2018-03-23,0.092886,
2018-03-28,0.096282,
2018-04-06,0.096797,
2018-04-13,0.094606,
2018-04-27,0.124298,
2018-05-04,0.115376,
2018-05-11,0.122412,
2018-05-18,0.101060,
2018-05-25,0.104385,
2018-06-01,0.109698,
2018-06-08,0.121230,
2018-06-15,0.122659,
2018-06-29,0.103516,
2018-07-06,0.095810,
2018-07-13,0.100503,
2018-07-20,0.091600,
2018-07-27,0.107291,
2018-08-03,0.102913,
2018-08-10,0.104140,
2018-08-17,0.107837,
2018-08-31,0.143565,
2018-09-07,0.148099,
2018-09-14,0.137496,
2018-09-21,0.120382,
2018-09-28,0.108505,
2018-10-05,0.078276,
2018-10-12,0.085313,
2018-10-26,0.066590,
2018-11-02,0.090659,
2018-11-09,0.103521,
2018-11-16,0.103953,
2018-11-22,0.096843,
2018-11-30,0.098406,
2018-12-07,0.099861,
2018-12-14,0.112446,
2018-12-28,0.105554,
2019-01-04,0.107371,
2019-01-11,0.121875,
2019-01-18,0.128744,
2019-01-25,0.122220,
2019-02-01,0.122915,
2019-02-08,0.126932,
2019-02-15,0.130907,
2019-03-01,0.134254,
2019-03-08,0.128203,
2019-03-15,0.139323,
2019-03-22,0.126616,
2019-03-29,0.136300,
2019-04-05,0.134185,
2019-04-12,0.128238,
2019-04-18,0.122097,
2019-04-26,0.117369,
2019-05-03,0.120708,
2019-05-17,0.096766,
2019-05-24,0.117791,
2019-05-31,0.106510,
2019-06-07,0.101413,
2019-06-14,0.101670,
2019-06-21,0.094414,
2019-06-28,0.100099,
2019-07-12,0.075450,
2019-07-19,0.071300,
2019-07-26,0.065313,
2019-08-02,0.055452,
2019-08-09,0.055405,
2019-08-16,0.052602,
2019-08-23,0.042552,
2019-08-30,0.044168,
2019-09-06,0.038623,
2019-09-20,0.058083,
2019-09-27,0.061735,
2019-10-04,0.044784,
2019-10-11,0.055453,
2019-10-18,0.062741,
2019-10-25,0.052851,
2019-11-01,0.066938,
2019-11-08,0.071511,
2019-11-22,0.097450,
2019-11-29,0.096812,
2019-12-06,0.090252,
2019-12-13,0.091823,
2019-12-20,0.103173,
2019-12-27,0.107064,
2020-01-03,0.100860,
2020-01-17,0.096897,
2020-01-24,0.096409,
2020-01-31,0.084951,
2020-02-07,0.080283,
2020-02-14,0.072474,
2020-02-20,0.066518,
2020-02-28,0.041795,
2020-03-06,0.033804,
2020-03-20,-0.044955,
2020-03-27,-0.061074,
2020-04-03,-0.081284,
2020-04-09,-0.043687,
2020-04-17,-0.030008,
2020-04-24,-0.048402,
2020-04-30,-0.028303,
2020-05-08,-0.048016,
2020-05-15,-0.052054,
2020-05-29,-0.030446,
2020-06-05,-0.011705,
2020-06-12,-0.015817,
2020-06-19,-0.012632,
2020-06-26,-0.000471,
2020-07-03,-0.000952,
2020-07-10,-0.005047,
2020-07-17,-0.008348,
2020-07-31,-0.011603,
2020-08-07,-0.005212,
2020-08-14,0.001184,
2020-08-21,0.016507,
2020-08-28,0.024620,
2020-09-04,0.010447,
2020-09-11,0.001319,
2020-09-18,0.003673,
2020-09-25,-0.002988,
2020-10-09,0.011613,
2020-10-16,0.001853,
2020-10-23,0.016085,
2020-10-30,0.001563,
2020-11-06,0.017810,
2020-11-13,0.034358,
2020-11-20,0.039599,
2020-12-04,0.059763,
2020-12-11,0.059596,
2020-12-18,0.055779,
2020-12-24,0.049913,
2021-01-01,0.059691,
2021-01-08,0.067857,
2021-01-15,0.077925,
2021-01-22,0.064313,
2021-01-29,0.059777,
2021-02-12,0.113085,
2021-02-19,0.117616,
2021-02-26,0.104600,
2021-03-05,0.123220,
2021-03-12,0.120658,
2021-03-19,0.119044,
2021-03-26,0.111930,
2021-04-01,0.117225,
2021-04-16,0.103008,
2021-04-23,0.095439,
2021-04-30,0.099636,
2021-05-07,0.109935,
2021-05-14,0.112336,
2021-05-21,0.133959,
2021-05-28,0.132403,
2021-06-04,0.144613,
2021-06-18,0.136597,
2021-06-25,0.145098,
2021-07-02,0.148407,
2021-07-09,0.139423,
2021-07-16,0.150792,
2021-07-23,0.147626,
2021-07-30,0.142618,
2021-08-06,0.145200,
2021-08-13,0.147068,
2021-08-27,0.132647,
2021-09-03,0.153200,
2021-09-09,0.160498,
2021-09-17,0.168908,
2021-09-24,0.186209,
2021-10-01,0.197328,
2021-10-08,0.227023,
2021-10-22,0.238214,
2021-10-29,0.227305,
2021-11-03,0.223643,
2021-11-12,0.229868,
2021-11-18,0.217457,
2021-11-26,0.200231,
2021-12-03,0.199417,
2021-12-10,0.216930,
2021-12-17,0.191151,
2021-12-31,0.197682,
2022-01-07,0.208415,
2022-01-14,0.217724,
2022-01-21,0.206719,
2022-01-28,0.208985,
2022-02-04,0.213819,
2022-02-11,0.212557,
2022-02-18,0.212718,
2022-03-04,0.166346,
2022-03-11,0.163740,
2022-03-17,0.174132,
2022-03-25,0.170726,
2022-04-01,0.175370,
2022-04-08,0.185416,
2022-04-13,0.176534,
2022-04-29,0.169443,
2022-05-06,0.160600,
2022-05-13,0.155563,
2022-05-20,0.159202,
2022-05-27,0.148958,
2022-06-03,0.154844,
2022-06-10,0.148343,
2022-06-17,0.138996,
2022-06-24,0.143494,
2022-07-08,0.168668,
2022-07-15,0.160724,
2022-07-22,0.187689,
2022-07-29,0.202506,
2022-08-05,0.210414,
2022-08-12,0.225930,
2022-08-19,0.224757,
2022-08-26,0.224175,
2022-09-02,0.233840,
2022-09-16,0.231254,
2022-09-23,0.199956,
2022-09-30,0.208265,
2022-10-07,0.214901,
2022-10-14,0.208369,
2022-10-21,0.211372,
2022-10-28,0.215102,
2022-11-11,0.221017,
2022-11-18,0.211716,
2022-11-25,0.215451,
2022-12-02,0.222991,
2022-12-09,0.226307,
2022-12-16,0.212782,
2022-12-23,0.198336,
2022-12-30,0.205588,
2023-01-13,0.191199,
2023-01-20,0.196612,
2023-01-27,0.182206,
2023-02-03,0.192345,
2023-02-10,0.190273,
2023-02-17,0.195478,
2023-02-24,0.191935,
2023-03-03,0.213379,
2023-03-10,0.241278,
2023-03-24,0.359806,
2023-03-31,0.334370,
2023-04-06,0.327995,
2023-04-13,0.312254,
2023-04-21,0.308109,
2023-04-28,0.314919,
2023-05-05,0.320316,
2023-05-19,0.334820,
2023-05-26,0.329753,
