# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:34:32.756794+00:00
date,nav
2013-01-01,253.69140
2013-01-04,256.63390
2013-01-15,259.62570
2013-01-24,255.80240
2013-01-30,256.66280
2013-02-08,249.93820
2013-02-19,249.80770
2013-02-28,241.37000
2013-03-08,247.95150
2013-03-20,236.79850
2013-04-02,241.74070
2013-04-12,231.70260
2013-04-25,243.14400
2013-05-08,249.07650
2013-05-16,252.50210
2013-05-23,244.46000
2013-05-30,250.01880
2013-06-18,243.42170
2013-06-26,234.01610
2013-07-01,243.02350
2013-07-15,248.19190
2013-07-23,246.82560
2013-07-30,234.77340
2013-08-14,236.11780
2013-08-21,221.58750
2013-08-28,218.89550
2013-09-03,219.73270
2013-09-10,238.69250
2013-09-19,248.50130
2013-09-30,237.13960
2013-10-14,249.43130
2013-10-17,247.50490
2013-11-01,259.94170
2013-11-13,251.84600
2013-11-19,258.42190
2013-11-27,254.26790
2013-12-09,266.54160
2013-12-17,259.23980
2013-12-27,268.26620
2014-01-07,262.54590
2014-01-23,267.96650
2014-01-30,257.31670
2014-02-12,261.04770
2014-02-13,258.06340
2014-03-03,267.61210
2014-03-10,279.97740
2014-03-21,280.28130
2014-04-02,293.80540
2014-04-07,290.28860
2014-04-23,295.68470
2014-05-08,292.43330
2014-05-13,306.20420
2014-05-23,323.20460
2014-05-29,318.37540
2014-06-09,335.87030
2014-06-20,334.37560
2014-07-04,348.91780
2014-07-11,334.27970
2014-07-22,349.21290
2014-08-01,346.09030
2014-08-08,344.12130
2014-08-19,360.54780
2014-08-28,365.13090
2014-09-08,380.90030
2014-09-22,384.96150
2014-09-25,373.95280
2014-10-16,372.20700
2014-10-22,385.25250
2014-11-11,407.61710
2014-11-14,408.78550
2014-11-24,417.20780
2014-12-04,426.37310
2014-12-17,402.04270
2014-12-22,416.95880
2015-01-07,420.29050
2015-01-09,427.91260
2015-01-27,454.61640
2015-02-06,439.10590
2015-02-13,451.15080
2015-02-26,440.23540
2015-03-03,460.32390
2015-03-17,455.69000
2015-03-26,441.50890
2015-04-09,462.91340
2015-04-16,461.21690
2015-04-27,430.76330
2015-05-07,426.50040
2015-05-18,446.65220
2015-05-29,454.05000
2015-06-09,434.79730
2015-06-15,434.14480
2015-06-22,449.62730
2015-06-30,450.09880
2015-07-16,466.69020
2015-07-28,457.67080
2015-07-31,468.64120
2015-08-07,475.10460
2015-08-24,436.36320
2015-08-28,448.12780
2015-09-07,426.57420
2015-09-18,447.33990
2015-09-29,441.55140
