# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:34.397204+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.141267,
2016-01-08,0.122549,
2016-01-15,0.110267,
2016-01-22,0.110527,
2016-01-29,0.118811,
2016-02-05,0.122495,
2016-02-12,0.100037,
2016-02-19,0.113839,
2016-02-26,0.114232,
2016-03-11,0.128232,
2016-03-18,0.149194,
2016-03-23,0.160539,
2016-04-01,0.154968,
2016-04-08,0.161413,
2016-04-13,0.167376,
2016-04-22,0.161573,
2016-04-29,0.154956,
2016-05-06,0.141387,
2016-05-20,0.144653,
2016-05-27,0.158848,
2016-06-03,0.170375,
2016-06-10,0.180527,
2016-06-17,0.177814,
2016-06-24,0.190825,
2016-07-01,0.187679,
2016-07-15,0.196018,
2016-07-22,0.193945,
2016-07-29,0.217578,
2016-08-05,0.235271,
2016-08-12,0.216677,
2016-08-19,0.238500,
2016-08-26,0.240927,
2016-09-02,0.250451,
2016-09-09,0.215296,
2016-09-23,0.208389,
2016-09-30,0.209249,
2016-10-07,0.204961,
2016-10-14,0.191708,
2016-10-21,0.186415,
2016-10-28,0.183158,
2016-11-04,0.165987,
2016-11-11,0.178945,
2016-11-25,0.167538,
2016-12-02,0.158863,
2016-12-09,0.158575,
2016-12-16,0.162288,
2016-12-23,0.145362,
2016-12-30,0.151895,
2017-01-06,0.165484,
2017-01-20,0.164073,
2017-01-27,0.187283,
2017-02-03,0.196220,
2017-02-10,0.196770,
2017-02-17,0.197444,
2017-02-23,0.198207,
2017-03-03,0.190344,
2017-03-10,0.174258,
2017-03-17,0.181759,
2017-03-31,0.171629,
2017-04-07,0.169063,
2017-04-13,0.174268,
2017-04-21,0.168245,
2017-04-28,0.181584,
2017-05-05,0.181538,
2017-05-12,0.166223,
2017-05-19,0.152168,
2017-06-02,0.149404,
2017-06-09,0.136434,
2017-06-16,0.134367,
2017-06-23,0.134410,
2017-06-30,0.130244,
2017-07-07,0.136848,
2017-07-14,0.151850,
2017-07-21,0.145084,
2017-08-04,0.147526,
2017-08-11,0.135323,
2017-08-18,0.127957,
2017-08-24,0.129808,
2017-09-01,0.122279,
2017-09-08,0.114384,
2017-09-15,0.129044,
2017-09-22,0.122087,
2017-09-29,0.120964,
2017-10-13,0.133351,
2017-10-18,0.128042,
2017-10-27,0.128170,
2017-11-03,0.124753,
2017-11-10,0.115297,
2017-11-17,0.110190,
2017-11-24,0.112305,
2017-12-01,0.099104,
2017-12-15,0.124422,
2017-12-22,0.121461,
2017-12-29,0.122002,
2018-01-05,0.128557,
2018-01-12,0.122288,
2018-01-19,0.113173,
2018-01-25,0.106634,
2018-02-09,0.100020,
2018-02-16,0.088530,
2018-02-23,0.092050,
2018-03-01,0.078609,
2018-03-09,0.078786,
2018-03-16,0.077513,
2018-03-23,0.074603,
2018-03-28,0.078095,
2018-04-06,0.079162,
2018-04-13,0.077144,
2018-04-27,0.102789,
2018-05-04,0.094965,
2018-05-11,0.105013,
2018-05-18,0.085368,
2018-05-25,0.088530,
2018-06-01,0.094523,
2018-06-08,0.105525,
2018-06-15,0.107315,
2018-06-29,0.090029,
2018-07-06,0.083064,
2018-07-13,0.087842,
2018-07-20,0.078121,
2018-07-27,0.095514,
2018-08-03,0.091941,
2018-08-10,0.092595,
2018-08-17,0.096425,
2018-08-31,0.135516,
2018-09-07,0.139226,
2018-09-14,0.128644,
2018-09-21,0.114330,
2018-09-28,0.105168,
2018-10-05,0.073675,
2018-10-12,0.079040,
2018-10-26,0.057617,
2018-11-02,0.082596,
2018-11-09,0.096059,
2018-11-16,0.097565,
2018-11-22,0.091710,
2018-11-30,0.091739,
2018-12-07,0.093983,
2018-12-14,0.106447,
2018-12-28,0.098912,
2019-01-04,0.102042,
2019-01-11,0.116692,
2019-01-18,0.120851,
2019-01-25,0.114430,
2019-02-01,0.115173,
2019-02-08,0.122549,
2019-02-15,0.124797,
2019-03-01,0.127574,
2019-03-08,0.120287,
2019-03-15,0.128983,
2019-03-22,0.118542,
2019-03-29,0.127744,
2019-04-05,0.126842,
2019-04-12,0.120350,
2019-04-18,0.115036,
2019-04-26,0.110723,
2019-05-03,0.114784,
2019-05-17,0.094438,
2019-05-24,0.116284,
