# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:34:30.105826+00:00
date,nav
2013-01-01,13.15560
2013-01-07,13.50400
2013-01-16,13.49790
2013-01-25,13.20100
2013-02-07,12.94910
2013-02-15,13.24380
2013-02-26,13.00050
2013-03-01,13.34210
2013-03-18,12.77470
2013-03-22,12.71750
2013-04-03,12.91510
2013-04-08,12.63100
2013-04-17,12.66620
2013-04-25,13.06030
2013-05-09,13.62310
2013-05-16,13.56320
2013-05-22,13.81320
2013-05-31,13.73220
2013-06-18,13.52880
2013-06-25,12.87840
2013-06-28,13.47860
2013-07-12,13.89100
2013-07-19,13.74100
2013-08-02,14.20960
2013-08-07,13.96060
2013-08-26,14.35780
2013-09-03,15.18950
2013-09-06,14.71060
2013-09-20,15.07330
2013-09-30,14.65860
2013-10-14,14.78400
2013-10-22,15.19250
2013-10-28,14.97100
2013-11-13,14.87790
2013-11-19,15.19800
2013-12-02,15.13830
2013-12-06,14.76690
2013-12-17,14.67590
2014-01-01,14.83330
2014-01-06,14.53140
2014-01-22,14.45320
2014-01-28,14.11950
2014-02-05,13.83900
2014-02-19,14.36310
2014-02-24,14.15270
2014-03-07,14.43530
2014-03-20,13.96620
2014-04-03,14.61200
2014-04-07,14.49390
2014-04-23,14.89540
2014-05-08,14.30740
2014-05-14,14.60100
2014-05-21,14.50330
2014-06-03,15.03920
2014-06-16,15.25600
2014-06-20,15.11230
2014-07-03,15.62770
2014-07-09,15.47890
2014-07-21,15.67310
2014-07-30,16.15950
2014-08-08,15.98780
2014-08-19,16.30770
2014-08-25,16.16970
2014-09-09,16.34700
2014-09-16,15.91300
2014-10-07,15.64510
2014-10-16,15.19870
2014-10-29,15.81760
2014-11-05,15.74630
2014-11-13,16.07780
2014-11-28,16.27940
2014-12-02,16.02020
2014-12-17,15.66880
2014-12-22,16.17790
2015-01-02,16.28110
2015-01-16,15.79550
2015-01-27,16.29170
2015-02-02,15.97840
2015-02-13,16.22530
2015-02-27,16.21840
2015-03-02,16.37400
2015-03-16,16.09780
2015-03-27,16.34400
2015-04-10,17.29130
2015-04-20,17.31880
2015-04-27,17.81570
2015-05-07,17.26610
2015-05-20,17.43770
2015-05-26,17.57950
2015-06-09,16.73940
2015-06-12,16.93060
2015-06-24,17.07980
2015-07-08,15.87620
2015-07-13,16.42590
2015-07-23,16.33080
2015-07-28,15.86740
2015-08-14,15.61220
2015-08-24,14.28240
2015-08-31,15.10380
2015-09-07,14.46720
2015-09-18,15.27010
2015-09-29,14.28160
2015-10-07,15.28680
2015-10-20,15.68810
2015-11-04,16.17620
2015-11-16,15.48560
2015-11-20,15.99670
2015-12-02,16.09090
2015-12-14,15.37580
2015-12-17,15.75570
2016-01-01,15.61960
2016-01-11,14.57250
2016-01-21,14.25800
2016-02-01,14.96690
2016-02-12,14.45010
2016-02-18,15.13420
2016-02-29,15.12020
2016-03-14,15.79170
2016-03-22,16.03930
2016-03-29,15.69600
2016-04-08,15.75020
2016-04-21,16.28800
2016-05-06,15.71530
2016-05-13,15.59350
2016-05-24,15.74010
2016-06-07,16.45540
2016-06-13,16.10190
2016-06-22,16.54890
2016-06-28,16.22640
2016-07-15,17.20880
2016-07-20,17.23470
2016-08-03,17.38250
2016-08-08,17.83180
2016-08-16,18.06120
2016-08-26,18.03410
2016-09-07,18.49460
2016-09-15,17.96380
2016-09-29,18.44730
2016-10-13,17.96650
2016-10-25,18.30840
2016-11-03,17.38930
2016-11-15,16.82440
2016-11-23,17.18930
2016-11-30,17.47540
2016-12-14,17.17240
2016-12-23,16.59080
2017-01-02,16.88140
2017-01-12,17.74230
2017-01-20,17.65420
2017-01-27,18.12630
2017-02-03,18.01520
2017-02-15,18.06510
2017-02-23,18.42260
2017-03-10,18.19320
2017-03-21,18.79000
2017-03-31,18.52910
2017-04-05,18.75940
2017-04-19,18.42320
2017-05-02,19.11010
2017-05-11,19.69790
2017-05-18,19.69640
2017-05-31,19.78940
2017-06-09,20.39390
2017-06-16,20.06870
2017-06-22,20.36800
2017-07-07,20.10300
2017-07-19,21.08230
2017-07-27,21.31940
2017-08-03,20.80780
2017-08-11,20.34010
2017-08-24,21.22360
2017-09-06,21.05020
2017-09-19,21.98660
2017-09-28,21.57950
2017-10-06,22.25900
2017-10-17,22.60940
2017-10-26,22.03750
2017-11-07,23.01680
2017-11-15,22.74420
2017-11-22,23.68960
