# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:35.589697+00:00
date,fund_below_high,benchmark_below_high
2024-07-29,0.000000,
2024-07-31,0.000000,
2024-08-01,-0.001721,
2024-08-02,-0.007417,
2024-08-05,-0.023110,
2024-08-06,-0.026581,
2024-08-07,-0.015644,
2024-08-08,-0.018937,
2024-08-09,-0.013666,
2024-08-12,-0.013735,
2024-08-13,-0.020865,
2024-08-14,-0.021221,
2024-08-16,-0.006843,
2024-08-19,-0.006319,
2024-08-20,-0.000554,
2024-08-21,0.000000,
2024-08-23,0.000000,
2024-08-26,0.000000,
2024-08-27,0.000000,
2024-08-28,0.000000,
2024-08-29,-0.000949,
2024-08-30,0.000000,
2024-09-02,-0.001805,
2024-09-03,0.000000,
2024-09-04,0.000000,
2024-09-05,0.000000,
2024-09-06,-0.009095,
2024-09-09,-0.009843,
2024-09-10,-0.003003,
2024-09-11,-0.006025,
2024-09-12,0.000000,
2024-09-16,-0.000553,
2024-09-17,0.000000,
2024-09-18,-0.001825,
2024-09-19,-0.004754,
2024-09-20,0.000000,
2024-09-23,0.000000,
2024-09-24,-0.003817,
2024-09-25,-0.007549,
2024-09-26,-0.008419,
2024-09-27,-0.010767,
2024-09-30,-0.015219,
2024-10-01,-0.013985,
2024-10-03,-0.032413,
2024-10-07,-0.054704,
2024-10-08,-0.040420,
2024-10-09,-0.033722,
2024-10-10,-0.034948,
2024-10-11,-0.032244,
2024-10-14,-0.027661,
2024-10-15,-0.024705,
2024-10-16,-0.026791,
2024-10-17,-0.039484,
2024-10-18,-0.036977,
2024-10-21,-0.043778,
2024-10-22,-0.063637,
2024-10-23,-0.059128,
2024-10-24,-0.062505,
2024-10-25,-0.074946,
2024-10-29,-0.062907,
2024-10-30,-0.066256,
2024-10-31,-0.062786,
2024-11-04,-0.068370,
2024-11-05,-0.064367,
2024-11-06,-0.047595,
