# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:39.171323+00:00
stretch_ending,fund_return,benchmark_return
2025-10-12,0.062993,
2025-10-19,0.062936,
2025-10-26,0.062884,
2025-11-02,0.062848,
2025-11-09,0.062801,
2025-11-16,0.062770,
2025-11-23,0.062712,
2025-11-30,0.062664,
2025-12-07,0.062628,
2025-12-14,0.062553,
2025-12-21,0.062478,
2025-12-28,0.062397,
2026-01-04,0.062336,
2026-01-11,0.062280,
2026-01-18,0.062210,
2026-01-22,0.061978,
2026-02-01,0.062021,
2026-02-08,0.061888,
2026-02-15,0.061772,
2026-02-22,0.061665,
2026-03-01,0.061554,
2026-03-08,0.061450,
2026-03-15,0.061352,
2026-03-22,0.061248,
2026-03-29,0.061149,
2026-04-05,0.060785,
2026-04-12,0.060699,
2026-04-19,0.060771,
2026-04-26,0.060660,
2026-05-03,0.060556,
2026-05-10,0.060439,
2026-05-17,0.060329,
2026-05-24,0.060137,
2026-05-31,0.060076,
2026-06-07,0.059984,
2026-06-14,0.059884,
2026-06-21,0.059785,
2026-06-28,0.059704,
2026-07-05,0.059609,
2026-07-12,0.059517,
2026-07-19,0.059431,
2026-07-26,0.059318,
2026-08-02,0.059228,
2026-08-09,0.059124,
2026-08-16,0.059017,
2026-08-23,0.058887,
2026-08-30,0.058759,
2026-09-06,0.058600,
2026-09-10,0.058316,
2026-09-20,0.058316,
