# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:33:45.165132+00:00
date,fund_value_inr,benchmark_value_inr
2024-06-06,10000.00,
2024-06-07,10106.69,
2024-06-10,10129.50,
2024-06-11,10143.25,
2024-06-12,10160.88,
2024-06-13,10172.83,
2024-06-14,10198.14,
2024-06-18,10239.08,
2024-06-20,10214.28,
2024-06-21,10191.86,
2024-06-24,10222.54,
2024-06-25,10232.21,
2024-06-26,10243.56,
2024-06-27,10276.54,
2024-06-28,10320.57,
2024-07-02,10361.01,
2024-07-03,10430.74,
2024-07-04,10447.48,
2024-07-05,10465.61,
2024-07-08,10498.08,
2024-07-09,10533.84,
2024-07-10,10525.58,
2024-07-11,10581.86,
2024-07-15,10662.25,
2024-07-16,10702.00,
2024-07-18,10725.51,
2024-07-19,10638.14,
2024-07-22,10678.89,
2024-07-23,10636.95,
2024-07-25,10625.29,
2024-07-26,10708.37,
2024-07-29,10753.00,
2024-07-30,10789.76,
2024-07-31,10802.51,
2024-08-01,10798.03,
2024-08-02,10725.61,
2024-08-06,10500.77,
2024-08-07,10636.75,
2024-08-08,10606.37,
2024-08-09,10652.79,
2024-08-12,10650.69,
2024-08-13,10590.92,
2024-08-14,10561.84,
2024-08-19,10756.09,
2024-08-20,10789.46,
2024-08-21,10834.79,
2024-08-22,10846.64,
2024-08-23,10824.72,
2024-08-26,10868.16,
2024-08-27,10875.73,
2024-08-29,10874.93,
2024-08-30,10896.85,
2024-09-02,10889.87,
2024-09-03,10912.09,
2024-09-04,10884.40,
2024-09-05,10923.84,
2024-09-06,10838.07,
2024-09-10,10850.72,
2024-09-11,10823.43,
2024-09-12,10918.76,
2024-09-13,10933.90,
2024-09-16,10933.21,
2024-09-17,10934.10,
2024-09-18,10903.72,
2024-09-19,10877.32,
2024-09-23,11011.41,
2024-09-24,11012.20,
2024-09-25,11011.70,
2024-09-26,11050.95,
2024-09-27,11064.80,
2024-09-30,11021.07,
2024-10-01,11022.96,
2024-10-04,10848.04,
2024-10-07,10712.66,
2024-10-08,10785.28,
2024-10-09,10800.92,
2024-10-10,10788.76,
2024-10-11,10809.68,
2024-10-14,10850.72,
2024-10-16,10857.30,
2024-10-17,10766.35,
2024-10-18,10762.17,
2024-10-21,10742.24,
