# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:44.382213+00:00
date,fund_below_high,benchmark_below_high
2024-12-03,0.000000,
2024-12-04,-0.000694,
2024-12-05,0.000000,
2024-12-06,0.000000,
2024-12-09,-0.009843,
2024-12-10,-0.005020,
2024-12-11,-0.002264,
2024-12-12,-0.008169,
2024-12-13,-0.003642,
2024-12-16,0.000000,
2024-12-17,-0.003834,
2024-12-18,-0.004523,
2024-12-19,-0.007079,
2024-12-20,-0.023007,
2024-12-23,-0.024481,
2024-12-24,-0.018091,
2024-12-26,-0.019959,
2024-12-27,-0.017599,
2024-12-30,-0.016124,
2024-12-31,-0.013175,
2025-01-01,-0.008357,
2025-01-02,0.000000,
2025-01-03,-0.002052,
2025-01-06,-0.019932,
2025-01-07,-0.020420,
2025-01-08,-0.031265,
2025-01-09,-0.032047,
2025-01-10,-0.043771,
2025-01-13,-0.074646,
2025-01-14,-0.072594,
2025-01-15,-0.065266,
2025-01-16,-0.067513,
2025-01-17,-0.062824,
2025-01-20,-0.063898,
2025-01-21,-0.081876,
2025-01-22,-0.087934,
2025-01-23,-0.076600,
2025-01-24,-0.086077,
2025-01-27,-0.102687,
2025-01-28,-0.104543,
2025-01-29,-0.089595,
2025-01-30,-0.090376,
2025-01-31,-0.079433,
2025-02-03,-0.052760,
2025-02-04,-0.057352,
2025-02-05,-0.061456,
2025-02-06,-0.073864,
2025-02-07,-0.076698,
2025-02-10,-0.087543,
2025-02-11,-0.110210,
2025-02-12,-0.114314,
2025-02-13,-0.120078,
2025-02-14,-0.134734,
2025-02-17,-0.138544,
2025-02-18,-0.142550,
2025-02-19,-0.132780,
2025-02-20,-0.123596,
2025-02-21,-0.132682,
2025-02-24,-0.140401,
2025-02-25,-0.138251,
2025-02-27,-0.145774,
2025-02-28,-0.165999,
2025-03-03,-0.165511,
2025-03-04,-0.168930,
2025-03-05,-0.153493,
2025-03-06,-0.144016,
2025-03-07,-0.149585,
2025-03-10,-0.159648,
2025-03-11,-0.158769,
2025-03-12,-0.161114,
2025-03-13,-0.165999,
2025-03-17,-0.164045,
2025-03-18,-0.147728,
2025-03-19,-0.142355,
2025-03-20,-0.135320,
2025-03-21,-0.132096,
2025-03-24,-0.127797,
2025-03-25,-0.133464,
2025-03-26,-0.136981,
2025-03-27,-0.127504,
2025-03-28,-0.128481,
2025-03-31,-0.128578,
2025-04-01,-0.132291,
2025-04-02,-0.117831,
2025-04-03,-0.117538,
2025-04-04,-0.129165,
2025-04-07,-0.151930,
2025-04-08,-0.134734,
2025-04-09,-0.131705,
2025-04-11,-0.116854,
2025-04-15,-0.100147,
2025-04-16,-0.095066,
2025-04-17,-0.089399,
