# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:54.220360+00:00
stretch_ending,fund_return,benchmark_return
2025-11-04,0.139676,
2025-11-11,0.125498,
2025-11-18,0.163767,
2025-11-25,0.111660,
2025-12-02,0.107108,
2025-12-09,0.052731,
2025-12-16,0.043925,
2025-12-23,0.102140,
2025-12-30,0.084466,
2026-01-06,0.115385,
2026-01-13,0.164905,
2026-01-20,0.110309,
2026-01-27,0.153261,
2026-02-03,0.171975,
2026-02-10,0.208556,
2026-02-17,0.249166,
2026-02-24,0.247492,
2026-03-02,0.239501,
2026-03-10,0.203160,
2026-03-17,0.151955,
2026-03-24,0.048067,
2026-03-31,0.028511,
2026-04-07,0.123884,
2026-04-13,0.122622,
2026-04-21,0.135992,
2026-04-28,0.131417,
2026-05-05,0.126144,
2026-05-12,0.091549,
2026-05-19,0.085630,
2026-05-26,0.108055,
2026-06-02,0.067895,
2026-06-09,0.036689,
2026-06-16,0.087332,
2026-06-23,0.094919,
2026-06-30,0.068837,
2026-07-07,0.091589,
2026-07-14,0.089888,
2026-07-21,0.080407,
2026-07-28,0.076199,
2026-08-04,0.088785,
2026-08-11,0.102347,
2026-08-18,0.085185,
2026-08-25,0.092746,
2026-09-01,0.088619,
2026-09-08,0.079409,
2026-09-15,0.033667,
2026-09-22,0.051351,
