# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:10.574766+00:00
date,fund_below_high,benchmark_below_high
2013-01-02,0.000000,
2013-01-07,0.000000,
2013-01-21,-0.008559,
2013-01-24,-0.041369,
2013-01-31,-0.037946,
2013-02-15,-0.084736,
2013-02-20,-0.063053,
2013-02-28,-0.100143,
2013-03-14,-0.084165,
2013-03-22,-0.135521,
2013-04-02,-0.103566,
2013-04-15,-0.137518,
2013-04-22,-0.114693,
2013-05-07,-0.096148,
2013-05-14,-0.108987,
2013-05-30,-0.106705,
2013-05-31,-0.115264,
2013-06-19,-0.150071,
2013-06-27,-0.188873,
2013-07-01,-0.168902,
2013-07-15,-0.143795,
2013-07-23,-0.159486,
2013-08-06,-0.231384,
2013-08-14,-0.186020,
2013-08-21,-0.233951,
2013-09-04,-0.235949,
2013-09-11,-0.200000,
2013-09-19,-0.176320,
2013-09-30,-0.180314,
2013-10-14,-0.105563,
2013-10-28,-0.118688,
2013-11-05,-0.062197,
2013-11-13,-0.085307,
2013-11-20,-0.048217,
2013-12-02,-0.017118,
2013-12-13,-0.026819,
2013-12-20,0.000000,
2014-01-06,0.000000,
2014-01-15,-0.029763,
2014-01-22,-0.023651,
2014-01-30,-0.073080,
2014-02-12,-0.026575,
2014-02-17,-0.035876,
2014-02-25,0.000000,
2014-03-13,-0.023315,
2014-03-25,0.000000,
2014-04-01,-0.008412,
2014-04-16,-0.023206,
2014-04-17,0.000000,
2014-05-07,-0.023799,
2014-05-12,0.000000,
2014-05-27,-0.021153,
2014-06-02,0.000000,
2014-06-13,-0.021014,
2014-06-18,-0.007005,
2014-07-07,0.000000,
2014-07-14,-0.057393,
2014-07-17,-0.003325,
2014-07-28,-0.021773,
2014-08-07,-0.002613,
2014-08-18,0.000000,
2014-08-28,-0.001182,
2014-09-15,0.000000,
