# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:10.099037+00:00
stretch_ending,fund_return,benchmark_return
2016-01-22,0.095738,
2016-01-29,0.095819,
2016-02-05,0.094784,
2016-02-12,0.094758,
2016-02-18,0.094372,
2016-02-26,0.093526,
2016-03-04,0.094798,
2016-03-11,0.094167,
2016-03-18,0.096240,
2016-03-31,0.096133,
2016-04-07,0.097003,
2016-04-13,0.096217,
2016-04-22,0.095280,
2016-04-29,0.093853,
2016-05-06,0.092195,
2016-05-13,0.090297,
2016-05-20,0.090456,
2016-05-27,0.091093,
2016-06-03,0.091070,
2016-06-17,0.093820,
2016-06-24,0.096552,
2016-07-01,0.096366,
2016-07-08,0.097861,
2016-07-15,0.106789,
2016-07-22,0.109530,
2016-07-29,0.110705,
2016-08-05,0.109927,
2016-08-12,0.117726,
2016-08-26,0.118117,
2016-09-02,0.113554,
2016-09-09,0.114583,
2016-09-16,0.111203,
2016-09-23,0.115321,
2016-09-30,0.114323,
2016-10-07,0.112304,
2016-10-14,0.112845,
2016-10-28,0.111492,
2016-11-04,0.112232,
2016-11-11,0.115631,
2016-11-18,0.117242,
2016-11-25,0.117370,
2016-12-02,0.115800,
2016-12-09,0.113069,
2016-12-16,0.112403,
2016-12-30,0.111801,
2017-01-06,0.113083,
2017-01-13,0.112176,
2017-01-20,0.111737,
2017-01-27,0.113640,
2017-02-03,0.112852,
2017-02-10,0.111710,
2017-02-17,0.111634,
2017-02-23,0.110958,
2017-03-10,0.107766,
2017-03-17,0.108334,
2017-03-24,0.108107,
2017-03-31,0.109114,
2017-04-07,0.108979,
2017-04-13,0.108837,
2017-04-21,0.106732,
2017-04-28,0.105708,
2017-05-05,0.105314,
2017-05-19,0.104562,
2017-05-26,0.104522,
2017-06-02,0.103247,
2017-06-09,0.104866,
2017-06-16,0.105350,
2017-06-23,0.105446,
2017-06-30,0.104820,
2017-07-07,0.105086,
2017-07-14,0.107161,
2017-07-28,0.107115,
2017-08-04,0.108617,
2017-08-11,0.107785,
2017-08-18,0.107362,
2017-08-24,0.106880,
2017-09-01,0.106974,
2017-09-08,0.106645,
2017-09-15,0.105552,
2017-09-29,0.102864,
2017-10-06,0.103142,
2017-10-13,0.101643,
2017-10-18,0.100497,
2017-10-27,0.100178,
2017-11-03,0.098181,
2017-11-10,0.097802,
2017-11-17,0.096409,
2017-11-24,0.095788,
2017-11-30,0.094111,
2017-12-15,0.094449,
2017-12-22,0.093584,
2017-12-29,0.092353,
2018-01-05,0.093036,
2018-01-12,0.090229,
2018-01-19,0.089004,
2018-01-25,0.088666,
2018-02-02,0.088083,
2018-02-09,0.089493,
2018-02-23,0.087448,
2018-03-01,0.085806,
2018-03-09,0.087528,
2018-03-16,0.089116,
2018-03-23,0.089323,
2018-03-28,0.089494,
2018-04-06,0.091173,
2018-04-20,0.087823,
2018-04-27,0.086964,
2018-05-04,0.088234,
2018-05-11,0.087431,
2018-05-18,0.085001,
2018-05-25,0.084640,
2018-06-01,0.085901,
2018-06-08,0.085068,
2018-06-15,0.084791,
2018-06-22,0.086164,
2018-07-06,0.085560,
2018-07-13,0.085826,
2018-07-20,0.085554,
2018-07-27,0.084826,
2018-08-03,0.085071,
2018-08-10,0.084707,
2018-08-16,0.083871,
2018-08-24,0.084231,
2018-09-07,0.084342,
2018-09-14,0.083186,
2018-09-21,0.082944,
2018-09-28,0.080311,
2018-10-05,0.079917,
2018-10-12,0.079057,
2018-10-19,0.078858,
2018-10-26,0.078736,
2018-11-02,0.079275,
2018-11-16,0.079426,
2018-11-22,0.079705,
2018-11-30,0.080110,
2018-12-07,0.081288,
2018-12-14,0.081303,
2018-12-21,0.082029,
2018-12-28,0.081919,
2019-01-04,0.081314,
2019-01-11,0.082095,
2019-01-25,0.082010,
2019-02-01,0.081702,
2019-02-08,0.082464,
2019-02-15,0.082590,
2019-02-22,0.083810,
2019-03-01,0.081562,
2019-03-08,0.082202,
2019-03-15,0.081649,
2019-03-29,0.081488,
2019-04-05,0.079921,
2019-04-12,0.078722,
2019-04-18,0.078874,
2019-04-26,0.078031,
2019-05-03,0.077566,
2019-05-10,0.077577,
2019-05-17,0.078287,
2019-05-24,0.078754,
2019-05-31,0.080008,
2019-06-14,0.080043,
2019-06-21,0.080219,
2019-06-28,0.079158,
2019-07-05,0.079268,
2019-07-12,0.079036,
2019-07-19,0.078672,
2019-07-26,0.077079,
2019-08-02,0.077785,
2019-08-16,0.076000,
2019-08-23,0.076665,
2019-08-30,0.075716,
2019-09-06,0.075208,
2019-09-13,0.076545,
2019-09-20,0.074568,
2019-09-27,0.074151,
2019-10-04,0.072241,
2019-10-11,0.072694,
2019-10-25,0.075058,
2019-11-01,0.076240,
2019-11-08,0.075051,
2019-11-15,0.072502,
2019-11-22,0.071875,
2019-11-29,0.074021,
2019-12-06,0.075880,
2019-12-13,0.074988,
2019-12-27,0.077825,
2020-01-03,0.076675,
2020-01-10,0.076323,
2020-01-17,0.076379,
2020-01-24,0.076951,
2020-01-31,0.076646,
2020-02-07,0.082553,
2020-02-14,0.082370,
2020-02-20,0.083168,
2020-03-06,0.084995,
2020-03-13,0.079483,
2020-03-20,0.073761,
2020-03-27,0.080247,
2020-04-03,0.080370,
2020-04-09,0.075085,
2020-04-17,0.076936,
2020-04-24,0.077574,
2020-04-30,0.073398,
2020-05-15,0.074672,
2020-05-22,0.077347,
2020-05-29,0.075819,
2020-06-05,0.073582,
2020-06-12,0.072694,
