# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:16.837747+00:00
date,fund_below_high,benchmark_below_high
2013-01-03,0.000000,
2013-01-11,-0.005641,
2013-01-21,0.000000,
2013-01-28,-0.003200,
2013-02-08,-0.028800,
2013-02-19,-0.022400,
2013-02-28,-0.050400,
2013-03-08,-0.020800,
2013-03-19,-0.059200,
2013-04-02,-0.055200,
2013-04-09,-0.090400,
2013-04-17,-0.077600,
2013-04-25,-0.051200,
2013-05-10,-0.021600,
2013-05-17,-0.012800,
2013-05-30,-0.017600,
2013-06-13,-0.059200,
2013-06-24,-0.085600,
2013-07-01,-0.054400,
2013-07-10,-0.064000,
2013-07-15,-0.032000,
2013-07-23,-0.034400,
2013-08-07,-0.090400,
2013-08-14,-0.052000,
2013-08-27,-0.086400,
2013-09-11,-0.012000,
2013-09-19,0.000000,
2013-09-30,-0.028526,
2013-10-09,0.000000,
2013-10-17,-0.009360,
2013-10-28,-0.016191,
2013-10-31,0.000000,
2013-11-13,-0.025095,
2013-11-22,-0.025095,
2013-12-02,0.000000,
2013-12-17,-0.023326,
2013-12-27,0.000000,
2014-01-07,-0.017254,
2014-01-15,-0.005251,
2014-01-30,-0.048762,
2014-01-31,-0.038260,
2014-02-13,-0.040510,
2014-02-28,-0.007502,
2014-03-05,0.000000,
2014-03-14,-0.005852,
2014-03-24,0.000000,
2014-04-07,-0.010395,
2014-04-11,0.000000,
2014-04-30,-0.012925,
2014-05-09,0.000000,
2014-05-26,-0.007467,
2014-05-28,0.000000,
2014-06-13,-0.013435,
2014-06-17,-0.000584,
2014-07-07,0.000000,
2014-07-14,-0.041313,
2014-07-18,-0.008489,
2014-07-30,0.000000,
2014-08-08,-0.015152,
2014-08-18,0.000000,
2014-08-28,-0.002175,
2014-09-15,0.000000,
2014-09-16,-0.021579,
2014-09-25,-0.042105,
2014-10-16,-0.050526,
2014-10-29,-0.028421,
2014-11-05,-0.001053,
2014-11-13,-0.002595,
2014-11-28,0.000000,
2014-12-10,-0.005997,
2014-12-17,-0.039980,
2014-12-30,0.000000,
2015-01-07,-0.030198,
2015-01-15,-0.001485,
2015-01-29,0.000000,
2015-02-09,-0.033538,
2015-02-19,0.000000,
2015-02-26,-0.021627,
2015-03-02,0.000000,
2015-03-18,-0.015807,
2015-03-27,-0.046025,
