# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:03.081447+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.095503,
2016-01-08,0.095735,
2016-01-15,0.095067,
2016-01-22,0.095165,
2016-01-29,0.095165,
2016-02-05,0.094850,
2016-02-12,0.094910,
2016-02-18,0.094415,
2016-02-26,0.093149,
2016-03-04,0.094542,
2016-03-18,0.094202,
2016-03-23,0.094573,
2016-03-31,0.094399,
2016-04-07,0.095644,
2016-04-13,0.095703,
2016-04-22,0.095513,
2016-04-29,0.094841,
2016-05-13,0.094503,
2016-05-20,0.094435,
2016-05-27,0.094687,
2016-06-03,0.094530,
2016-06-10,0.095020,
2016-06-17,0.094883,
2016-06-24,0.094956,
2016-07-01,0.095168,
2016-07-08,0.095934,
2016-07-22,0.101110,
2016-07-29,0.101320,
2016-08-05,0.100914,
2016-08-12,0.102812,
2016-08-19,0.102422,
2016-08-26,0.103181,
2016-09-02,0.101095,
2016-09-09,0.101428,
2016-09-16,0.100235,
2016-09-30,0.099970,
2016-10-07,0.100603,
2016-10-14,0.100551,
2016-10-21,0.099951,
2016-10-28,0.099239,
2016-11-04,0.099048,
2016-11-11,0.100692,
2016-11-25,0.104014,
2016-12-02,0.102791,
2016-12-09,0.100253,
2016-12-16,0.099504,
2016-12-23,0.098830,
2016-12-30,0.098582,
2017-01-06,0.100155,
2017-01-13,0.100103,
2017-01-20,0.099792,
2017-02-03,0.099741,
2017-02-10,0.097949,
2017-02-17,0.097784,
2017-02-23,0.097188,
2017-03-03,0.096858,
2017-03-10,0.095150,
2017-03-17,0.095077,
2017-03-24,0.095604,
2017-03-31,0.095907,
2017-04-13,0.095459,
2017-04-21,0.095121,
2017-04-28,0.094477,
2017-05-05,0.094037,
2017-05-12,0.093704,
2017-05-19,0.093474,
2017-05-26,0.093647,
2017-06-02,0.093123,
2017-06-16,0.094567,
2017-06-23,0.094495,
2017-06-30,0.093702,
2017-07-07,0.093720,
2017-07-14,0.094768,
2017-07-21,0.094893,
2017-07-28,0.094946,
2017-08-04,0.095876,
2017-08-18,0.095152,
2017-08-24,0.094730,
2017-09-01,0.094729,
2017-09-08,0.094471,
2017-09-15,0.093915,
2017-09-22,0.092944,
2017-09-29,0.092091,
2017-10-06,0.092127,
2017-10-18,0.090806,
2017-10-27,0.090736,
2017-11-03,0.089921,
2017-11-10,0.089640,
2017-11-17,0.088821,
2017-11-24,0.088819,
2017-11-30,0.088160,
2017-12-08,0.088121,
2017-12-15,0.087584,
2017-12-29,0.085947,
2018-01-05,0.086109,
2018-01-12,0.085074,
2018-01-19,0.084697,
2018-01-25,0.084484,
2018-02-02,0.083913,
2018-02-09,0.084610,
2018-02-23,0.083970,
2018-03-01,0.083128,
2018-03-09,0.083916,
2018-03-16,0.084780,
2018-03-23,0.084621,
2018-03-28,0.084401,
2018-04-06,0.085694,
2018-04-13,0.084832,
2018-04-27,0.081936,
2018-05-04,0.082369,
2018-05-11,0.081589,
2018-05-18,0.079764,
2018-05-25,0.079729,
2018-06-01,0.079420,
2018-06-08,0.078751,
2018-06-15,0.079022,
2018-06-22,0.079714,
2018-06-29,0.079110,
2018-07-13,0.079565,
2018-07-20,0.079317,
2018-07-27,0.078926,
2018-08-03,0.079233,
2018-08-10,0.079140,
2018-08-16,0.078666,
2018-08-24,0.078830,
2018-09-07,0.078459,
2018-09-14,0.077755,
2018-09-21,0.077489,
