# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:35:09.008868+00:00
date,nav
2013-01-02,18.66000
2013-01-04,18.76000
2013-01-21,19.08000
2013-01-28,19.02000
2013-02-08,18.39000
2013-02-13,18.47000
2013-02-26,18.07000
2013-03-08,18.56000
2013-03-14,18.42000
2013-03-21,17.64000
2013-04-09,17.15000
2013-04-15,17.41000
2013-04-25,18.24000
2013-05-13,18.54000
2013-05-16,19.08000
2013-05-23,18.48000
2013-05-31,18.61000
2013-06-19,18.23000
2013-06-26,17.43000
2013-07-01,18.19000
2013-07-15,18.75000
2013-07-23,18.85000
2013-07-30,17.82000
2013-08-14,18.23000
2013-08-21,17.08000
2013-08-28,17.03000
2013-09-03,17.26000
2013-09-10,18.70000
2013-09-19,19.39000
2013-09-30,18.44000
2013-10-11,19.52000
2013-10-28,19.55000
2013-11-01,20.25000
2013-11-13,19.46000
2013-11-22,19.40000
2013-12-02,20.12000
2013-12-09,20.55000
2013-12-19,20.12000
2014-01-01,20.46000
2014-01-07,20.08000
2014-01-22,20.49000
2014-01-30,19.52000
2014-02-13,19.69000
2014-02-19,20.12000
2014-03-03,20.30000
2014-03-07,21.16000
2014-03-21,21.11000
2014-04-02,21.97000
2014-04-16,21.68000
2014-04-23,22.24000
2014-05-08,21.88000
2014-05-13,23.25000
2014-05-23,24.41000
2014-05-30,24.05000
2014-06-09,25.63000
2014-06-26,25.10000
2014-07-04,26.20000
2014-07-11,25.03000
2014-07-18,25.96000
2014-08-01,25.61000
2014-08-08,25.52000
2014-08-19,26.50000
2014-09-02,27.52000
2014-09-12,27.79000
2014-09-16,27.23000
2014-09-30,27.23000
2014-10-16,26.51000
2014-10-22,27.61000
2014-10-31,28.73000
2014-11-13,28.76000
2014-11-28,29.74000
2014-12-04,29.86000
2014-12-17,28.03000
2014-12-22,29.15000
2015-01-07,28.38000
2015-01-14,28.95000
2015-01-27,31.12000
2015-02-09,29.76000
2015-02-13,30.94000
2015-02-26,30.31000
2015-03-03,31.56000
2015-03-17,30.88000
2015-03-26,29.48000
2015-04-13,31.05000
2015-04-21,29.60000
2015-04-27,28.80000
2015-05-07,28.46000
2015-05-18,29.71000
2015-06-01,29.88000
