# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:09.404306+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.089760,
2016-01-08,0.089693,
2016-01-15,0.089613,
2016-01-22,0.089541,
2016-01-29,0.089472,
2016-02-05,0.089417,
2016-02-12,0.089370,
2016-02-18,0.089242,
2016-02-26,0.089257,
2016-03-11,0.089188,
2016-03-18,0.089166,
2016-03-23,0.088944,
2016-03-31,0.089037,
2016-04-07,0.089073,
2016-04-13,0.088943,
2016-04-22,0.089054,
2016-04-29,0.089003,
2016-05-13,0.088917,
2016-05-20,0.088879,
2016-05-27,0.088835,
2016-06-03,0.088792,
2016-06-10,0.088763,
2016-06-17,0.088735,
2016-06-24,0.088692,
2016-07-01,0.088660,
2016-07-15,0.089240,
2016-07-22,0.089011,
2016-07-29,0.089126,
2016-08-05,0.088887,
2016-08-12,0.088668,
2016-08-19,0.088448,
2016-08-26,0.088171,
2016-09-02,0.087889,
2016-09-09,0.087601,
2016-09-23,0.087064,
2016-09-30,0.086826,
2016-10-07,0.086564,
2016-10-14,0.086333,
2016-10-21,0.086121,
2016-10-28,0.085915,
2016-11-04,0.085714,
2016-11-11,0.085541,
2016-11-25,0.085287,
2016-12-02,0.085086,
2016-12-09,0.084851,
2016-12-16,0.084676,
2016-12-23,0.084496,
2016-12-30,0.084323,
2017-01-06,0.084161,
2017-01-13,0.083987,
2017-01-27,0.083670,
2017-02-03,0.083534,
2017-02-10,0.083388,
2017-02-17,0.083251,
2017-02-23,0.083048,
2017-03-03,0.082968,
2017-03-10,0.082785,
2017-03-17,0.082604,
2017-03-24,0.082406,
2017-04-07,0.081920,
2017-04-13,0.081672,
2017-04-21,0.081546,
2017-04-28,0.081366,
2017-05-05,0.081190,
2017-05-12,0.081020,
2017-05-19,0.080860,
2017-05-26,0.080696,
2017-06-09,0.080378,
2017-06-16,0.080232,
2017-06-23,0.080084,
