# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:07.987065+00:00
date,fund_below_high,benchmark_below_high
2013-04-08,0.000000,
2013-04-15,-0.016283,
2013-04-25,0.000000,
2013-05-06,-0.006994,
2013-05-10,0.000000,
2013-05-23,-0.012122,
2013-05-30,-0.004521,
2013-06-13,-0.026669,
2013-06-19,-0.015987,
2013-06-26,-0.035869,
2013-07-11,-0.019710,
2013-07-16,-0.039774,
2013-07-29,-0.043294,
2013-08-02,-0.068069,
2013-08-19,-0.098701,
2013-08-23,-0.071924,
2013-09-03,-0.079240,
2013-09-19,-0.031733,
2013-09-23,-0.059276,
2013-10-01,-0.060350,
2013-10-11,-0.032934,
2013-10-28,-0.029654,
2013-10-31,-0.014587,
2013-11-12,-0.038574,
2013-11-22,-0.034551,
2013-12-02,-0.015570,
2013-12-13,-0.028666,
2013-12-20,-0.017907,
2014-01-06,-0.018446,
2014-01-09,-0.019923,
2014-01-20,-0.000453,
2014-01-30,-0.022795,
2014-02-10,-0.011488,
2014-02-14,-0.026632,
2014-02-25,-0.009971,
2014-03-07,0.000000,
2014-03-25,0.000000,
2014-04-02,-0.024486,
2014-04-16,-0.027301,
2014-04-23,-0.010251,
2014-05-09,-0.005470,
2014-05-15,-0.028721,
2014-05-23,-0.010620,
2014-06-06,0.000000,
2014-06-16,-0.032848,
2014-06-18,-0.015386,
2014-07-03,0.000000,
2014-07-11,-0.038283,
2014-07-24,-0.002541,
2014-07-28,-0.019954,
2014-08-13,-0.000437,
2014-08-25,-0.024283,
2014-08-26,-0.009082,
2014-09-05,-0.020397,
2014-09-23,-0.009674,
2014-09-25,-0.016517,
2014-10-09,-0.017729,
2014-10-27,-0.001305,
2014-10-29,0.000000,
2014-11-17,-0.003152,
2014-11-26,-0.006133,
2014-12-05,0.000000,
2014-12-16,-0.013999,
2014-12-26,-0.015688,
2015-01-05,-0.003303,
2015-01-08,-0.010767,
2015-01-15,0.000000,
2015-01-30,0.000000,
2015-02-11,-0.020260,
2015-02-18,0.000000,
2015-03-04,0.000000,
2015-03-16,-0.016866,
2015-03-20,-0.013615,
2015-03-30,-0.021246,
2015-04-13,-0.005046,
2015-04-20,-0.019298,
2015-05-07,0.000000,
2015-05-08,-0.043215,
2015-05-25,-0.034296,
2015-06-01,-0.028382,
2015-06-11,-0.054245,
2015-06-22,-0.036589,
2015-06-29,-0.043988,
2015-07-06,-0.030587,
2015-07-13,-0.033174,
2015-07-22,-0.022874,
2015-08-04,-0.028541,
2015-08-14,-0.020863,
2015-08-24,-0.034892,
2015-09-04,-0.033403,
2015-09-09,-0.022133,
2015-09-22,-0.036730,
2015-09-30,-0.016735,
2015-10-12,-0.018460,
2015-10-19,-0.011605,
2015-11-03,-0.015701,
2015-11-10,-0.029589,
2015-11-24,-0.031685,
2015-12-04,-0.016061,
2015-12-09,-0.037259,
2015-12-28,-0.018453,
2015-12-30,-0.026202,
2016-01-07,-0.038046,
2016-01-25,-0.019787,
2016-01-28,-0.034066,
2016-02-12,-0.032969,
2016-02-17,-0.069152,
2016-02-25,-0.074230,
2016-03-08,-0.040488,
2016-03-21,-0.018912,
2016-03-29,-0.020962,
2016-04-18,0.000000,
2016-04-27,0.000000,
2016-05-04,-0.013877,
2016-05-10,-0.004529,
2016-05-20,-0.009664,
2016-06-01,-0.008388,
2016-06-07,-0.006930,
2016-06-20,-0.005121,
2016-06-29,-0.000266,
2016-07-04,0.000000,
2016-07-14,0.000000,
2016-08-01,0.000000,
2016-08-03,-0.001314,
2016-08-10,0.000000,
2016-08-23,-0.001200,
2016-08-31,0.000000,
2016-09-19,0.000000,
2016-09-29,-0.002256,
2016-10-03,0.000000,
