# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:59.994901+00:00
date,fund_below_high,benchmark_below_high
2013-04-05,0.000000,
2013-04-11,-0.002585,
2013-04-15,-0.032192,
2013-04-25,0.000000,
2013-05-06,-0.018586,
2013-05-17,0.000000,
2013-05-23,-0.037728,
2015-05-04,0.000000,
2015-05-08,-0.023484,
2015-05-18,-0.022249,
2015-05-29,-0.008304,
2015-06-03,-0.024132,
2015-06-12,-0.036883,
2015-06-22,-0.016921,
2015-06-29,-0.025848,
2015-07-06,-0.009520,
2015-07-13,-0.014301,
2015-07-20,-0.007540,
2015-08-03,-0.003157,
2015-08-05,-0.006583,
2015-08-19,0.000000,
2015-08-24,-0.014391,
2015-09-02,-0.005087,
2015-09-07,-0.009168,
2015-09-14,-0.000144,
2015-09-28,-0.009932,
2015-10-05,0.000000,
2015-10-12,-0.003583,
2015-10-20,0.000000,
2015-11-03,-0.004489,
2015-11-10,-0.014480,
2015-11-19,-0.009895,
2015-12-02,-0.012351,
2015-12-09,-0.022553,
2015-12-14,-0.023243,
2015-12-28,-0.011996,
2015-12-30,-0.016626,
2016-01-13,-0.017309,
2016-01-18,-0.026793,
2016-01-25,-0.019453,
2016-02-03,-0.034459,
2016-02-12,-0.030706,
2016-02-17,-0.048674,
2016-02-25,-0.057390,
2016-03-03,-0.027889,
2016-03-15,-0.019638,
2016-03-21,0.000000,
2016-04-05,-0.004566,
2016-04-11,0.000000,
2016-04-27,0.000000,
2016-05-04,-0.006896,
2016-05-10,-0.000277,
2016-05-20,-0.004805,
2016-05-25,0.000000,
2016-06-06,0.000000,
2016-06-13,-0.004821,
2016-06-15,-0.001030,
2016-06-24,-0.001908,
2016-06-30,0.000000,
2016-07-18,-0.001701,
2016-07-19,0.000000,
2016-08-01,0.000000,
2016-08-03,-0.004757,
2016-08-11,0.000000,
2016-08-23,-0.003759,
2016-08-29,0.000000,
2016-09-12,-0.006987,
2016-09-22,0.000000,
2016-09-29,-0.007867,
2016-10-03,0.000000,
2016-10-17,-0.013161,
2016-10-24,-0.002802,
2016-11-04,-0.019072,
2016-11-10,-0.006683,
2016-11-21,-0.022090,
2016-11-25,-0.003856,
2016-12-08,0.000000,
2016-12-12,-0.010652,
2016-12-22,-0.032998,
2016-12-26,-0.041753,
2017-01-05,0.000000,
2017-01-16,0.000000,
2017-01-20,-0.009133,
2017-01-27,0.000000,
2017-02-09,-0.010456,
2017-02-15,-0.014712,
2017-02-21,0.000000,
2017-03-02,-0.003283,
2017-03-10,-0.008862,
2017-03-21,-0.000072,
2017-04-03,0.000000,
2017-04-10,-0.009707,
2017-04-21,-0.010993,
2017-04-25,0.000000,
2017-05-05,-0.002349,
2017-05-10,0.000000,
2017-05-19,-0.003137,
2017-05-26,0.000000,
2017-06-09,0.000000,
2017-06-12,-0.002267,
2017-06-21,-0.000183,
2017-06-28,-0.009315,
2017-07-10,0.000000,
2017-07-18,-0.002959,
2017-07-21,0.000000,
2017-08-04,0.000000,
2017-08-11,-0.017882,
2017-08-16,-0.009856,
2017-08-29,-0.014655,
2017-09-05,-0.006196,
2017-09-18,0.000000,
2017-09-25,-0.013162,
2017-09-27,-0.020282,
2017-10-11,-0.013312,
2017-10-16,0.000000,
2017-11-01,0.000000,
2017-11-06,-0.000245,
2017-11-15,-0.011703,
2017-11-20,-0.003958,
2017-12-01,-0.011901,
2017-12-08,-0.009168,
2017-12-13,-0.012527,
2017-12-20,-0.007292,
2017-12-28,-0.017031,
2018-01-05,-0.007000,
2018-01-16,-0.014309,
2018-01-23,0.000000,
2018-02-06,-0.019259,
2018-02-08,-0.016028,
2018-02-22,-0.028355,
2018-02-26,-0.020305,
2018-03-07,-0.026342,
2018-03-20,-0.021337,
2018-03-27,0.000000,
2018-04-09,0.000000,
2018-04-17,-0.001415,
2018-04-20,-0.010841,
2018-04-26,-0.012852,
2018-05-08,-0.000350,
2018-05-15,-0.014041,
2018-05-28,-0.005427,
2018-06-05,-0.018090,
2018-06-11,-0.000136,
2018-06-19,-0.009232,
2018-06-28,-0.018011,
2018-06-29,-0.009202,
2018-07-09,0.000000,
2018-07-18,-0.002689,
2018-07-24,0.000000,
2018-08-02,-0.007841,
2018-08-09,0.000000,
2018-08-27,0.000000,
2018-08-31,-0.004393,
2018-09-11,-0.029829,
2018-09-14,-0.013791,
2018-10-01,-0.048689,
2018-10-05,-0.096920,
2018-10-16,-0.079518,
2018-10-26,-0.122973,
2018-10-31,-0.091227,
2018-11-09,-0.079973,
2018-11-22,-0.090765,
2018-11-30,-0.072248,
2018-12-10,-0.110508,
2018-12-17,-0.074442,
2018-12-24,-0.091655,
2019-01-01,-0.071725,
2019-01-04,-0.086987,
2019-01-16,-0.070929,
2019-01-28,-0.100678,
2019-02-01,-0.086414,
2019-02-07,-0.085285,
2019-02-18,-0.115348,
2019-02-28,-0.098761,
2019-03-08,-0.081855,
2019-03-12,-0.057842,
2019-03-25,-0.058844,
2019-04-02,-0.029897,
2019-04-10,-0.042841,
2019-04-16,-0.035727,
2019-05-03,-0.052277,
2019-05-08,-0.073194,
2019-05-17,-0.087285,
2019-05-28,-0.043187,
2019-06-03,-0.044001,
2019-06-06,-0.057864,
2019-06-19,-0.076503,
2019-06-26,-0.056754,
2019-07-08,-0.081629,
2019-07-16,-0.061792,
2019-07-19,-0.082042,
2019-07-26,-0.082442,
2019-08-05,-0.123859,
2019-08-09,-0.113476,
2019-08-22,-0.150015,
2019-09-03,-0.140141,
2019-09-09,-0.110283,
2019-09-23,-0.087959,
2019-09-25,-0.108369,
2019-10-07,-0.138440,
2019-10-18,-0.094428,
2019-10-24,-0.104063,
2019-11-04,-0.060995,
2019-11-13,-0.085454,
2019-11-20,-0.062721,
2019-11-28,-0.056339,
2019-12-10,-0.079631,
2019-12-17,-0.058884,
2019-12-26,-0.058119,
2020-01-02,-0.038799,
2020-01-08,-0.051138,
2020-01-15,-0.012484,
2020-01-24,-0.010178,
2020-02-03,-0.059798,
2020-02-07,-0.020497,
2020-02-20,-0.041615,
2020-03-02,-0.125789,
2020-03-05,-0.101970,
2020-03-12,-0.239542,
2020-03-23,-0.357399,
2020-04-03,-0.313289,
2020-04-09,-0.220967,
2020-04-17,-0.189674,
2020-04-30,-0.176471,
2020-05-07,-0.209675,
2020-05-18,-0.224819,
2020-05-28,-0.183662,
2020-06-08,-0.117859,
2020-06-15,-0.137289,
2020-06-23,-0.087994,
2020-06-30,-0.116820,
2020-07-06,-0.091114,
2020-07-15,-0.103351,
2020-07-23,-0.070905,
2020-07-27,-0.087511,
2020-08-10,-0.027735,
2020-08-14,-0.026834,
2020-08-19,-0.000191,
2020-08-28,0.000000,
2020-09-08,-0.056494,
2020-09-16,-0.032861,
2020-09-24,-0.108882,
2020-09-28,-0.067868,
2020-10-12,-0.083318,
2020-10-15,-0.099737,
2020-10-23,-0.058381,
2020-10-30,-0.077395,
2020-11-11,-0.009771,
2020-11-17,0.000000,
2020-11-25,-0.004486,
2020-12-04,0.000000,
2020-12-16,0.000000,
2020-12-21,-0.062603,
2020-12-30,-0.009832,
2021-01-13,0.000000,
2021-01-20,-0.011692,
2021-01-29,-0.075953,
2021-02-03,0.000000,
2021-02-16,0.000000,
2021-02-22,-0.026046,
2021-02-24,0.000000,
2021-03-10,-0.013574,
2021-03-18,-0.055639,
2021-03-25,-0.073262,
2021-04-01,-0.031498,
2021-04-12,-0.078979,
2021-04-23,-0.057883,
2021-04-28,-0.030261,
2021-05-07,0.000000,
2021-05-14,-0.014129,
2021-05-24,0.000000,
2021-06-01,-0.002338,
2021-06-15,0.000000,
2021-06-18,-0.017843,
2021-06-28,-0.001987,
2021-07-08,-0.006008,
2021-07-16,0.000000,
2021-07-20,-0.018446,
2021-07-29,-0.001030,
2021-08-06,0.000000,
2021-08-20,-0.023742,
2021-08-23,-0.026778,
2021-08-30,0.000000,
2021-09-15,0.000000,
2021-09-20,-0.018547,
2021-09-23,0.000000,
2021-10-06,-0.004912,
2021-10-18,0.000000,
2021-10-22,-0.013763,
2021-10-29,-0.024166,
2021-11-09,-0.001311,
2021-11-15,-0.001894,
2021-11-29,-0.043673,
2021-12-06,-0.050520,
2021-12-09,-0.025733,
2021-12-20,-0.060115,
2021-12-30,-0.032972,
2022-01-05,-0.010457,
2022-01-17,-0.000055,
2022-01-24,-0.040476,
2022-02-02,-0.007636,
2022-02-10,-0.014103,
2022-02-14,-0.049284,
2022-02-21,-0.046020,
2022-03-07,-0.104676,
2022-03-17,-0.048744,
2022-03-25,-0.052073,
2022-04-04,-0.015520,
2022-04-08,-0.015714,
2022-04-19,-0.043916,
2022-04-28,-0.039954,
2022-05-04,-0.066408,
2022-05-12,-0.101797,
2022-05-25,-0.100636,
2022-05-30,-0.068151,
2022-06-09,-0.073993,
2022-06-17,-0.128486,
2022-06-27,-0.097027,
2022-06-30,-0.102568,
2022-07-08,-0.075596,
2022-07-14,-0.085613,
2022-07-26,-0.062390,
2022-08-01,-0.028426,
2022-08-17,-0.004955,
2022-08-22,-0.024300,
2022-08-29,-0.026944,
2022-09-08,0.000000,
2022-09-13,0.000000,
2022-09-26,-0.047014,
2022-10-06,-0.016451,
2022-10-13,-0.040732,
2022-10-18,-0.020115,
2022-10-27,0.000000,
2022-11-10,-0.010868,
2022-11-14,0.000000,
2022-11-21,-0.011576,
