# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:34:59.944957+00:00
date,nav
2013-04-05,36.21050
2013-04-10,36.44040
2013-04-15,35.26730
2013-04-25,36.81670
2013-05-06,36.36590
2013-05-17,37.91760
2013-05-28,37.74610
2015-05-04,50.56990
2015-05-12,50.19900
2015-05-18,50.26480
2015-05-29,50.98170
2015-06-03,50.16800
2015-06-12,49.51250
2015-06-22,50.53870
2015-06-29,50.07980
2015-07-06,50.91920
2015-07-13,50.67340
2015-07-20,51.02100
2015-08-03,51.24630
2015-08-05,51.07020
2015-08-19,51.48420
2015-08-24,50.74330
2015-09-02,51.22230
2015-09-07,51.01220
2015-09-16,51.74360
2015-09-28,51.22970
2015-10-05,52.37110
2015-10-12,52.20560
2015-10-20,52.45870
2015-11-03,52.22320
2015-11-10,51.69910
2015-11-19,51.93960
2015-12-02,51.81080
2015-12-09,51.27560
2015-12-14,51.23940
2015-12-28,51.82940
2015-12-30,51.58650
2016-01-13,51.55070
2016-01-18,51.05320
2016-01-25,51.43820
2016-02-03,50.65100
2016-02-12,50.84790
2016-02-17,49.90530
2016-02-25,49.44810
2016-03-03,50.99570
2016-03-15,51.42850
2016-03-21,52.73720
2016-04-06,52.83820
2016-04-18,53.66070
2016-04-27,53.72610
2016-05-04,53.35560
2016-05-10,53.71120
2016-05-20,53.47200
2016-05-27,54.07920
2016-06-06,54.30370
2016-06-13,54.12410
2016-06-15,54.33030
2016-06-24,54.44590
2016-07-08,55.37350
2016-07-13,56.06480
2016-07-22,56.44600
2016-08-01,57.21540
2016-08-03,56.94320
2016-08-12,57.76190
2016-08-23,57.54480
2016-09-06,58.36380
2016-09-08,58.62000
2016-09-15,58.25280
2016-09-29,58.40420
2016-10-05,59.17670
2016-10-17,58.39790
2016-10-24,59.01090
2016-11-04,58.04810
