# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:00.291429+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.187889,
2016-01-08,0.174060,
2016-01-15,0.162122,
2016-01-22,0.161175,
2016-01-29,0.163601,
2016-02-05,0.167039,
2016-02-12,0.146856,
2016-02-19,0.158459,
2016-02-26,0.157385,
2016-03-04,0.173455,
2016-03-18,0.187428,
2016-03-23,0.191591,
2016-04-01,0.191617,
2016-04-08,0.192887,
2016-04-13,0.200885,
2016-04-22,0.198981,
2016-04-29,0.191497,
2016-05-06,0.181588,
2016-05-20,0.183305,
2016-05-27,0.190474,
2016-06-03,0.195463,
2016-06-10,0.206869,
2016-06-17,0.205962,
2016-06-24,0.216673,
2016-07-01,0.225717,
2016-07-08,0.220238,
2016-07-22,0.228677,
2016-07-29,0.245181,
2016-08-05,0.255764,
2016-08-12,0.244197,
2016-08-19,0.269928,
2016-08-26,0.274522,
2016-09-02,0.266972,
2016-09-09,0.252851,
2016-09-23,0.255864,
2016-09-30,0.242969,
2016-10-07,0.241222,
2016-10-14,0.236599,
2016-10-21,0.238244,
2016-10-28,0.232324,
2016-11-04,0.218078,
2016-11-11,0.225548,
2016-11-18,0.215496,
2016-12-02,0.216657,
2016-12-09,0.216212,
2016-12-16,0.210044,
2016-12-23,0.198636,
2016-12-30,0.203481,
2017-01-06,0.213201,
2017-01-13,0.216707,
2017-01-20,0.215451,
2017-02-03,0.236586,
2017-02-10,0.230126,
2017-02-17,0.231696,
2017-02-23,0.231509,
2017-03-03,0.225562,
2017-03-10,0.219431,
2017-03-17,0.223709,
2017-03-24,0.216029,
2017-03-31,0.211248,
2017-04-13,0.215959,
2017-04-21,0.205670,
2017-04-28,0.213427,
2017-05-05,0.210840,
2017-05-12,0.198763,
2017-05-19,0.188526,
2017-05-26,0.185588,
2017-06-09,0.169953,
2017-06-16,0.167791,
2017-06-23,0.166253,
2017-06-30,0.156954,
2017-07-07,0.169257,
2017-07-14,0.171132,
2017-07-21,0.170849,
2017-07-28,0.169381,
2017-08-04,0.172527,
2017-08-18,0.157491,
2017-08-24,0.155037,
2017-09-01,0.149921,
2017-09-08,0.144910,
2017-09-15,0.150721,
2017-09-22,0.145826,
2017-09-29,0.145090,
2017-10-13,0.162024,
2017-10-18,0.151268,
2017-10-27,0.158797,
2017-11-03,0.155820,
2017-11-10,0.149744,
2017-11-17,0.146744,
2017-11-24,0.148089,
2017-12-01,0.134732,
2017-12-08,0.142360,
2017-12-15,0.154536,
2017-12-29,0.146226,
2018-01-05,0.152535,
2018-01-12,0.147234,
2018-01-19,0.139154,
2018-01-25,0.138318,
2018-02-02,0.134956,
2018-02-09,0.134613,
2018-02-16,0.125822,
2018-03-01,0.120010,
2018-03-09,0.119290,
2018-03-16,0.121025,
2018-03-23,0.122201,
2018-03-28,0.120855,
2018-04-06,0.121334,
2018-04-13,0.122543,
2018-04-20,0.134349,
