# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:17.140630+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-02,10000.00,
2013-01-10,10128.40,
2013-01-14,10832.05,
2013-01-25,10903.95,
2013-02-05,10621.47,
2013-02-18,10647.15,
2013-02-20,10981.00,
2013-03-07,11386.75,
2013-03-13,11088.85,
2013-03-22,10801.23,
2013-04-03,11135.08,
2013-04-12,10154.08,
2013-04-26,9835.64,
2013-05-07,10313.30,
2013-05-16,9958.91,
2013-05-24,9943.50,
2013-06-03,10200.31,
2013-06-13,10020.54,
2013-06-28,10405.75,
2013-07-03,10107.86,
2013-07-12,11145.35,
2013-07-24,11556.24,
2013-08-06,11643.55,
2013-08-13,12080.12,
2013-08-21,11777.09,
2013-08-30,12434.51,
2013-09-16,12249.61,
2013-09-20,12372.88,
2013-10-01,12912.17,
2013-10-14,14160.25,
2013-10-18,14072.93,
2013-11-01,14396.51,
2013-11-18,15033.38,
2013-11-27,14822.80,
2013-12-06,14874.17,
2013-12-13,15095.02,
2013-12-20,16291.73,
2014-01-02,16235.23,
2014-01-13,16815.61,
2014-01-17,16353.36,
2014-01-27,16625.58,
2014-02-06,16214.69,
2014-02-18,16728.30,
2014-02-25,17534.67,
2014-03-06,17627.12,
2014-03-19,15757.58,
2014-04-03,16255.78,
2014-04-10,15839.75,
2014-04-17,16096.56,
2014-05-07,15336.41,
2014-05-19,14822.80,
2014-05-28,15839.75,
2014-05-29,15469.95,
2014-06-11,16764.25,
2014-06-20,17236.77,
2014-06-27,17200.82,
2014-07-14,17134.05,
2014-07-24,18109.91,
2014-08-05,18361.58,
2014-08-08,18140.73,
2014-08-19,18484.85,
2014-09-03,19691.83,
2014-09-08,19943.50,
2014-09-19,20369.80,
2014-10-01,20426.30,
2014-10-08,19578.84,
2014-10-28,19311.76,
2014-11-07,20508.47,
2014-11-21,20765.28,
2014-12-01,21679.51,
2014-12-09,20606.06,
2014-12-17,19953.78,
2014-12-22,20688.24,
2015-01-07,20529.02,
2015-01-12,21684.64,
2015-01-23,22167.44,
2015-02-03,21653.83,
2015-02-18,22742.68,
2015-02-26,22342.06,
2015-03-03,23097.07,
2015-03-13,21951.72,
2015-03-26,20862.87,
2015-04-10,22085.26,
2015-04-20,20729.33,
2015-04-27,19702.11,
2015-05-06,19522.34,
2015-05-22,21340.52,
2015-05-27,20708.78,
2015-06-10,20698.51,
2015-06-12,20169.49,
2015-06-22,20950.18,
2015-07-09,19938.37,
2015-07-10,19943.50,
2015-07-21,21658.96,
2015-08-04,21499.74,
2015-08-14,22609.14,
2015-08-19,23158.71,
2015-08-26,21427.84,
2015-09-07,21366.20,
2015-09-24,22290.70,
2015-10-05,22562.92,
2015-10-14,21823.32,
2015-10-21,22342.06,
2015-11-03,22362.61,
2015-11-18,21078.58,
2015-11-30,21684.64,
2015-12-04,21268.62,
2015-12-09,21083.72,
2015-12-21,21823.32,
2016-01-07,20975.86,
2016-01-14,21289.16,
2016-01-20,20868.00,
2016-02-01,21818.18,
2016-02-11,20071.91,
2016-02-18,20713.92,
2016-02-29,19871.60,
2016-03-08,21042.63,
2016-03-17,21073.45,
2016-04-04,22203.39,
