# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:14.699057+00:00
stretch_ending,fund_return,benchmark_return
2026-06-10,-0.047895,
2026-06-17,-0.016416,
2026-06-24,-0.034111,
2026-07-01,-0.051206,
2026-07-08,-0.054336,
2026-07-15,-0.037303,
2026-07-22,-0.015467,
2026-07-29,0.035284,
2026-08-05,0.042249,
2026-08-12,0.050246,
2026-08-19,0.009604,
2026-08-26,0.008637,
2026-09-02,-0.008797,
2026-09-09,-0.033825,
2026-09-16,-0.068922,
2026-09-23,-0.050426,
