# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:02.014801+00:00
stretch_ending,fund_return,benchmark_return
2021-07-02,0.149965,
2021-07-09,0.140189,
2021-07-16,0.142935,
2021-07-23,0.138422,
2021-07-30,0.128060,
2021-08-06,0.139411,
2021-08-13,0.145474,
2021-08-20,0.140657,
2021-08-27,0.140084,
2021-09-03,0.160804,
2021-09-09,0.169344,
2021-09-17,0.175357,
2021-09-24,0.188895,
2021-10-01,0.187622,
2021-10-08,0.215168,
2021-10-14,0.213762,
2021-10-22,0.225781,
2021-10-29,0.215065,
2021-11-03,0.205095,
2021-11-12,0.209383,
2021-11-18,0.198734,
2021-11-26,0.181232,
2021-12-03,0.178452,
2021-12-10,0.196565,
2021-12-17,0.171521,
2021-12-24,0.179575,
2021-12-31,0.180699,
2022-01-07,0.193635,
2022-01-14,0.199802,
2022-01-21,0.184119,
2022-01-28,0.180749,
2022-02-04,0.180775,
2022-02-11,0.182287,
2022-02-18,0.188872,
2022-02-25,0.168561,
2022-03-04,0.152757,
2022-03-11,0.149892,
2022-03-17,0.156947,
2022-03-25,0.154815,
2022-04-01,0.159446,
2022-04-08,0.161755,
2022-04-13,0.151265,
2022-04-22,0.150583,
2022-04-29,0.145119,
2022-05-06,0.137473,
2022-05-13,0.133115,
2022-05-20,0.127796,
2022-05-27,0.124486,
2022-06-03,0.127859,
2022-06-10,0.119241,
2022-06-17,0.106981,
2022-06-24,0.112703,
2022-07-01,0.110478,
2022-07-08,0.131595,
2022-07-15,0.122757,
2022-07-22,0.149794,
2022-07-29,0.165499,
2022-08-05,0.175242,
2022-08-12,0.182915,
2022-08-19,0.180315,
2022-08-26,0.171395,
2022-09-02,0.182475,
2022-09-09,0.181560,
2022-09-16,0.183563,
2022-09-23,0.152165,
2022-09-30,0.155297,
2022-10-07,0.161784,
2022-10-14,0.156678,
2022-10-21,0.161390,
2022-10-28,0.157161,
2022-11-04,0.159563,
2022-11-11,0.166201,
2022-11-18,0.162059,
2022-11-25,0.162640,
2022-12-02,0.167575,
2022-12-09,0.167491,
2022-12-16,0.151762,
2022-12-23,0.141400,
2022-12-30,0.149601,
2023-01-06,0.147294,
2023-01-13,0.139684,
2023-01-20,0.147749,
2023-01-27,0.142748,
2023-02-03,0.154176,
2023-02-10,0.149421,
2023-02-17,0.154619,
2023-02-24,0.150602,
2023-03-03,0.168725,
2023-03-10,0.194877,
2023-03-17,0.248122,
2023-03-24,0.300351,
2023-03-31,0.268788,
2023-04-06,0.266553,
2023-04-13,0.266296,
2023-04-21,0.257284,
2023-04-28,0.248008,
2023-05-05,0.256385,
2023-05-12,0.264194,
2023-05-19,0.279105,
2023-05-26,0.278577,
2023-06-02,0.237793,
2023-06-09,0.236655,
2023-06-16,0.245982,
2023-06-23,0.221991,
2023-06-30,0.239195,
2023-07-07,0.221585,
2023-07-14,0.233450,
2023-07-21,0.216608,
2023-07-28,0.207512,
2023-08-04,0.213583,
2023-08-11,0.203897,
2023-08-18,0.200192,
2023-08-25,0.196767,
2023-09-01,0.199210,
2023-09-08,0.212024,
2023-09-15,0.212305,
2023-09-22,0.214976,
2023-09-29,0.211416,
2023-10-06,0.195941,
2023-10-13,0.187210,
2023-10-20,0.182757,
2023-10-27,0.173086,
2023-11-03,0.179244,
2023-11-10,0.154455,
2023-11-17,0.153826,
2023-11-24,0.149882,
2023-12-01,0.157458,
2023-12-08,0.162476,
2023-12-15,0.166075,
2023-12-22,0.166151,
2023-12-29,0.159061,
2024-01-05,0.151362,
2024-01-12,0.145812,
2024-01-19,0.142110,
2024-01-25,0.152435,
2024-02-02,0.141095,
2024-02-09,0.127394,
2024-02-16,0.126105,
2024-02-23,0.146913,
2024-03-01,0.146052,
2024-03-07,0.142499,
2024-03-15,0.139815,
2024-03-22,0.143383,
2024-03-28,0.147010,
2024-04-05,0.157340,
2024-04-12,0.162608,
2024-04-19,0.163288,
2024-04-26,0.156780,
2024-05-03,0.162975,
2024-05-10,0.150219,
2024-05-17,0.148949,
2024-05-24,0.153366,
2024-05-31,0.136016,
2024-06-07,0.147562,
2024-06-14,0.144972,
2024-06-21,0.147701,
2024-06-28,0.156798,
2024-07-05,0.159261,
2024-07-12,0.162290,
2024-07-19,0.166950,
2024-07-26,0.167581,
2024-08-02,0.156788,
2024-08-09,0.145625,
2024-08-16,0.140871,
2024-08-23,0.142913,
2024-08-30,0.138183,
2024-09-06,0.128006,
2024-09-13,0.135923,
2024-09-20,0.138521,
2024-09-27,0.138893,
2024-10-04,0.120903,
2024-10-11,0.116132,
2024-10-18,0.106755,
2024-10-25,0.100178,
2024-10-31,0.108501,
2024-11-08,0.106538,
2024-11-14,0.098442,
2024-11-22,0.115920,
2024-11-29,0.129440,
2024-12-06,0.134698,
2024-12-13,0.133526,
2024-12-20,0.126137,
2024-12-27,0.118901,
2025-01-03,0.109040,
2025-01-10,0.095755,
2025-01-17,0.091424,
2025-01-24,0.107007,
2025-01-31,0.107017,
2025-02-07,0.115400,
2025-02-14,0.104121,
2025-02-21,0.106317,
2025-02-28,0.107873,
2025-03-07,0.127550,
2025-03-13,0.109109,
2025-03-21,0.109833,
2025-03-28,0.112554,
2025-04-04,0.088817,
2025-04-11,0.097602,
2025-04-17,0.127558,
2025-04-25,0.124810,
2025-05-02,0.142153,
2025-05-09,0.146177,
2025-05-16,0.160008,
2025-05-23,0.159045,
2025-05-30,0.146516,
2025-06-06,0.153580,
2025-06-13,0.165731,
2025-06-20,0.172672,
2025-06-27,0.176402,
2025-07-04,0.173943,
2025-07-11,0.164084,
2025-07-18,0.154435,
2025-07-25,0.149328,
2025-08-01,0.126141,
2025-08-08,0.118017,
2025-08-14,0.115450,
2025-08-22,0.123605,
2025-08-29,0.113523,
2025-09-05,0.119891,
2025-09-12,0.116813,
2025-09-19,0.125384,
2025-09-26,0.132038,
2025-10-03,0.129424,
2025-10-10,0.141434,
2025-10-17,0.136255,
2025-10-24,0.133680,
2025-10-31,0.122481,
2025-11-07,0.119851,
2025-11-14,0.120698,
2025-11-21,0.126416,
2025-11-28,0.120880,
2025-12-05,0.121237,
2025-12-12,0.119842,
2025-12-19,0.123336,
2025-12-26,0.128551,
2026-01-02,0.129467,
2026-01-09,0.127106,
2026-01-16,0.123775,
2026-01-23,0.112557,
2026-01-30,0.124736,
2026-02-06,0.126021,
2026-02-13,0.117081,
2026-02-20,0.119841,
2026-02-27,0.123579,
2026-03-06,0.104038,
2026-03-13,0.098414,
2026-03-20,0.097209,
2026-03-27,0.095517,
2026-04-02,0.081476,
2026-04-10,0.099009,
2026-04-17,0.106087,
2026-04-24,0.095051,
2026-04-30,0.088802,
2026-05-08,0.088360,
2026-05-15,0.076933,
2026-05-22,0.077669,
2026-05-29,0.068826,
2026-06-05,0.066883,
2026-06-12,0.070986,
2026-06-19,0.076477,
2026-06-25,0.077333,
2026-07-03,0.069115,
2026-07-10,0.067523,
2026-07-17,0.063789,
2026-07-24,0.056659,
2026-07-31,0.065352,
2026-08-07,0.070587,
2026-08-14,0.069654,
2026-08-21,0.069100,
2026-08-28,0.068621,
2026-09-04,0.061437,
2026-09-11,0.045790,
2026-09-18,0.045688,
2026-09-25,0.048300,
