# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:04.984619+00:00
date,fund_value_inr,benchmark_value_inr
2024-12-09,10000.00,
2024-12-10,9990.01,
2024-12-11,9990.01,
2024-12-12,9980.02,
2024-12-13,10029.97,
2024-12-16,10009.99,
2024-12-17,9940.06,
2024-12-18,9930.07,
2024-12-19,9900.10,
2024-12-20,9810.19,
2024-12-23,9840.16,
2024-12-24,9840.16,
2024-12-26,9830.17,
2024-12-27,9860.14,
2024-12-30,9820.18,
2024-12-31,9810.19,
2025-01-01,9830.17,
2025-01-02,9950.05,
2025-01-03,9900.10,
2025-01-06,9800.20,
2025-01-07,9840.16,
2025-01-08,9840.16,
2025-01-09,9800.20,
2025-01-10,9780.22,
2025-01-13,9680.32,
2025-01-14,9690.31,
2025-01-15,9710.29,
2025-01-16,9740.26,
2025-01-17,9710.29,
2025-01-20,9740.26,
2025-01-21,9640.36,
2025-01-22,9690.31,
2025-01-23,9720.28,
2025-01-24,9700.30,
2025-01-27,9610.39,
2025-01-28,9630.37,
2025-01-29,9710.29,
2025-01-30,9760.24,
2025-01-31,9850.15,
2025-02-03,9770.23,
2025-02-04,9900.10,
2025-02-05,9860.14,
2025-02-06,9830.17,
2025-02-07,9820.18,
2025-02-10,9760.24,
2025-02-11,9640.36,
2025-02-12,9640.36,
2025-02-13,9640.36,
2025-02-14,9610.39,
2025-02-17,9620.38,
2025-02-18,9610.39,
2025-02-19,9600.40,
2025-02-20,9590.41,
2025-02-21,9560.44,
2025-02-24,9480.52,
2025-02-25,9460.54,
2025-02-27,9440.56,
2025-02-28,9290.71,
2025-03-03,9290.71,
2025-03-04,9270.73,
2025-03-05,9380.62,
2025-03-06,9470.53,
2025-03-07,9470.53,
2025-03-10,9440.56,
2025-03-11,9480.52,
2025-03-12,9460.54,
2025-03-13,9440.56,
2025-03-17,9480.52,
2025-03-18,9610.39,
2025-03-19,9640.36,
2025-03-20,9760.24,
2025-03-21,9850.15,
2025-03-24,9960.04,
2025-03-25,9960.04,
2025-03-26,9880.12,
2025-03-27,9930.07,
2025-03-28,9910.09,
2025-03-31,9910.09,
2025-04-01,9790.21,
2025-04-02,9850.15,
2025-04-03,9860.14,
2025-04-04,9740.26,
2025-04-07,9500.50,
2025-04-08,9640.36,
2025-04-09,9600.40,
2025-04-11,9750.25,
2025-04-15,9930.07,
2025-04-16,9980.02,
2025-04-17,10119.88,
2025-04-21,10189.81,
2025-04-22,10199.80,
2025-04-23,10259.74,
2025-04-24,10239.76,
2025-04-25,10189.81,
2025-04-28,10309.69,
2025-04-29,10299.70,
2025-04-30,10329.67,
2025-05-02,10319.68,
2025-05-05,10359.64,
2025-05-06,10329.67,
2025-05-07,10309.69,
2025-05-08,10269.73,
2025-05-09,10179.82,
2025-05-12,10469.53,
2025-05-13,10369.63,
2025-05-14,10389.61,
2025-05-15,10539.46,
2025-05-16,10529.47,
2025-05-19,10519.48,
2025-05-20,10419.58,
2025-05-21,10459.54,
2025-05-22,10389.61,
2025-05-23,10479.52,
2025-05-26,10529.47,
2025-05-27,10469.53,
2025-05-28,10449.55,
2025-05-29,10489.51,
2025-05-30,10439.56,
2025-06-02,10419.58,
2025-06-03,10359.64,
2025-06-04,10369.63,
2025-06-05,10419.58,
2025-06-06,10509.49,
2025-06-09,10559.44,
2025-06-10,10559.44,
2025-06-11,10589.41,
2025-06-12,10509.49,
2025-06-13,10449.55,
2025-06-16,10549.45,
2025-06-17,10529.47,
2025-06-18,10499.50,
2025-06-19,10489.51,
2025-06-20,10589.41,
2025-06-23,10529.47,
2025-06-24,10549.45,
2025-06-25,10619.38,
2025-06-26,10699.30,
2025-06-27,10749.25,
2025-06-30,10709.29,
2025-07-01,10699.30,
2025-07-02,10679.32,
2025-07-03,10669.33,
2025-07-04,10689.31,
2025-07-07,10699.30,
2025-07-08,10709.29,
2025-07-09,10699.30,
2025-07-10,10659.34,
2025-07-11,10599.40,
