# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:14.436628+00:00
date,fund_below_high,benchmark_below_high
2022-03-25,0.000000,
2022-03-28,0.000000,
2022-03-31,0.000000,
2022-04-05,0.000000,
2022-04-07,-0.001561,
2022-04-08,-0.009975,
2022-04-13,-0.020278,
2022-04-20,-0.014539,
2022-04-22,-0.017682,
2022-04-25,-0.015743,
2022-04-28,-0.016678,
2022-05-02,-0.017523,
2022-05-05,-0.034917,
2022-05-06,-0.038039,
2022-05-09,-0.036567,
2022-05-11,-0.029944,
2022-05-13,-0.030392,
2022-05-18,-0.032182,
2022-05-24,-0.030461,
2022-05-26,-0.027886,
2022-05-27,-0.028701,
2022-05-31,-0.033216,
2022-06-03,-0.033087,
2022-06-07,-0.036309,
2022-06-10,-0.034350,
2022-06-13,-0.036388,
2022-06-16,-0.034002,
2022-06-17,-0.033942,
2022-06-22,-0.028582,
2022-06-24,-0.027468,
2022-06-29,-0.027458,
2022-07-01,-0.025688,
2022-07-04,-0.023510,
2022-07-07,-0.020367,
2022-07-12,-0.021411,
2022-07-13,-0.019263,
2022-07-15,-0.020039,
2022-07-19,-0.017513,
2022-07-22,-0.020377,
2022-07-25,-0.017344,
2022-07-28,-0.015922,
2022-08-02,-0.010780,
2022-08-04,-0.008105,
2022-08-05,-0.012123,
2022-08-10,-0.011745,
2022-08-17,-0.005599,
2022-08-19,-0.005500,
2022-08-23,-0.005639,
2022-08-26,-0.003809,
2022-08-29,-0.006156,
2022-09-01,-0.003322,
2022-09-06,-0.002705,
2022-09-09,0.000000,
2022-09-13,-0.000696,
2022-09-15,-0.007691,
2022-09-16,-0.007025,
2022-09-22,-0.009241,
2022-09-26,-0.016067,
2022-09-28,-0.014070,
2022-09-30,-0.009807,
2022-10-06,-0.008197,
2022-10-10,-0.014626,
2022-10-12,-0.012132,
2022-10-14,-0.011258,
2022-10-18,-0.007243,
2022-10-19,-0.005505,
2022-10-21,-0.008863,
2022-10-31,-0.004571,
2022-11-01,-0.005703,
2022-11-03,-0.004471,
2022-11-07,-0.007442,
2022-11-11,0.000000,
2022-11-16,0.000000,
2022-11-18,-0.000911,
2022-11-21,-0.000050,
2022-11-23,-0.000584,
2022-11-29,-0.001433,
2022-12-01,0.000000,
2022-12-05,0.000000,
2022-12-07,-0.001064,
2022-12-08,-0.000118,
2022-12-13,0.000000,
2022-12-16,0.000000,
2022-12-19,-0.001416,
2022-12-21,-0.000197,
2022-12-26,-0.001446,
2022-12-28,-0.001121,
2022-12-29,-0.000580,
2023-01-04,0.000000,
2023-01-06,-0.000648,
2023-01-09,0.000000,
2023-01-11,-0.000637,
2023-01-16,-0.000039,
2023-01-19,0.000000,
2023-01-20,-0.000948,
2023-01-25,-0.000645,
2023-01-27,-0.001516,
2023-01-31,0.000000,
2023-02-02,0.000000,
2023-02-07,-0.002633,
2023-02-10,-0.003530,
2023-02-13,-0.003423,
2023-02-16,-0.001658,
2023-02-21,-0.002711,
2023-02-22,-0.003725,
2023-02-24,-0.003335,
2023-03-01,-0.003774,
2023-03-02,-0.002886,
2023-03-08,-0.002789,
2023-03-13,0.000000,
2023-03-15,-0.001099,
2023-03-16,-0.000136,
2023-03-20,-0.000593,
2023-03-23,0.000000,
2023-03-27,0.000000,
2023-03-31,0.000000,
2023-04-06,0.000000,
2023-04-10,-0.000643,
2023-04-12,0.000000,
2023-04-19,-0.000987,
2023-04-20,-0.000220,
2023-04-24,0.000000,
2023-04-27,0.000000,
2023-04-28,-0.000469,
2023-05-03,0.000000,
2023-05-08,-0.000363,
2023-05-12,-0.000782,
2023-05-15,0.000000,
2023-05-17,0.000000,
2023-05-22,0.000000,
2023-05-24,-0.001650,
2023-05-29,-0.000199,
2023-05-30,-0.000730,
2023-06-02,0.000000,
2023-06-06,0.000000,
2023-06-09,-0.001505,
2023-06-13,-0.000521,
2023-06-15,-0.000843,
2023-06-19,0.000000,
2023-06-20,-0.001088,
2023-06-22,-0.001495,
2023-06-28,0.000000,
2023-07-03,-0.001399,
2023-07-05,-0.000340,
2023-07-07,0.000000,
2023-07-10,-0.000973,
2023-07-13,0.000000,
2023-07-18,-0.000537,
2023-07-19,0.000000,
2023-07-21,-0.000301,
2023-07-26,0.000000,
2023-07-28,-0.001656,
2023-08-01,-0.001741,
2023-08-03,-0.003190,
2023-08-07,-0.001157,
2023-08-09,-0.001628,
2023-08-14,-0.000273,
