# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:12.854043+00:00
date,fund_below_high,benchmark_below_high
2022-10-12,0.000000,
2022-10-13,-0.003068,
2022-10-14,-0.009770,
2022-10-18,0.000000,
2022-10-21,-0.002958,
2022-10-25,0.000000,
2022-10-31,0.000000,
2022-11-01,0.000000,
2022-11-03,-0.011413,
2022-11-07,0.000000,
2022-11-10,-0.027316,
2022-11-15,-0.022048,
2022-11-16,-0.025762,
2022-11-21,-0.056093,
2022-11-23,-0.050314,
2022-11-25,-0.036716,
2022-11-29,-0.033068,
2022-11-30,-0.016799,
2022-12-02,-0.030583,
2022-12-07,-0.044078,
2022-12-08,-0.041491,
2022-12-12,-0.044041,
2022-12-14,-0.034268,
2022-12-16,-0.051226,
2022-12-19,-0.036251,
2022-12-22,-0.067541,
2022-12-23,-0.091143,
2022-12-27,-0.069961,
2022-12-29,-0.061705,
2023-01-02,-0.059314,
2023-01-04,-0.070873,
2023-01-09,-0.050881,
2023-01-11,-0.053171,
2023-01-13,-0.047317,
2023-01-16,-0.053562,
2023-01-18,-0.048499,
2023-01-20,-0.058011,
2023-01-24,-0.038215,
2023-01-30,-0.029727,
2023-01-31,-0.011355,
2023-02-02,-0.019452,
2023-02-06,-0.008553,
2023-02-08,-0.016064,
2023-02-10,-0.017739,
2023-02-14,-0.027297,
2023-02-15,-0.017748,
2023-02-20,-0.022067,
2023-02-21,-0.024208,
2023-02-23,-0.036269,
2023-02-27,-0.058941,
2023-03-01,-0.046107,
2023-03-03,-0.050742,
2023-03-08,-0.033598,
2023-03-13,-0.075359,
2023-03-15,-0.088351,
2023-03-16,-0.086676,
2023-03-20,-0.099455,
2023-03-23,-0.094019,
2023-03-27,-0.106705,
2023-03-28,-0.115826,
2023-04-03,-0.078737,
2023-04-05,-0.083847,
2023-04-10,-0.064981,
2023-04-12,-0.046972,
2023-04-17,-0.037107,
2023-04-19,-0.036660,
2023-04-20,-0.034473,
2023-04-24,-0.044795,
2023-04-26,-0.038978,
2023-05-02,-0.016082,
2023-05-04,-0.015440,
2023-05-08,0.000000,
2023-05-09,0.000000,
2023-05-12,0.000000,
2023-05-15,0.000000,
2023-05-18,-0.017140,
2023-05-19,-0.010311,
2023-05-23,-0.001902,
2023-05-25,0.000000,
2023-05-30,-0.002971,
2023-06-01,0.000000,
2023-06-02,0.000000,
2023-06-07,0.000000,
2023-06-09,-0.013082,
2023-06-12,-0.009880,
2023-06-13,-0.010942,
2023-06-16,-0.003627,
2023-06-19,-0.009897,
2023-06-21,-0.002854,
2023-06-23,-0.018290,
2023-06-28,0.000000,
2023-06-30,0.000000,
2023-07-04,-0.007383,
2023-07-06,0.000000,
2023-07-10,-0.006247,
2023-07-12,-0.000185,
2023-07-14,-0.000395,
2023-07-19,-0.004716,
2023-07-20,-0.000605,
2023-07-25,0.000000,
2023-07-27,-0.011680,
2023-07-31,-0.002623,
2023-08-02,-0.020234,
2023-08-04,-0.025114,
2023-08-07,-0.021191,
2023-08-09,-0.015156,
2023-08-11,-0.021773,
2023-08-14,-0.024340,
2023-08-18,-0.020322,
2023-08-22,-0.012979,
2023-08-23,-0.013609,
2023-08-25,-0.022172,
2023-08-30,-0.002288,
2023-08-31,-0.002798,
2023-09-04,0.000000,
2023-09-06,-0.001430,
