# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:01.542733+00:00
stretch_ending,fund_return,benchmark_return
2021-07-02,0.058653,
2021-07-09,0.050141,
2021-07-16,0.062092,
2021-07-23,0.052520,
2021-07-30,0.041627,
2021-08-06,0.041606,
2021-08-13,0.039578,
2021-08-20,0.018204,
2021-08-27,0.021362,
2021-09-03,0.040019,
2021-09-09,0.050343,
2021-09-17,0.064090,
2021-09-24,0.067963,
2021-10-01,0.084405,
2021-10-08,0.116885,
2021-10-14,0.118611,
2021-10-22,0.117210,
2021-10-29,0.094712,
2021-11-03,0.092164,
2021-11-12,0.097203,
2021-11-18,0.091703,
2021-11-26,0.075449,
2021-12-03,0.079976,
2021-12-10,0.101429,
2021-12-17,0.077052,
2021-12-24,0.077412,
2021-12-31,0.072672,
2022-01-07,0.089378,
2022-01-14,0.103291,
2022-01-21,0.102795,
2022-01-28,0.114702,
2022-02-04,0.118859,
2022-02-11,0.126246,
2022-02-18,0.119282,
2022-02-25,0.106303,
2022-03-04,0.097467,
2022-03-11,0.088536,
2022-03-17,0.083435,
2022-03-25,0.085872,
2022-03-31,0.081424,
2022-04-08,0.109906,
2022-04-13,0.105572,
2022-04-22,0.110466,
2022-04-29,0.096591,
2022-05-06,0.094441,
2022-05-13,0.083016,
2022-05-20,0.081140,
2022-05-27,0.060617,
2022-06-03,0.069379,
2022-06-10,0.075053,
2022-06-17,0.057415,
2022-06-24,0.047306,
2022-07-01,0.054244,
2022-07-08,0.078271,
2022-07-15,0.081878,
2022-07-22,0.107087,
2022-07-29,0.127229,
2022-08-05,0.139356,
2022-08-12,0.157473,
2022-08-19,0.161796,
2022-08-26,0.158998,
2022-09-02,0.180043,
2022-09-09,0.167870,
2022-09-16,0.173908,
2022-09-23,0.144016,
2022-09-30,0.141393,
2022-10-07,0.152501,
2022-10-14,0.150242,
2022-10-21,0.151815,
2022-10-28,0.158425,
2022-11-04,0.157318,
2022-11-11,0.169151,
2022-11-18,0.165603,
2022-11-25,0.173128,
2022-12-02,0.182727,
2022-12-09,0.201187,
2022-12-16,0.188656,
2022-12-23,0.173442,
2022-12-30,0.182621,
2023-01-06,0.187408,
2023-01-13,0.180306,
2023-01-20,0.195871,
2023-01-27,0.189558,
2023-02-03,0.209799,
2023-02-10,0.205085,
2023-02-17,0.225370,
2023-02-24,0.222902,
2023-03-03,0.250041,
2023-03-10,0.292999,
2023-03-17,0.341923,
2023-03-24,0.375090,
2023-03-31,0.365782,
2023-04-06,0.363587,
2023-04-13,0.346244,
2023-04-21,0.371592,
2023-04-28,0.371389,
2023-05-04,0.380567,
2023-05-12,0.400665,
2023-05-19,0.405512,
2023-05-26,0.405755,
2023-06-02,0.365560,
2023-06-09,0.359323,
2023-06-16,0.394710,
2023-06-23,0.353444,
2023-06-30,0.375119,
2023-07-07,0.375343,
2023-07-14,0.382277,
2023-07-21,0.374562,
2023-07-28,0.389000,
2023-08-04,0.395143,
2023-08-11,0.379468,
2023-08-18,0.365118,
2023-08-25,0.363963,
2023-09-01,0.380103,
2023-09-08,0.416221,
2023-09-15,0.421686,
2023-09-22,0.444177,
2023-09-29,0.454908,
2023-10-06,0.451616,
2023-10-13,0.464043,
2023-10-20,0.446776,
2023-10-27,0.427950,
2023-11-03,0.431283,
2023-11-10,0.408256,
2023-11-17,0.400466,
2023-11-24,0.385740,
2023-12-01,0.400002,
2023-12-08,0.399181,
2023-12-15,0.402812,
2023-12-22,0.419052,
2023-12-29,0.417347,
2024-01-05,0.412281,
2024-01-12,0.395880,
2024-01-19,0.401747,
2024-01-25,0.421641,
2024-02-02,0.409787,
2024-02-09,0.388555,
2024-02-16,0.396130,
2024-02-23,0.396496,
2024-03-01,0.386748,
2024-03-07,0.402353,
2024-03-15,0.368390,
2024-03-22,0.396972,
2024-03-28,0.407240,
2024-04-05,0.424453,
2024-04-12,0.435296,
2024-04-19,0.437852,
2024-04-26,0.438127,
2024-05-03,0.442268,
2024-05-10,0.393339,
2024-05-17,0.404249,
2024-05-24,0.415081,
