# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:11.996590+00:00
stretch_ending,fund_return,benchmark_return
2024-10-18,0.138499,
2024-10-25,0.135652,
2024-10-31,0.118968,
2024-11-08,0.141190,
2024-11-14,0.132428,
2024-11-22,0.130641,
2024-11-29,0.134517,
2024-12-06,0.141918,
2024-12-13,0.152491,
2024-12-20,0.145622,
2024-12-27,0.143261,
2025-01-03,0.147637,
2025-01-10,0.153186,
2025-01-17,0.180567,
2025-01-24,0.212417,
2025-01-31,0.185802,
2025-02-07,0.196204,
2025-02-14,0.203196,
2025-02-21,0.218186,
2025-02-28,0.192738,
2025-03-07,0.200216,
2025-03-13,0.177065,
2025-03-21,0.151267,
2025-03-28,0.126468,
2025-04-04,0.099965,
2025-04-11,0.150061,
2025-04-17,0.130557,
2025-04-25,0.187200,
2025-05-02,0.177424,
2025-05-09,0.217043,
2025-05-16,0.234893,
2025-05-23,0.252553,
2025-05-30,0.230170,
2025-06-06,0.237119,
2025-06-13,0.283437,
2025-06-20,0.276715,
2025-06-27,0.282473,
2025-07-03,0.281143,
2025-07-11,0.279505,
2025-07-18,0.267225,
2025-07-25,0.278938,
2025-08-01,0.252208,
2025-08-08,0.248796,
2025-08-14,0.243101,
2025-08-22,0.259513,
2025-08-29,0.279027,
2025-09-05,0.296442,
2025-09-12,0.307867,
2025-09-19,0.320754,
2025-09-26,0.333434,
2025-10-03,0.326694,
2025-10-10,0.342322,
2025-10-17,0.335488,
2025-10-24,0.321030,
2025-10-31,0.349671,
2025-11-07,0.362178,
2025-11-14,0.319511,
2025-11-21,0.308908,
2025-11-28,0.343108,
2025-12-05,0.345785,
2025-12-12,0.326243,
2025-12-19,0.357056,
2025-12-26,0.370404,
2026-01-02,0.362432,
2026-01-09,0.361413,
2026-01-16,0.348512,
2026-01-23,0.344510,
2026-01-30,0.334683,
2026-02-06,0.292559,
2026-02-13,0.292691,
2026-02-20,0.316939,
2026-02-27,0.317023,
2026-03-06,0.312006,
2026-03-13,0.310231,
2026-03-20,0.285375,
2026-03-27,0.284021,
2026-04-02,0.282512,
2026-04-10,0.299208,
2026-04-17,0.321582,
2026-04-24,0.353083,
2026-04-30,0.347258,
2026-05-08,0.367393,
2026-05-15,0.363757,
2026-05-22,0.358236,
2026-05-29,0.346741,
2026-06-05,0.320487,
2026-06-12,0.321661,
2026-06-18,0.324370,
2026-06-25,0.315571,
2026-07-02,0.308971,
2026-07-10,0.317717,
2026-07-17,0.285585,
2026-07-24,0.287652,
2026-07-31,0.277897,
2026-08-07,0.308362,
2026-08-14,0.324628,
2026-08-21,0.313637,
2026-08-28,0.303370,
2026-09-04,0.294870,
2026-09-11,0.303890,
2026-09-18,0.315839,
2026-09-25,0.343325,
