# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:15.886019+00:00
stretch_ending,fund_return,benchmark_return
2022-02-25,0.100045,
2022-03-04,0.097822,
2022-03-11,0.097143,
2022-03-17,0.097303,
2022-03-25,0.095068,
2022-03-31,0.095985,
2022-04-08,0.096527,
2022-04-13,0.095370,
2022-04-22,0.094077,
2022-04-29,0.093051,
2022-05-06,0.090256,
2022-05-13,0.088806,
2022-05-20,0.086240,
2022-05-27,0.083594,
2022-06-03,0.083039,
2022-06-10,0.080139,
2022-06-17,0.073196,
2022-06-24,0.075959,
2022-07-01,0.075420,
2022-07-08,0.077364,
2022-07-15,0.075865,
2022-07-22,0.080832,
2022-07-29,0.083950,
2022-08-05,0.084554,
2022-08-12,0.087926,
2022-08-19,0.089934,
2022-08-26,0.088831,
2022-09-02,0.089124,
2022-09-09,0.091094,
2022-09-16,0.089936,
2022-09-23,0.087141,
2022-09-30,0.088116,
2022-10-07,0.088284,
2022-10-14,0.084161,
2022-10-21,0.087289,
2022-10-28,0.085127,
2022-11-04,0.085745,
2022-11-11,0.087417,
2022-11-18,0.082968,
2022-11-25,0.083395,
2022-12-02,0.087446,
2022-12-09,0.087865,
2022-12-16,0.085420,
2022-12-23,0.080310,
2022-12-30,0.082008,
2023-01-06,0.080897,
2023-01-13,0.081409,
2023-01-20,0.078337,
2023-01-27,0.076009,
2023-02-03,0.074141,
2023-02-10,0.073681,
2023-02-17,0.072853,
2023-02-24,0.072365,
2023-03-03,0.073656,
2023-03-10,0.088098,
2023-03-17,0.102203,
2023-03-24,0.100738,
2023-03-31,0.102808,
2023-04-06,0.095347,
2023-04-13,0.095103,
2023-04-21,0.090358,
2023-04-28,0.092121,
2023-05-04,0.096628,
2023-05-12,0.098657,
2023-05-19,0.096180,
2023-05-26,0.093694,
2023-06-02,0.092076,
2023-06-09,0.094139,
2023-06-16,0.094986,
2023-06-23,0.091739,
2023-06-30,0.091893,
2023-07-07,0.089774,
2023-07-14,0.088543,
2023-07-21,0.086510,
2023-07-28,0.088604,
2023-08-04,0.087359,
2023-08-11,0.087842,
2023-08-18,0.088098,
2023-08-25,0.088491,
2023-09-01,0.089322,
2023-09-08,0.096895,
2023-09-15,0.096280,
2023-09-22,0.096937,
2023-09-29,0.094968,
2023-10-06,0.092052,
2023-10-13,0.092395,
2023-10-20,0.089863,
2023-10-27,0.086753,
2023-11-03,0.087482,
2023-11-10,0.084648,
2023-11-17,0.086455,
2023-11-24,0.086097,
2023-12-01,0.089385,
2023-12-08,0.089985,
2023-12-15,0.090857,
2023-12-22,0.089831,
2023-12-29,0.091365,
2024-01-05,0.089797,
2024-01-12,0.088166,
2024-01-19,0.091300,
2024-01-25,0.092689,
2024-02-02,0.091213,
2024-02-09,0.091516,
2024-02-16,0.092884,
2024-02-23,0.095105,
2024-03-01,0.096100,
2024-03-07,0.097725,
2024-03-15,0.098508,
2024-03-22,0.098790,
2024-03-31,0.097930,
2024-04-05,0.098036,
2024-04-12,0.099061,
2024-04-19,0.098113,
2024-04-26,0.099715,
2024-05-03,0.099032,
2024-05-10,0.097091,
2024-05-17,0.099396,
2024-05-24,0.099807,
2024-05-31,0.097653,
2024-06-07,0.098917,
2024-06-14,0.103891,
2024-06-21,0.101229,
2024-06-28,0.104278,
2024-07-05,0.105370,
2024-07-12,0.104691,
2024-07-19,0.102328,
2024-07-26,0.104813,
2024-08-02,0.102803,
2024-08-09,0.100186,
2024-08-16,0.100842,
2024-08-23,0.102391,
2024-08-30,0.101773,
2024-09-06,0.100758,
2024-09-13,0.101280,
2024-09-20,0.101824,
2024-09-27,0.105840,
2024-10-04,0.102197,
2024-10-11,0.102903,
2024-10-18,0.102662,
2024-10-25,0.098472,
2024-10-31,0.096687,
2024-11-08,0.097067,
2024-11-14,0.094434,
2024-11-22,0.097865,
2024-11-29,0.098813,
2024-12-06,0.102259,
2024-12-13,0.102684,
2024-12-20,0.098868,
2024-12-27,0.099275,
2025-01-03,0.099675,
2025-01-10,0.093996,
2025-01-17,0.094347,
2025-01-24,0.098517,
2025-01-31,0.099985,
2025-02-07,0.099754,
2025-02-14,0.096298,
2025-02-21,0.100135,
2025-02-28,0.094929,
2025-03-07,0.098079,
2025-03-13,0.093651,
2025-03-21,0.100107,
2025-03-28,0.100073,
2025-04-04,0.097034,
2025-04-11,0.098850,
2025-04-17,0.103936,
2025-04-25,0.107625,
2025-05-02,0.111621,
2025-05-09,0.111685,
2025-05-16,0.120937,
