# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:01.639183+00:00
date,fund_value_inr,benchmark_value_inr
2019-04-15,10000.00,
2019-04-16,10009.99,
2019-04-25,9980.02,
2019-05-03,9890.11,
2019-05-07,9790.21,
2019-05-15,9650.35,
2019-05-20,9990.01,
2019-05-23,9890.11,
2019-05-27,10009.99,
2019-06-03,10099.90,
2019-06-07,9990.01,
2019-06-13,10049.95,
2019-06-18,9850.15,
2019-06-26,9870.13,
2019-07-01,9950.05,
2019-07-04,10000.00,
2019-07-10,9520.48,
2019-07-17,9660.34,
2019-07-19,9400.60,
2019-07-26,9440.56,
2019-07-30,9210.79,
2019-08-07,9240.76,
2019-08-09,9480.52,
2019-08-14,9330.67,
2019-08-22,9260.74,
2019-08-27,9550.45,
2019-09-04,9280.72,
2019-09-11,9580.42,
2019-09-18,9440.56,
2019-09-23,10499.50,
2019-09-25,10269.73,
2019-10-04,10019.98,
2019-10-10,10069.93,
2019-10-16,10329.67,
2019-10-17,10559.44,
2019-10-29,10879.12,
2019-10-31,10919.08,
2019-11-08,10599.40,
2019-11-11,10569.43,
2019-11-19,10549.45,
2019-11-22,10429.57,
2019-11-28,10729.27,
2019-12-03,10549.45,
2019-12-10,10359.64,
2019-12-16,10439.56,
2019-12-19,10639.36,
2019-12-27,10739.26,
2019-12-30,10779.22,
2020-01-06,10429.57,
2020-01-08,10469.53,
2020-01-17,11058.94,
2020-01-22,10899.10,
2020-01-24,11038.96,
2020-01-31,10849.15,
2020-02-06,11138.86,
2020-02-11,11038.96,
2020-02-13,11218.78,
2020-02-20,11178.82,
2020-02-28,10569.43,
2020-03-05,10449.55,
2020-03-11,9980.02,
2020-03-12,9260.74,
2020-03-23,7702.30,
2020-03-26,8601.40,
2020-04-01,8181.82,
2020-04-03,8011.99,
2020-04-13,8851.15,
2020-04-17,9240.76,
2020-04-24,8861.14,
2020-04-30,9210.79,
2020-05-07,8521.48,
2020-05-13,8801.20,
2020-05-18,8391.61,
2020-05-21,8911.09,
2020-05-27,8941.06,
2020-06-05,9880.12,
2020-06-09,9610.39,
2020-06-15,9290.71,
2020-06-18,9430.57,
2020-06-23,9850.15,
2020-07-01,9740.26,
2020-07-06,10029.97,
2020-07-08,9930.07,
2020-07-16,9810.19,
2020-07-21,10000.00,
2020-07-27,9870.13,
2020-07-31,9850.15,
2020-08-03,9840.16,
2020-08-07,10179.82,
2020-08-14,10219.78,
2020-08-19,10599.40,
2020-08-26,10699.30,
2020-08-31,10349.65,
2020-09-03,10719.28,
2020-09-08,10459.54,
2020-09-16,10569.43,
2020-09-22,9970.03,
2020-09-24,9660.34,
2020-09-29,10129.87,
2020-10-08,10369.63,
2020-10-13,10199.80,
2020-10-15,10059.94,
2020-10-23,10209.79,
2020-10-26,10119.88,
2020-11-03,10229.77,
2020-11-05,10509.49,
2020-11-12,10889.11,
2020-11-19,10939.06,
2020-11-20,11068.93,
2020-11-26,11008.99,
2020-12-07,11708.29,
2020-12-10,11838.16,
2020-12-16,11918.08,
2020-12-21,11478.52,
2020-12-28,11898.10,
2020-12-30,11928.07,
2021-01-07,12267.73,
2021-01-11,12557.44,
2021-01-18,12297.70,
2021-01-22,12467.53,
2021-01-29,12017.98,
2021-02-02,12657.34,
2021-02-08,12887.11,
2021-02-15,12917.08,
2021-02-17,12907.09,
2021-02-22,12367.63,
2021-02-26,12277.72,
2021-03-03,12767.23,
2021-03-09,12527.47,
2021-03-18,12337.66,
2021-03-23,12457.54,
2021-03-25,11928.07,
2021-04-01,12457.54,
2021-04-12,11998.00,
2021-04-16,12247.75,
2021-04-23,11918.08,
2021-04-28,12577.42,
2021-04-30,12307.69,
2021-05-10,12527.47,
2021-05-14,12477.52,
2021-05-18,12797.20,
2021-05-26,13036.96,
2021-06-01,12947.05,
2021-06-03,13206.79,
2021-06-08,13376.62,
2021-06-15,13396.60,
2021-06-17,13196.80,
2021-06-25,13296.70,
2021-06-29,13176.82,
2021-07-05,13306.69,
2021-07-08,13206.79,
2021-07-16,13316.68,
2021-07-20,13056.94,
2021-07-29,13126.87,
2021-08-03,13466.53,
2021-08-04,13386.61,
2021-08-12,13396.60,
2021-08-18,13586.41,
2021-08-25,13526.47,
2021-08-27,13596.40,
2021-09-02,14175.82,
2021-09-08,14305.69,
2021-09-15,14635.36,
2021-09-20,14515.48,
2021-09-27,14965.03,
2021-09-29,14905.09,
2021-10-06,14955.04,
2021-10-12,15534.47,
2021-10-18,15664.34,
2021-10-21,15274.73,
2021-10-28,15314.69,
2021-11-01,15464.54,
2021-11-11,15574.43,
2021-11-16,15794.21,
2021-11-22,15314.69,
2021-11-25,15364.64,
2021-11-30,14975.02,
2021-12-06,14655.34,
