# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:57.626837+00:00
date,fund_value_inr,benchmark_value_inr
2022-01-03,10000.00,
2022-01-05,10070.75,
2022-01-06,10011.34,
2022-01-12,10312.82,
2022-01-14,10380.03,
2022-01-17,10429.79,
2022-01-20,10123.37,
2022-01-24,9713.73,
2022-01-28,9672.92,
2022-02-02,10012.48,
2022-02-03,9910.52,
2022-02-07,9817.44,
2022-02-10,9960.94,
2022-02-14,9537.53,
2022-02-16,9738.45,
2022-02-21,9612.05,
2022-02-24,9058.98,
2022-02-28,9393.65,
2022-03-03,9246.94,
2022-03-07,8970.81,
2022-03-10,9327.66,
2022-03-15,9373.13,
2022-03-17,9625.20,
2022-03-21,9552.64,
2022-03-24,9620.18,
2022-03-28,9600.82,
2022-03-31,9721.95,
2022-04-04,9964.36,
2022-04-07,9932.61,
2022-04-08,10018.57,
2022-04-13,9894.47,
2022-04-19,9679.50,
2022-04-21,9867.01,
2022-04-25,9622.11,
2022-04-28,9749.65,
2022-05-04,9474.89,
2022-05-05,9504.51,
2022-05-11,9222.55,
2022-05-13,9050.38,
2022-05-17,9279.52,
2022-05-19,9064.80,
2022-05-23,9190.64,
2022-05-25,9070.17,
2022-05-30,9362.92,
2022-06-02,9433.25,
2022-06-07,9325.25,
2022-06-09,9320.58,
2022-06-13,9005.56,
2022-06-15,8981.15,
2022-06-17,8763.49,
2022-06-20,8735.77,
2022-06-22,8790.73,
2022-06-27,9032.60,
2022-06-28,9052.58,
2022-07-01,8986.82,
2022-07-05,9027.04,
2022-07-08,9237.20,
2022-07-12,9168.30,
2022-07-14,9142.63,
2022-07-18,9311.08,
2022-07-21,9488.48,
2022-07-26,9403.78,
2022-07-27,9482.35,
2022-08-01,9772.48,
2022-08-04,9756.48,
2022-08-05,9765.68,
2022-08-10,9808.74,
2022-08-17,10009.88,
2022-08-18,10020.23,
2022-08-22,9798.62,
2022-08-26,9858.14,
2022-08-29,9729.17,
2022-09-01,9886.15,
2022-09-07,9912.12,
2022-09-08,9979.85,
2022-09-13,10133.49,
2022-09-16,9877.47,
2022-09-20,9981.71,
2022-09-22,9916.98,
2022-09-26,9600.54,
2022-09-28,9535.09,
2022-10-03,9563.50,
2022-10-06,9801.25,
2022-10-11,9610.91,
2022-10-13,9644.69,
2022-10-18,9856.86,
2022-10-19,9857.60,
2022-10-21,9892.35,
2022-10-28,10017.19,
2022-11-01,10211.29,
2022-11-07,10210.70,
2022-11-10,10108.00,
2022-11-11,10205.09,
2022-11-16,10256.73,
2022-11-21,10121.34,
2022-11-23,10193.61,
2022-11-24,10289.13,
2022-11-29,10353.96,
2022-12-01,10462.97,
2022-12-07,10339.67,
2022-12-08,10377.56,
2022-12-12,10298.55,
2022-12-14,10396.84,
2022-12-20,10241.50,
2022-12-21,10144.62,
2022-12-23,9910.40,
2022-12-28,10089.13,
2023-01-02,10144.62,
2023-01-04,10065.40,
2023-01-09,10132.78,
2023-01-11,10057.15,
2023-01-16,10118.49,
2023-01-18,10214.71,
2023-01-20,10150.21,
2023-01-24,10185.23,
2023-01-27,9986.59,
2023-02-01,10020.79,
2023-02-03,10140.66,
2023-02-07,10075.28,
2023-02-09,10146.60,
2023-02-13,10090.47,
2023-02-16,10214.73,
2023-02-21,10139.27,
2023-02-22,10046.71,
2023-02-28,9940.12,
2023-03-02,9980.91,
2023-03-08,10182.85,
2023-03-10,10061.40,
2023-03-14,9878.79,
2023-03-17,9904.56,
2023-03-20,9832.01,
2023-03-22,9877.04,
2023-03-28,9757.03,
2023-03-31,9972.34,
2023-04-05,10048.05,
2023-04-06,10056.28,
2023-04-12,10154.87,
2023-04-17,10078.60,
2023-04-19,10029.55,
2023-04-25,10113.30,
2023-04-27,10180.14,
2023-05-02,10310.05,
2023-05-05,10289.46,
2023-05-08,10377.73,
2023-05-12,10401.91,
2023-05-15,10463.77,
2023-05-18,10346.82,
2023-05-22,10446.19,
2023-05-25,10457.15,
2023-05-29,10575.15,
2023-06-01,10584.25,
2023-06-02,10636.19,
2023-06-07,10742.56,
2023-06-09,10680.68,
2023-06-13,10790.74,
2023-06-16,10880.48,
2023-06-21,10903.86,
2023-06-23,10775.63,
2023-06-27,10837.25,
2023-06-30,11039.75,
2023-07-05,11149.45,
2023-07-06,11228.57,
2023-07-10,11110.22,
2023-07-13,11142.38,
2023-07-17,11291.71,
2023-07-20,11429.72,
2023-07-24,11345.47,
2023-07-27,11377.04,
2023-08-01,11534.08,
2023-08-03,11335.10,
2023-08-07,11446.15,
2023-08-09,11503.66,
2023-08-11,11404.53,
2023-08-18,11354.68,
2023-08-21,11420.27,
2023-08-23,11499.39,
2023-08-25,11412.08,
2023-08-31,11451.77,
2023-09-04,11678.01,
2023-09-06,11719.16,
2023-09-11,11985.29,
2023-09-12,11823.65,
2023-09-15,11962.49,
2023-09-21,11785.90,
2023-09-25,11776.54,
2023-09-29,11840.09,
2023-10-04,11697.35,
2023-10-06,11803.10,
2023-10-09,11705.59,
2023-10-12,11887.31,
2023-10-17,11956.16,
2023-10-20,11825.26,
2023-10-23,11609.50,
2023-10-26,11425.10,
2023-11-01,11578.79,
2023-11-02,11707.76,
2023-11-06,11865.72,
2023-11-09,11927.75,
2023-11-15,12204.10,
2023-11-16,12273.05,
2023-11-22,12327.34,
2023-11-24,12325.83,
2023-11-29,12515.38,
2023-12-04,12989.06,
2023-12-06,13106.09,
2023-12-08,13160.95,
2023-12-12,13174.87,
2023-12-15,13574.72,
2023-12-19,13587.57,
2023-12-20,13273.15,
2023-12-26,13537.07,
2023-12-28,13689.24,
2024-01-03,13684.08,
2024-01-05,13838.29,
2024-01-08,13721.39,
2024-01-11,13779.20,
2024-01-15,14077.45,
2024-01-18,13745.78,
2024-01-23,13658.42,
2024-01-29,14105.06,
2024-01-30,13998.04,
2024-02-02,14350.99,
2024-02-07,14484.42,
2024-02-08,14482.67,
2024-02-12,14130.86,
2024-02-15,14495.73,
2024-02-19,14620.88,
2024-02-21,14495.74,
2024-02-27,14575.77,
2024-02-28,14391.33,
2024-03-04,14782.50,
2024-03-07,14793.17,
2024-03-12,14560.47,
2024-03-13,14123.69,
2024-03-19,13970.30,
2024-03-20,13992.02,
2024-03-22,14288.19,
2024-03-31,14500.38,
2024-04-01,14666.24,
2024-04-03,14808.69,
2024-04-08,14888.22,
2024-04-10,14949.32,
2024-04-15,14654.85,
2024-04-19,14546.52,
2024-04-24,14726.06,
2024-04-25,14901.18,
2024-05-02,15130.17,
2024-05-03,15053.17,
2024-05-09,14552.23,
2024-05-13,14642.59,
2024-05-14,14779.79,
2024-05-21,15206.93,
2024-05-23,15395.57,
2024-05-27,15385.08,
2024-05-30,15046.20,
2024-06-03,15703.99,
2024-06-04,14459.61,
2024-06-07,15475.55,
2024-06-11,15583.39,
2024-06-18,15933.40,
2024-06-19,15822.53,
2024-06-21,15782.01,
2024-06-26,15915.10,
2024-07-01,16114.40,
2024-07-02,16066.11,
2024-07-05,16348.43,
2024-07-09,16474.88,
2024-07-11,16458.21,
2024-07-18,16616.83,
2024-07-19,16360.57,
2024-07-24,16437.12,
2024-07-26,16719.70,
2024-07-31,16889.44,
2024-08-01,16911.23,
2024-08-05,16213.30,
2024-08-09,16484.34,
2024-08-13,16345.33,
2024-08-14,16329.90,
2024-08-20,16758.21,
2024-08-23,16829.97,
2024-08-26,16961.17,
2024-08-30,17112.47,
2024-09-03,17145.58,
2024-09-06,16818.37,
2024-09-09,16778.08,
2024-09-11,16769.64,
2024-09-13,17056.50,
2024-09-19,16937.64,
2024-09-23,17248.88,
2024-09-26,17434.48,
2024-09-27,17467.19,
2024-10-01,17322.38,
2024-10-07,16624.52,
2024-10-09,16834.73,
2024-10-14,16914.78,
2024-10-16,16921.30,
2024-10-21,16687.88,
2024-10-22,16377.36,
2024-10-25,16162.35,
2024-10-29,16333.92,
2024-11-04,16161.79,
2024-11-06,16499.72,
2024-11-11,16260.01,
2024-11-13,15843.00,
2024-11-18,15757.53,
2024-11-21,15778.74,
2024-11-25,16317.28,
2024-11-28,16219.34,
2024-12-03,16518.33,
2024-12-05,16671.81,
2024-12-10,16722.67,
2024-12-12,16668.20,
2024-12-16,16736.87,
2024-12-17,16525.73,
2024-12-20,16034.39,
2024-12-26,16122.68,
2024-12-30,16031.15,
2025-01-02,16335.06,
2025-01-06,15949.09,
2025-01-08,15937.53,
2025-01-13,15285.35,
2025-01-14,15390.83,
2025-01-20,15592.25,
2025-01-21,15380.87,
2025-01-23,15478.80,
2025-01-28,14975.61,
2025-01-31,15475.52,
2025-02-03,15207.71,
2025-02-05,15485.65,
2025-02-11,14948.39,
2025-02-13,14901.12,
2025-02-14,14728.60,
2025-02-20,14787.19,
2025-02-24,14540.10,
2025-02-28,14169.76,
2025-03-04,14213.94,
2025-03-06,14587.89,
2025-03-10,14489.56,
2025-03-13,14451.30,
2025-03-17,14508.86,
2025-03-20,14980.73,
2025-03-24,15318.22,
2025-03-26,15184.48,
2025-04-01,15071.16,
2025-04-03,15151.73,
2025-04-07,14501.43,
2025-04-09,14668.58,
2025-04-15,15178.89,
2025-04-21,15614.11,
2025-04-23,15753.68,
2025-04-25,15499.58,
2025-04-29,15639.87,
2025-05-05,15701.70,
2025-05-08,15475.29,
2025-05-09,15352.02,
2025-05-15,15981.00,
2025-05-19,16021.03,
2025-05-20,15869.00,
2025-05-26,15993.66,
2025-05-28,15894.10,
2025-05-29,15936.00,
2025-06-03,15774.49,
2025-06-05,15891.09,
2025-06-11,16172.32,
2025-06-13,15895.89,
2025-06-16,16037.68,
2025-06-19,15844.13,
2025-06-24,15961.63,
2025-06-26,16206.41,
2025-06-27,16278.45,
2025-07-02,16213.17,
2025-07-04,16293.96,
2025-07-09,16345.56,
2025-07-11,16157.20,
2025-07-16,16257.63,
2025-07-18,16135.21,
2025-07-23,16229.51,
2025-07-25,15925.20,
2025-07-30,15976.85,
2025-08-01,15778.92,
2025-08-04,15854.61,
2025-08-08,15649.81,
2025-08-11,15772.47,
2025-08-14,15793.94,
2025-08-20,16072.12,
2025-08-21,16061.90,
2025-08-25,15997.31,
2025-08-29,15686.48,
2025-09-02,15894.32,
2025-09-05,15895.41,
2025-09-08,15909.93,
2025-09-11,16127.59,
2025-09-15,16177.66,
2025-09-18,16387.99,
2025-09-23,16243.69,
2025-09-24,16190.23,
2025-09-26,15944.32,
2025-10-06,16252.52,
2025-10-08,16208.99,
2025-10-10,16351.60,
2025-10-14,16243.57,
2025-10-16,16482.28,
2025-10-23,16618.85,
2025-10-28,16625.25,
2025-10-29,16751.03,
2025-11-03,16669.16,
2025-11-06,16455.08,
2025-11-11,16599.60,
2025-11-12,16655.68,
2025-11-18,16658.32,
2025-11-20,16790.43,
2025-11-25,16604.58,
2025-11-26,16763.51,
2025-12-01,16770.14,
2025-12-03,16683.28,
2025-12-05,16794.19,
2025-12-09,16553.57,
2025-12-12,16681.51,
2025-12-17,16558.97,
2025-12-18,16529.05,
2025-12-23,16761.56,
2025-12-29,16624.70,
2025-12-30,16639.55,
2026-01-02,16960.81,
2026-01-07,16876.00,
2026-01-09,16556.13,
2026-01-14,16599.69,
2026-01-19,16645.18,
2026-01-21,16324.97,
2026-01-23,16314.13,
2026-01-29,16675.57,
2026-02-02,16433.45,
2026-02-04,16724.54,
2026-02-06,16721.65,
2026-02-11,16887.62,
2026-02-13,16505.83,
2026-02-17,16754.51,
2026-02-19,16587.55,
2026-02-25,16671.09,
2026-02-26,16695.44,
2026-03-04,16093.11,
2026-03-06,16156.27,
2026-03-10,16001.98,
2026-03-13,15532.81,
2026-03-18,15717.91,
2026-03-19,15317.58,
2026-03-25,15484.23,
2026-03-30,15019.83,
2026-03-31,15019.53,
2026-04-07,15467.63,
2026-04-08,15871.38,
2026-04-13,15851.27,
2026-04-15,16082.24,
2026-04-21,16312.87,
2026-04-23,16099.33,
2026-04-24,15940.16,
2026-04-29,16121.75,
2026-05-05,16041.21,
2026-05-07,16159.92,
2026-05-12,15703.58,
2026-05-14,15820.85,
2026-05-18,15728.76,
2026-05-20,15800.22,
2026-05-25,15901.69,
2026-05-27,15922.95,
2026-06-01,15624.76,
2026-06-04,15629.64,
2026-06-08,15490.61,
2026-06-11,15389.79,
2026-06-15,15694.61,
2026-06-18,15898.39,
2026-06-22,15867.88,
2026-06-23,15720.22,
2026-06-30,15649.01,
2026-07-01,15683.81,
2026-07-06,15933.60,
2026-07-08,15652.68,
2026-07-13,15892.70,
2026-07-14,15775.43,
2026-07-17,15917.47,
2026-07-21,15920.88,
2026-07-24,15749.36,
2026-07-27,15862.49,
2026-07-31,15998.14,
2026-08-03,16211.03,
2026-08-06,16150.72,
2026-08-10,16165.44,
2026-08-13,16123.89,
2026-08-18,15944.05,
2026-08-19,15872.08,
2026-08-24,15960.81,
2026-08-27,15839.82,
2026-08-28,15891.25,
2026-09-01,15863.75,
2026-09-04,15795.92,
2026-09-09,15588.21,
2026-09-10,15604.99,
2026-09-15,15355.53,
2026-09-21,15534.60,
2026-09-24,15440.59,
2026-09-25,15490.22,
