# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:00.581412+00:00
stretch_ending,fund_return,benchmark_return
2025-01-02,0.159451,
2025-01-09,0.139698,
2025-01-16,0.129031,
2025-01-23,0.153382,
2025-01-30,0.142667,
2025-02-06,0.146629,
2025-02-13,0.146251,
2025-02-20,0.141981,
2025-02-27,0.137743,
2025-03-06,0.161257,
2025-03-13,0.136863,
2025-03-20,0.148166,
2025-03-27,0.153638,
2025-04-03,0.136897,
2025-04-09,0.115764,
2025-04-17,0.144111,
2025-04-24,0.162200,
2025-04-30,0.155137,
2025-05-08,0.170247,
2025-05-15,0.199763,
2025-05-22,0.193438,
2025-05-29,0.189607,
2025-06-05,0.194967,
2025-06-12,0.211543,
2025-06-19,0.220046,
2025-06-26,0.218137,
2025-07-03,0.216484,
2025-07-10,0.202174,
2025-07-17,0.198060,
2025-07-24,0.189295,
2025-07-31,0.168784,
2025-08-07,0.162129,
2025-08-14,0.156296,
2025-08-21,0.172272,
2025-08-28,0.160629,
2025-09-04,0.161639,
2025-09-11,0.158251,
2025-09-18,0.170825,
2025-09-25,0.180246,
2025-10-01,0.180771,
2025-10-09,0.177363,
2025-10-16,0.187532,
2025-10-23,0.184274,
2025-10-30,0.180388,
2025-11-06,0.168792,
2025-11-13,0.172924,
2025-11-20,0.181618,
2025-11-27,0.173217,
2025-12-04,0.163305,
2025-12-11,0.163074,
2025-12-18,0.164128,
2025-12-24,0.183405,
2026-01-01,0.181075,
2026-01-08,0.179449,
2026-01-14,0.179415,
2026-01-22,0.173440,
2026-01-29,0.192470,
2026-02-05,0.199792,
2026-02-12,0.203995,
2026-02-19,0.197572,
2026-02-26,0.214692,
2026-03-05,0.191073,
2026-03-12,0.189734,
2026-03-19,0.177662,
2026-03-25,0.181651,
2026-04-02,0.165253,
2026-04-09,0.182885,
2026-04-16,0.191292,
2026-04-23,0.197341,
2026-04-30,0.181828,
2026-05-07,0.187234,
2026-05-14,0.176062,
2026-05-21,0.175498,
2026-05-27,0.177169,
2026-06-04,0.164241,
2026-06-11,0.152742,
2026-06-18,0.165684,
2026-06-25,0.166386,
2026-07-02,0.160325,
2026-07-09,0.156515,
2026-07-16,0.152708,
2026-07-23,0.152823,
2026-07-30,0.152305,
2026-08-06,0.162281,
2026-08-13,0.166458,
2026-08-20,0.161541,
2026-08-27,0.161342,
2026-09-03,0.148940,
2026-09-10,0.134452,
2026-09-17,0.129230,
2026-09-24,0.135202,
