# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:34.603223+00:00
date,fund_below_high,benchmark_below_high
2013-01-02,0.000000,
2013-01-03,0.000000,
2013-01-11,0.000000,
2013-01-22,0.000000,
2013-01-31,0.000000,
2013-02-11,0.000000,
2013-02-21,0.000000,
2013-03-01,0.000000,
2013-03-12,0.000000,
2013-03-21,0.000000,
2013-04-03,0.000000,
2013-04-15,0.000000,
2013-04-26,0.000000,
2013-05-07,0.000000,
2013-05-24,0.000000,
2013-05-29,-0.000007,
2013-06-12,0.000000,
2013-06-20,-0.000148,
2013-06-26,0.000000,
2013-07-11,0.000000,
2013-07-16,-0.007624,
2013-07-24,-0.009436,
2013-08-05,-0.004517,
2013-08-19,-0.005778,
2013-08-26,-0.001429,
2013-09-02,0.000000,
2013-09-11,0.000000,
2013-09-19,0.000000,
2013-10-09,0.000000,
2013-10-15,-0.000230,
2013-10-21,0.000000,
2013-11-08,0.000000,
2013-11-12,-0.000072,
2013-11-20,0.000000,
2013-12-06,-0.000065,
2013-12-13,-0.000227,
2013-12-27,-0.000258,
2013-12-30,0.000000,
2014-01-16,0.000000,
2014-01-27,0.000000,
2014-01-28,-0.000262,
2014-02-06,0.000000,
2014-02-25,0.000000,
2014-03-04,-0.000038,
2014-03-10,0.000000,
2014-03-19,0.000000,
2014-03-28,0.000000,
2014-04-11,0.000000,
2014-04-23,0.000000,
2014-05-06,0.000000,
2014-05-15,0.000000,
2014-05-26,0.000000,
2014-06-11,0.000000,
2014-06-20,-0.002300,
2014-06-25,-0.000424,
2014-07-03,0.000000,
2014-07-11,-0.001141,
2014-07-22,0.000000,
2014-08-06,-0.001065,
2014-08-11,0.000000,
2014-08-22,-0.000018,
2014-09-03,0.000000,
2014-09-18,0.000000,
2014-09-30,-0.000563,
2014-10-01,0.000000,
2014-10-17,-0.000315,
2014-11-07,0.000000,
2014-11-13,-0.001066,
2014-11-18,0.000000,
2014-12-03,-0.001722,
2014-12-12,0.000000,
2014-12-16,-0.005160,
2014-12-29,-0.000226,
2015-01-06,-0.001014,
2015-01-14,0.000000,
2015-01-23,-0.000764,
2015-02-03,-0.001203,
2015-02-13,0.000000,
2015-03-04,0.000000,
2015-03-13,-0.005849,
2015-03-23,-0.002386,
2015-04-06,0.000000,
2015-04-10,-0.003932,
2015-04-28,0.000000,
2015-05-07,-0.009362,
2015-05-11,-0.003742,
2015-05-28,0.000000,
2015-06-04,-0.007944,
2015-06-12,-0.010766,
2015-06-19,0.000000,
2015-06-29,-0.005774,
2015-07-06,0.000000,
2015-07-15,-0.001845,
2015-07-27,0.000000,
2015-08-04,-0.002280,
2015-08-12,0.000000,
2015-08-24,-0.007360,
2015-09-01,0.000000,
2015-09-18,0.000000,
2015-09-22,-0.000360,
2015-10-07,-0.001057,
2015-10-14,0.000000,
2015-10-28,-0.000145,
2015-11-09,-0.004048,
2015-11-13,0.000000,
2015-11-30,-0.004705,
2015-12-03,0.000000,
2015-12-14,-0.001822,
2015-12-23,0.000000,
2016-01-11,0.000000,
