# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:36.156264+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-02,10000.00,
2013-01-07,10094.04,
2013-01-14,10199.85,
2013-01-24,10126.02,
2013-02-04,10101.83,
2013-02-14,10212.34,
2013-02-28,10169.39,
2013-03-08,10211.11,
2013-03-20,10162.33,
2013-04-02,10174.13,
2013-04-10,10275.58,
2013-04-23,10465.90,
2013-05-06,10479.08,
2013-05-14,10740.45,
2013-05-20,10871.46,
2013-05-27,10912.63,
2013-06-11,10820.67,
2013-06-19,10866.12,
2013-06-26,10668.28,
2013-07-11,10776.64,
2013-07-16,10280.84,
2013-07-24,10080.91,
2013-08-08,10099.52,
2013-08-19,9456.29,
2013-08-22,10099.47,
2013-08-30,9826.98,
2013-09-18,10009.97,
2013-09-23,9778.57,
2013-10-09,10074.35,
2013-10-15,9962.08,
2013-10-29,10066.14,
2013-11-08,9881.19,
2013-11-13,9967.69,
2013-11-27,10017.66,
2013-12-09,9889.28,
2013-12-17,9875.71,
2013-12-19,10017.48,
2014-01-01,9987.33,
2014-01-15,10164.41,
2014-01-20,10230.77,
2014-01-30,10026.32,
2014-02-10,10116.08,
2014-02-24,10032.83,
2014-02-26,10016.88,
2014-03-12,10155.42,
2014-03-26,10194.39,
2014-04-04,10136.79,
2014-04-22,10301.77,
2014-04-25,10279.73,
2014-05-06,10389.40,
2014-05-16,10416.24,
2014-05-28,10572.79,
2014-06-06,10845.31,
2014-06-20,10722.30,
2014-07-02,10782.33,
2014-07-10,10749.27,
2014-07-14,10726.68,
2014-07-24,10863.17,
2014-08-06,10704.37,
2014-08-20,10867.47,
2014-08-26,10833.34,
2014-09-10,10875.31,
2014-09-18,10975.33,
2014-09-30,10955.38,
2014-10-08,11047.91,
2014-10-17,11098.85,
2014-11-05,11396.84,
2014-11-14,11372.00,
2014-11-26,11466.36,
2014-12-02,11648.30,
2014-12-12,11835.97,
2014-12-16,11695.98,
2014-12-26,11699.44,
2015-01-09,11807.00,
2015-01-16,12023.47,
2015-02-02,12170.52,
2015-02-03,12119.34,
2015-02-12,12119.44,
2015-03-04,12203.81,
2015-03-13,12109.72,
2015-03-19,12149.49,
2015-04-06,12228.88,
2015-04-10,12172.15,
2015-04-23,12229.28,
2015-05-08,12055.60,
2015-05-11,12126.52,
2015-05-28,12193.04,
2015-06-04,12039.57,
2015-06-16,11961.51,
2015-06-19,12148.51,
2015-06-29,12039.40,
2015-07-06,12198.70,
2015-07-16,12148.91,
2015-07-28,12242.37,
2015-08-05,12244.23,
2015-08-19,12374.18,
2015-08-24,12268.52,
2015-09-01,12402.40,
2015-09-11,12412.09,
2015-09-28,12511.86,
2015-10-05,12725.66,
2015-10-13,12696.06,
2015-10-21,12727.79,
2015-11-09,12630.59,
2015-11-13,12701.09,
2015-11-30,12593.51,
2015-12-03,12657.34,
2015-12-14,12567.23,
2015-12-23,12619.65,
2016-01-11,12666.18,
2016-01-15,12562.30,
2016-01-21,12653.28,
2016-02-02,12538.51,
2016-02-12,12557.97,
2016-02-25,12372.10,
2016-03-02,12643.27,
2016-03-21,13043.73,
2016-03-30,13028.06,
2016-04-11,13244.30,
2016-04-21,13224.80,
2016-04-29,13274.08,
2016-05-12,13314.80,
2016-05-18,13292.41,
2016-06-01,13302.23,
2016-06-06,13342.85,
2016-06-15,13326.47,
2016-06-24,13408.04,
2016-07-04,13515.52,
2016-07-13,13697.11,
2016-08-01,13987.91,
2016-08-03,13940.13,
2016-08-11,14126.35,
2016-08-23,14086.51,
2016-09-07,14265.49,
2016-09-20,14240.85,
2016-09-27,14435.11,
2016-10-05,14526.54,
2016-10-14,14465.04,
2016-11-02,14457.38,
2016-11-08,14463.89,
2016-11-16,14901.87,
2016-11-24,15315.23,
2016-12-06,15270.60,
2016-12-15,14840.16,
2016-12-28,14716.20,
2017-01-02,15094.23,
2017-01-11,15024.73,
2017-01-20,14986.19,
2017-02-07,15035.40,
2017-02-09,14484.15,
2017-02-17,14532.03,
2017-03-01,14448.99,
2017-03-14,14430.25,
2017-03-27,14760.50,
2017-04-06,14627.12,
2017-04-19,14745.10,
2017-05-02,14695.54,
2017-05-11,14790.20,
2017-05-15,14966.10,
2017-05-31,15055.86,
2017-06-08,15423.62,
2017-06-20,15508.79,
2017-06-27,15482.90,
2017-07-04,15319.39,
2017-07-12,15431.23,
2017-07-24,15535.66,
2017-07-31,15475.46,
2017-08-08,15512.10,
2017-08-28,15456.30,
2017-09-01,15543.20,
2017-09-12,15515.93,
2017-09-21,15383.05,
2017-10-03,15438.12,
2017-10-09,15316.31,
2017-10-18,15400.55,
2017-11-03,15386.15,
2017-11-14,15234.42,
2017-11-20,15384.43,
2017-12-06,15315.73,
2017-12-12,15178.77,
2017-12-15,15217.39,
2017-12-28,15034.90,
2018-01-05,15165.75,
2018-01-16,15004.40,
2018-01-24,15117.39,
2018-02-05,14947.47,
2018-02-14,15049.12,
2018-03-05,14903.65,
2018-03-08,15010.36,
2018-03-26,15114.31,
2018-04-05,15602.43,
2018-04-11,15361.49,
2018-04-20,15227.96,
2018-05-08,15315.13,
2018-05-15,15194.70,
2018-05-28,15352.95,
2018-05-31,15293.07,
2018-06-07,15225.55,
2018-06-21,15357.91,
2018-06-28,15298.20,
2018-07-10,15348.01,
2018-07-17,15451.72,
2018-07-30,15471.03,
2018-08-01,15525.29,
2018-08-16,15507.46,
2018-08-27,15532.76,
2018-09-11,15469.32,
2018-09-17,15516.03,
2018-10-03,15562.03,
2018-10-08,15610.32,
2018-10-16,15677.68,
2018-10-26,15715.10,
2018-11-14,15835.73,
2018-11-20,15836.31,
2018-12-05,16170.63,
2018-12-11,16148.55,
2018-12-19,16450.99,
2018-12-27,16454.17,
2019-01-07,16273.56,
2019-01-15,16344.79,
2019-01-23,16244.31,
2019-02-04,16263.55,
2019-02-13,16430.56,
2019-02-27,16387.23,
2019-03-13,16528.58,
2019-03-19,16601.78,
2019-04-02,16805.96,
2019-04-08,16683.02,
2019-04-23,16671.07,
2019-05-02,16760.78,
2019-05-10,16798.07,
2019-05-24,16963.88,
2019-06-03,17208.73,
2019-06-13,17243.24,
2019-06-18,17480.05,
2019-06-26,17397.95,
2019-07-08,17815.65,
2019-07-16,18070.02,
2019-07-26,17926.97,
2019-08-06,18123.71,
2019-08-14,17876.71,
2019-08-26,18073.82,
2019-09-09,18038.51,
2019-09-20,17780.77,
2019-10-01,18013.27,
2019-10-03,18104.43,
2019-10-14,17956.29,
2019-10-31,18053.04,
2019-11-11,17974.25,
2019-11-20,18103.27,
2019-12-03,18123.96,
2019-12-06,17911.14,
2019-12-16,17825.59,
2019-12-23,18155.39,
2020-01-09,18238.48,
2020-01-14,18069.64,
2020-01-29,18266.03,
2020-01-31,18252.73,
2020-02-07,18569.80,
2020-02-28,18722.74,
2020-03-09,19031.90,
2020-03-19,18580.60,
2020-03-27,18963.84,
2020-04-08,18789.71,
2020-04-23,19581.18,
2020-04-30,19476.72,
2020-05-08,19744.28,
2020-05-18,19640.48,
2020-05-28,19898.45,
2020-06-05,19839.60,
2020-06-24,19842.43,
2020-06-29,19870.68,
2020-07-10,20110.49,
2020-07-14,20067.97,
2020-07-24,20123.69,
2020-08-05,20146.55,
2020-08-19,19957.53,
2020-08-24,19660.84,
2020-09-03,20142.80,
2020-09-08,19953.95,
2020-09-23,20019.18,
2020-09-28,19939.35,
2020-10-12,20246.15,
2020-10-20,20224.44,
2020-10-26,20434.55,
2020-11-11,20379.86,
2020-11-18,20473.94,
2020-12-04,20657.99,
2020-12-09,20693.22,
2020-12-18,20680.78,
2021-01-04,20852.55,
2021-01-05,20870.78,
2021-01-13,20789.66,
2021-01-29,20826.05,
2021-02-03,20573.82,
2021-02-12,20580.03,
2021-02-26,20363.28,
2021-03-12,20291.25,
2021-03-23,20536.68,
2021-03-31,20539.86,
2021-04-08,20664.40,
2021-04-20,20610.03,
2021-05-06,20785.08,
2021-05-14,20801.99,
2021-05-25,20885.81,
2021-06-01,20831.86,
2021-06-11,20951.72,
2021-06-17,20874.46,
2021-07-06,20816.89,
2021-07-14,20838.47,
2021-07-22,20881.37,
2021-07-27,20949.92,
2021-08-06,20989.61,
2021-08-13,21065.64,
2021-08-30,21248.38,
2021-09-14,21333.30,
2021-09-20,21412.89,
2021-10-01,21464.98,
2021-10-06,21449.75,
2021-10-13,21496.18,
2021-11-02,21384.69,
