# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:33.658261+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.138067,
2016-01-08,0.122522,
2016-01-15,0.114657,
2016-01-22,0.107509,
2016-01-29,0.118867,
2016-02-05,0.120106,
2016-02-12,0.096026,
2016-02-19,0.103601,
2016-02-26,0.100769,
2016-03-04,0.121863,
2016-03-18,0.133103,
2016-03-23,0.136396,
2016-04-01,0.136003,
2016-04-08,0.138562,
2016-04-13,0.146053,
2016-04-22,0.136962,
2016-04-29,0.130985,
2016-05-06,0.124828,
2016-05-20,0.128800,
2016-05-27,0.143898,
2016-06-03,0.155719,
2016-06-10,0.161837,
2016-06-17,0.161773,
2016-06-24,0.174715,
2016-07-01,0.181511,
2016-07-08,0.177380,
2016-07-22,0.179584,
2016-07-29,0.202220,
2016-08-05,0.220646,
2016-08-12,0.199914,
2016-08-19,0.225534,
2016-08-26,0.215940,
2016-09-02,0.216805,
2016-09-09,0.201410,
2016-09-23,0.201470,
2016-09-30,0.192191,
2016-10-07,0.194054,
2016-10-14,0.191049,
2016-10-21,0.185347,
2016-10-28,0.179219,
2016-11-04,0.165219,
2016-11-11,0.169278,
2016-11-18,0.152007,
2016-12-02,0.153069,
2016-12-09,0.154791,
2016-12-16,0.148896,
2016-12-23,0.135535,
2016-12-30,0.144664,
2017-01-06,0.152057,
2017-01-13,0.151523,
2017-01-20,0.150587,
2017-02-03,0.178933,
2017-02-10,0.178095,
2017-02-17,0.178614,
2017-02-23,0.180261,
2017-03-03,0.169982,
2017-03-10,0.164768,
2017-03-17,0.175761,
2017-03-24,0.170773,
2017-03-31,0.161453,
2017-04-13,0.165924,
2017-04-21,0.158309,
2017-04-28,0.170162,
2017-05-05,0.169787,
2017-05-12,0.147857,
2017-05-19,0.137770,
2017-05-26,0.141321,
2017-06-09,0.127910,
2017-06-16,0.129773,
2017-06-23,0.124694,
2017-06-30,0.115438,
2017-07-07,0.132702,
2017-07-14,0.143402,
2017-07-21,0.139058,
2017-07-28,0.145723,
2017-08-04,0.156193,
2017-08-18,0.140536,
2017-08-24,0.141283,
2017-09-01,0.136473,
2017-09-08,0.134637,
2017-09-15,0.145871,
2017-09-22,0.140335,
2017-09-29,0.137193,
2017-10-13,0.158808,
2017-10-18,0.147282,
2017-10-27,0.142426,
2017-11-03,0.135925,
2017-11-10,0.126726,
2017-11-17,0.123709,
2017-11-24,0.127675,
2017-12-01,0.112654,
2017-12-08,0.129648,
