# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:39.937971+00:00
date,fund_below_high,benchmark_below_high
2013-01-09,0.000000,
2013-01-15,0.000000,
2013-01-24,-0.020996,
2013-02-01,-0.019538,
2013-02-20,-0.036888,
2013-02-28,-0.078101,
2013-03-08,-0.040006,
2013-03-20,-0.085016,
2013-04-02,-0.072318,
2013-04-09,-0.106591,
2013-04-22,-0.057683,
2013-05-02,-0.037768,
2013-05-13,-0.039503,
2013-05-17,-0.009253,
2013-05-23,-0.048681,
2013-06-06,-0.052051,
2013-06-13,-0.088662,
2013-06-26,-0.108351,
2013-07-01,-0.067138,
2013-07-15,-0.052227,
2013-07-23,-0.058010,
2013-08-06,-0.132616,
2013-08-14,-0.094295,
2013-08-21,-0.153009,
2013-09-03,-0.143831,
2013-09-10,-0.077322,
2013-09-19,-0.045211,
2013-09-30,-0.089567,
2013-10-11,-0.035782,
2013-10-28,-0.033896,
2013-10-31,-0.000880,
2013-11-13,-0.037901,
2013-11-22,-0.033537,
2013-12-02,0.000000,
2013-12-13,-0.028635,
2013-12-20,0.000000,
2014-01-01,0.000000,
2014-01-10,-0.022118,
2014-01-22,-0.001673,
2014-01-30,-0.050615,
2014-02-13,-0.047850,
2014-02-19,-0.027526,
2014-03-05,0.000000,
2014-03-13,-0.008463,
2014-03-18,-0.001363,
2014-04-02,0.000000,
2014-04-16,-0.018713,
2014-04-21,0.000000,
2014-05-07,-0.022208,
2014-05-12,0.000000,
2014-05-27,-0.010504,
2014-06-02,0.000000,
2014-06-16,-0.022541,
2014-06-26,-0.020247,
2014-07-07,0.000000,
2014-07-11,-0.053324,
2014-07-17,-0.019121,
2014-08-01,-0.032406,
2014-08-08,-0.035685,
2014-08-19,0.000000,
2014-09-04,-0.002343,
2014-09-12,0.000000,
2014-09-16,-0.023180,
2014-09-30,-0.018112,
2014-10-16,-0.017729,
2014-10-29,-0.011181,
2014-11-05,-0.005677,
2014-11-17,-0.000940,
2014-12-02,0.000000,
2014-12-04,0.000000,
2014-12-17,-0.006841,
2014-12-22,-0.002113,
2015-01-06,-0.002833,
2015-01-12,0.000000,
