# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:40.058656+00:00
date,fund_value_inr,benchmark_value_inr
2021-10-06,10000.00,
2021-10-07,10000.00,
2021-10-12,10008.99,
2021-10-18,10099.88,
2021-10-19,10026.97,
2021-10-25,9961.05,
2021-10-27,10078.91,
2021-10-29,9877.15,
2021-11-03,10044.95,
2021-11-09,10284.66,
2021-11-11,10170.80,
2021-11-17,10135.84,
2021-11-22,9744.31,
2021-11-24,9864.16,
2021-11-29,9466.64,
2021-11-30,9543.55,
2021-12-06,9510.59,
2021-12-08,9761.29,
2021-12-10,9847.18,
2021-12-15,9737.32,
2021-12-20,9246.90,
2021-12-22,9483.62,
2021-12-23,9560.53,
2021-12-29,9638.43,
2021-12-30,9622.45,
2022-01-03,9860.17,
2022-01-07,9906.11,
2022-01-10,10031.96,
2022-01-13,10182.78,
2022-01-17,10190.77,
2022-01-20,9963.04,
2022-01-24,9484.62,
2022-01-31,9859.17,
2022-02-02,9990.01,
2022-02-07,9739.31,
2022-02-09,9828.21,
2022-02-14,9384.74,
2022-02-15,9623.45,
2022-02-17,9585.50,
2022-02-23,9401.72,
2022-02-24,8913.30,
2022-03-03,9104.08,
2022-03-07,8725.53,
2022-03-10,9156.01,
2022-03-15,9184.98,
2022-03-17,9439.67,
2022-03-21,9393.73,
2022-03-23,9491.61,
2022-03-28,9470.64,
2022-03-31,9668.40,
2022-04-05,9935.08,
2022-04-08,9968.04,
2022-04-11,9973.03,
2022-04-19,9674.39,
2022-04-21,9848.18,
2022-04-25,9641.43,
2022-04-28,9806.23,
2022-05-02,9691.37,
2022-05-04,9474.63,
2022-05-09,9217.94,
2022-05-12,8826.41,
2022-05-17,9122.05,
2022-05-19,8891.33,
2022-05-23,9052.14,
2022-05-25,8869.36,
2022-05-30,9238.91,
2022-06-02,9333.80,
2022-06-07,9194.97,
