# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:37.120159+00:00
date,fund_below_high,benchmark_below_high
2022-11-21,0.000000,
2022-11-22,0.000000,
2022-11-24,0.000000,
2022-11-25,-0.000289,
2022-11-29,-0.000020,
2022-12-02,0.000000,
2022-12-05,0.000000,
2022-12-07,-0.000299,
2022-12-09,0.000000,
2022-12-12,0.000000,
2022-12-15,-0.000070,
2022-12-16,0.000000,
2022-12-20,0.000000,
2022-12-22,0.000000,
2022-12-26,0.000000,
2022-12-28,0.000000,
2022-12-30,0.000000,
2023-01-02,0.000000,
2023-01-04,0.000000,
2023-01-06,0.000000,
2023-01-10,0.000000,
2023-01-12,0.000000,
2023-01-16,0.000000,
2023-01-19,0.000000,
2023-01-20,-0.000059,
2023-01-24,-0.000198,
2023-01-27,0.000000,
2023-01-30,0.000000,
2023-02-01,0.000000,
2023-02-06,0.000000,
2023-02-08,-0.000010,
2023-02-09,0.000000,
2023-02-13,0.000000,
2023-02-14,-0.000296,
2023-02-16,0.000000,
2023-02-21,0.000000,
2023-02-22,-0.000128,
2023-02-24,0.000000,
2023-02-28,0.000000,
2023-03-02,0.000000,
2023-03-03,0.000000,
2023-03-08,0.000000,
2023-03-10,0.000000,
2023-03-15,0.000000,
2023-03-16,-0.000186,
2023-03-20,0.000000,
2023-03-23,0.000000,
2023-03-27,0.000000,
2023-03-28,-0.000117,
2023-03-31,0.000000,
2023-04-05,0.000000,
2023-04-10,0.000000,
2023-04-12,0.000000,
2023-04-17,0.000000,
2023-04-19,0.000000,
2023-04-21,0.000000,
2023-04-24,0.000000,
2023-04-27,0.000000,
2023-04-28,-0.000107,
2023-05-03,0.000000,
2023-05-09,0.000000,
2023-05-10,-0.000039,
2023-05-12,0.000000,
2023-05-16,0.000000,
2023-05-17,0.000000,
