# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:41.028464+00:00
stretch_ending,fund_return,benchmark_return
2024-10-11,0.105892,
2024-10-18,0.107029,
2024-10-25,0.104405,
2024-10-31,0.101165,
2024-11-08,0.101621,
2024-11-14,0.091522,
2024-11-22,0.094579,
2024-11-29,0.101875,
2024-12-06,0.101555,
2024-12-13,0.094829,
2024-12-20,0.092744,
2024-12-27,0.089675,
2025-01-03,0.095574,
2025-01-10,0.092036,
2025-01-17,0.092010,
2025-01-24,0.094086,
2025-01-31,0.088392,
2025-02-07,0.090661,
2025-02-14,0.088785,
2025-02-21,0.087627,
2025-02-28,0.087762,
2025-03-07,0.085570,
2025-03-13,0.088897,
2025-03-21,0.096437,
2025-03-28,0.098128,
2025-04-04,0.108101,
2025-04-11,0.114289,
2025-04-17,0.124589,
2025-04-25,0.121909,
2025-05-02,0.120936,
2025-05-09,0.116676,
2025-05-16,0.123195,
2025-05-23,0.122771,
2025-05-30,0.121270,
2025-06-06,0.121258,
2025-06-13,0.110236,
2025-06-20,0.107078,
2025-06-27,0.108213,
2025-07-04,0.110067,
2025-07-11,0.108683,
2025-07-18,0.107917,
2025-07-25,0.103576,
2025-08-01,0.099710,
2025-08-08,0.093599,
2025-08-14,0.091719,
2025-08-22,0.083055,
2025-08-29,0.081426,
2025-09-05,0.086949,
2025-09-12,0.082168,
2025-09-19,0.081789,
2025-09-26,0.078922,
2025-10-03,0.086140,
2025-10-10,0.083388,
2025-10-17,0.086019,
2025-10-24,0.086437,
2025-10-31,0.082063,
2025-11-07,0.085534,
2025-11-14,0.086225,
2025-11-21,0.086082,
2025-11-28,0.083008,
2025-12-05,0.081982,
2025-12-12,0.074862,
2025-12-19,0.076920,
2025-12-26,0.080580,
2026-01-02,0.077261,
2026-01-09,0.075347,
2026-01-16,0.072779,
2026-01-23,0.070034,
2026-01-30,0.068310,
2026-02-06,0.067326,
2026-02-13,0.072656,
2026-02-20,0.071158,
2026-02-27,0.077215,
2026-03-06,0.071684,
2026-03-13,0.070495,
2026-03-20,0.062141,
2026-03-27,0.045845,
2026-04-02,0.030859,
2026-04-10,0.040404,
2026-04-17,0.031618,
2026-04-24,0.032276,
2026-04-30,0.027464,
2026-05-08,0.033327,
2026-05-15,0.023399,
2026-05-22,0.016400,
2026-05-29,0.020023,
2026-06-05,0.024192,
2026-06-12,0.040681,
2026-06-19,0.044845,
2026-06-25,0.049802,
2026-07-03,0.048510,
2026-07-10,0.050181,
2026-07-17,0.047949,
2026-07-24,0.047673,
2026-07-31,0.050103,
2026-08-07,0.059428,
2026-08-14,0.064078,
2026-08-21,0.062240,
2026-08-28,0.062218,
2026-09-04,0.053971,
2026-09-11,0.049970,
2026-09-18,0.042463,
