# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:32.921691+00:00
date,fund_value_inr,benchmark_value_inr
2025-02-20,10000.00,
2025-02-21,9943.78,
2025-02-24,9830.32,
2025-02-25,9848.39,
2025-02-27,9850.40,
2025-02-28,9663.65,
2025-03-03,9648.59,
2025-03-04,9636.55,
2025-03-05,9733.94,
2025-03-06,9813.25,
2025-03-07,9812.25,
2025-03-10,9783.13,
2025-03-11,9781.12,
2025-03-12,9772.09,
2025-03-13,9744.98,
2025-03-17,9790.16,
2025-03-18,9938.76,
2025-03-19,9958.84,
2025-03-20,10076.31,
2025-03-21,10149.60,
2025-03-24,10291.16,
2025-03-25,10295.18,
2025-03-26,10199.80,
2025-03-27,10241.97,
2025-03-28,10216.87,
2025-03-31,10215.86,
2025-04-01,10034.14,
2025-04-02,10109.44,
2025-04-03,10067.27,
2025-04-04,9944.78,
2025-04-07,9665.66,
2025-04-08,9809.24,
2025-04-09,9759.04,
2025-04-11,9931.73,
2025-04-15,10142.57,
2025-04-16,10182.73,
2025-04-17,10381.53,
2025-04-21,10500.00,
2025-04-22,10525.10,
2025-04-23,10593.37,
2025-04-24,10551.20,
2025-04-25,10473.90,
2025-04-28,10608.43,
2025-04-29,10619.48,
2025-04-30,10613.45,
2025-05-02,10647.59,
2025-05-05,10686.75,
2025-05-06,10665.66,
2025-05-07,10679.72,
2025-05-08,10625.50,
2025-05-09,10509.04,
2025-05-12,10902.61,
2025-05-13,10731.93,
2025-05-14,10756.02,
2025-05-15,10914.66,
2025-05-16,10894.58,
2025-05-19,10858.43,
2025-05-20,10742.97,
2025-05-21,10797.19,
2025-05-22,10711.85,
2025-05-23,10812.25,
2025-05-26,10872.49,
2025-05-27,10789.16,
2025-05-28,10766.06,
2025-05-29,10808.23,
2025-05-30,10794.18,
2025-06-02,10784.14,
2025-06-03,10704.82,
2025-06-04,10743.98,
2025-06-05,10803.21,
2025-06-06,10904.62,
2025-06-09,10938.76,
2025-06-10,10932.73,
2025-06-11,10948.80,
2025-06-12,10839.36,
2025-06-13,10764.06,
2025-06-16,10853.41,
2025-06-17,10825.30,
2025-06-18,10807.23,
2025-06-19,10796.18,
2025-06-20,10933.73,
2025-06-23,10868.47,
2025-06-24,10889.56,
2025-06-25,10981.93,
2025-06-26,11113.45,
2025-06-27,11172.69,
2025-06-30,11112.45,
2025-07-01,11124.50,
2025-07-02,11086.35,
2025-07-03,11063.25,
2025-07-04,11094.38,
2025-07-07,11096.39,
2025-07-08,11132.53,
2025-07-09,11108.43,
2025-07-10,11063.25,
2025-07-11,10971.89,
2025-07-14,10938.76,
2025-07-15,10979.92,
2025-07-16,10989.96,
2025-07-17,10939.76,
2025-07-18,10879.52,
2025-07-21,10937.75,
2025-07-22,10936.75,
2025-07-23,11008.03,
2025-07-24,10935.74,
2025-07-25,10841.37,
2025-07-28,10766.06,
2025-07-29,10824.30,
