# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:34.209872+00:00
date,fund_value_inr,benchmark_value_inr
2025-02-20,10000.00,
2025-02-21,10000.00,
2025-02-24,10005.19,
2025-02-25,10007.89,
2025-02-27,10008.49,
2025-02-28,10011.39,
2025-03-03,10013.88,
2025-03-04,10013.88,
2025-03-05,10015.58,
2025-03-06,10018.08,
2025-03-07,10019.38,
2025-03-10,10023.97,
2025-03-11,10026.37,
2025-03-12,10028.07,
2025-03-13,10029.57,
2025-03-17,10038.66,
2025-03-18,10042.45,
2025-03-19,10049.24,
2025-03-20,10054.04,
2025-03-21,10059.23,
2025-03-24,10068.32,
2025-03-25,10071.22,
2025-03-26,10075.02,
2025-03-27,10089.30,
2025-03-28,10098.19,
2025-03-31,10103.98,
2025-04-02,10129.95,
2025-04-03,10139.44,
2025-04-04,10141.94,
2025-04-07,10148.63,
2025-04-08,10150.63,
2025-04-09,10160.02,
2025-04-11,10169.31,
2025-04-15,10178.00,
2025-04-16,10180.80,
2025-04-17,10184.19,
2025-04-21,10197.98,
2025-04-22,10203.27,
2025-04-23,10206.67,
2025-04-24,10209.17,
2025-04-25,10209.96,
2025-04-28,10214.66,
2025-04-29,10218.75,
2025-04-30,10218.06,
2025-05-02,10224.05,
2025-05-05,10232.44,
2025-05-06,10235.44,
2025-05-07,10236.44,
2025-05-08,10228.24,
2025-05-09,10226.15,
2025-05-13,10245.82,
2025-05-14,10251.72,
2025-05-15,10258.41,
2025-05-16,10266.50,
2025-05-19,10276.19,
2025-05-20,10281.88,
2025-05-21,10289.58,
2025-05-22,10291.07,
2025-05-23,10291.47,
2025-05-26,10295.57,
2025-05-27,10297.07,
2025-05-28,10299.46,
2025-05-29,10301.96,
2025-05-30,10302.96,
2025-06-02,10309.55,
2025-06-03,10313.75,
2025-06-04,10316.25,
2025-06-05,10318.04,
2025-06-06,10343.42,
2025-06-09,10345.11,
2025-06-10,10340.12,
2025-06-11,10336.72,
2025-06-12,10329.63,
2025-06-13,10328.13,
2025-06-16,10332.43,
2025-06-17,10338.22,
2025-06-18,10342.52,
2025-06-19,10343.32,
2025-06-20,10343.12,
2025-06-23,10346.61,
2025-06-24,10352.70,
2025-06-25,10354.70,
2025-06-26,10357.80,
2025-06-27,10361.00,
2025-06-30,10367.79,
2025-07-01,10369.99,
2025-07-02,10375.88,
2025-07-03,10383.47,
2025-07-04,10386.07,
2025-07-07,10393.56,
2025-07-08,10395.66,
2025-07-09,10396.26,
2025-07-10,10394.06,
2025-07-11,10396.46,
2025-07-14,10403.65,
2025-07-15,10406.44,
2025-07-16,10407.44,
2025-07-17,10409.74,
2025-07-18,10410.64,
2025-07-21,10415.73,
2025-07-22,10419.33,
2025-07-23,10420.73,
2025-07-24,10422.93,
2025-07-25,10422.73,
2025-07-28,10426.72,
2025-07-29,10426.92,
2025-07-30,10428.32,
2025-07-31,10430.92,
2025-08-01,10433.61,
2025-08-04,10439.91,
2025-08-05,10442.80,
2025-08-06,10438.11,
2025-08-07,10440.31,
2025-08-08,10443.40,
2025-08-11,10448.20,
2025-08-12,10448.10,
2025-08-13,10446.70,
2025-08-14,10451.09,
2025-08-18,10456.79,
2025-08-19,10456.39,
2025-08-20,10459.19,
2025-08-21,10461.98,
2025-08-22,10463.28,
2025-08-25,10467.68,
2025-08-26,10463.68,
2025-08-28,10470.57,
2025-08-29,10470.07,
2025-09-01,10475.77,
2025-09-02,10474.57,
2025-09-03,10476.67,
2025-09-04,10480.86,
2025-09-05,10482.16,
2025-09-09,10488.85,
2025-09-10,10490.15,
2025-09-11,10491.05,
2025-09-12,10491.25,
2025-09-15,10494.35,
2025-09-16,10496.74,
2025-09-17,10500.04,
2025-09-18,10503.04,
2025-09-19,10504.73,
2025-09-22,10509.13,
2025-09-23,10511.63,
2025-09-24,10514.22,
2025-09-25,10514.82,
2025-09-26,10517.32,
2025-09-30,10526.31,
2025-10-01,10530.51,
2025-10-03,10537.90,
2025-10-06,10544.89,
2025-10-07,10548.09,
2025-10-08,10548.69,
2025-10-09,10550.18,
2025-10-10,10551.98,
2025-10-13,10556.08,
2025-10-14,10558.57,
2025-10-15,10559.17,
2025-10-16,10561.27,
2025-10-17,10563.17,
2025-10-20,10568.26,
2025-10-23,10573.36,
2025-10-24,10573.86,
2025-10-27,10580.25,
2025-10-28,10581.55,
2025-10-29,10582.95,
2025-10-30,10586.94,
2025-10-31,10589.04,
2025-11-03,10594.43,
2025-11-04,10596.33,
2025-11-06,10600.23,
2025-11-07,10602.33,
2025-11-10,10607.32,
2025-11-11,10610.02,
2025-11-12,10612.01,
2025-11-13,10614.31,
2025-11-14,10615.41,
2025-11-17,10620.80,
2025-11-18,10623.20,
2025-11-19,10625.90,
2025-11-20,10627.50,
2025-11-21,10628.30,
2025-11-24,10633.49,
2025-11-25,10636.19,
2025-11-26,10638.78,
2025-11-27,10639.48,
2025-11-28,10640.78,
2025-12-01,10644.78,
2025-12-02,10646.28,
2025-12-03,10646.98,
2025-12-04,10648.77,
2025-12-05,10652.47,
2025-12-08,10657.36,
2025-12-09,10652.37,
2025-12-10,10650.97,
2025-12-11,10651.67,
2025-12-12,10651.57,
2025-12-15,10655.47,
2025-12-16,10654.77,
2025-12-17,10657.16,
2025-12-18,10658.36,
2025-12-19,10659.76,
2025-12-22,10664.06,
2025-12-23,10661.26,
2025-12-24,10669.55,
2025-12-26,10675.14,
2025-12-29,10680.04,
2025-12-30,10681.24,
2025-12-31,10686.23,
2026-01-01,10688.83,
2026-01-02,10689.63,
2026-01-05,10692.52,
2026-01-06,10691.93,
2026-01-07,10688.73,
2026-01-08,10685.93,
2026-01-09,10685.73,
2026-01-12,10692.02,
2026-01-13,10687.93,
2026-01-14,10685.43,
2026-01-16,10685.73,
2026-01-19,10684.33,
2026-01-20,10682.84,
2026-01-21,10685.23,
2026-01-22,10689.33,
2026-01-23,10689.73,
2026-01-27,10696.92,
2026-01-28,10691.33,
2026-01-29,10695.72,
2026-01-30,10700.22,
2026-02-02,10709.31,
2026-02-03,10716.10,
2026-02-04,10721.69,
2026-02-05,10724.99,
2026-02-06,10721.59,
2026-02-09,10724.99,
2026-02-10,10730.08,
2026-02-11,10736.67,
2026-02-12,10741.17,
2026-02-13,10749.16,
2026-02-16,10756.45,
2026-02-17,10757.05,
2026-02-18,10753.36,
2026-02-20,10757.25,
2026-02-23,10762.05,
2026-02-24,10763.15,
2026-02-25,10765.14,
2026-02-26,10769.34,
2026-02-27,10769.94,
2026-03-02,10775.13,
2026-03-04,10775.33,
2026-03-05,10777.43,
2026-03-06,10779.53,
2026-03-09,10782.02,
2026-03-10,10784.62,
2026-03-11,10786.52,
2026-03-12,10784.22,
2026-03-13,10781.72,
2026-03-16,10784.42,
2026-03-17,10788.62,
2026-03-18,10795.41,
2026-03-20,10796.21,
2026-03-23,10796.31,
2026-03-24,10795.21,
2026-03-25,10795.31,
2026-03-27,10802.10,
2026-03-30,10814.69,
2026-03-31,10816.79,
2026-04-02,10822.48,
2026-04-06,10830.87,
2026-04-07,10838.86,
2026-04-08,10850.05,
2026-04-09,10859.04,
2026-04-10,10869.63,
2026-04-13,10877.32,
2026-04-15,10885.91,
2026-04-16,10890.10,
2026-04-17,10891.90,
2026-04-20,10897.99,
2026-04-21,10898.39,
2026-04-22,10899.79,
2026-04-23,10899.19,
2026-04-24,10898.49,
2026-04-27,10902.39,
2026-04-28,10904.39,
2026-04-29,10904.39,
2026-04-30,10902.69,
2026-05-04,10912.08,
2026-05-05,10915.18,
2026-05-06,10915.97,
2026-05-07,10916.17,
2026-05-08,10918.87,
2026-05-11,10922.87,
2026-05-12,10919.37,
2026-05-13,10918.17,
2026-05-14,10918.27,
2026-05-15,10919.97,
2026-05-18,10920.97,
2026-05-19,10919.37,
2026-05-20,10916.27,
2026-05-21,10913.08,
2026-05-22,10913.48,
2026-05-25,10918.47,
2026-05-26,10918.97,
2026-05-27,10922.77,
2026-05-29,10931.86,
2026-06-01,10941.25,
2026-06-02,10945.14,
2026-06-03,10946.34,
2026-06-04,10947.54,
2026-06-05,10956.33,
2026-06-08,10965.42,
2026-06-09,10975.61,
2026-06-10,10978.10,
2026-06-11,10979.10,
2026-06-12,10982.40,
2026-06-15,10991.99,
2026-06-16,10995.09,
2026-06-17,10996.78,
2026-06-18,11000.08,
2026-06-19,11001.88,
2026-06-22,11008.57,
2026-06-23,11011.17,
2026-06-24,11014.16,
2026-06-25,11018.56,
2026-06-29,11028.65,
2026-06-30,11033.44,
2026-07-01,11038.34,
2026-07-02,11042.73,
2026-07-03,11046.13,
2026-07-06,11051.92,
2026-07-07,11051.12,
2026-07-08,11048.93,
2026-07-09,11050.92,
2026-07-10,11054.62,
2026-07-13,11059.51,
2026-07-14,11057.02,
2026-07-15,11059.61,
