# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:40.821079+00:00
stretch_ending,fund_return,benchmark_return
2026-03-18,0.162469,
2026-03-25,0.103527,
2026-04-01,0.101621,
2026-04-08,0.207523,
2026-04-15,0.186816,
2026-04-22,0.193207,
2026-04-29,0.209379,
2026-05-06,0.229676,
2026-05-13,0.196383,
2026-05-20,0.171313,
2026-05-27,0.207704,
2026-06-03,0.198983,
2026-06-10,0.116506,
2026-06-17,0.161102,
2026-06-24,0.143777,
2026-07-01,0.092899,
2026-07-08,0.081797,
2026-07-15,0.102125,
2026-07-22,0.114651,
2026-07-29,0.114595,
2026-08-05,0.148753,
2026-08-12,0.140863,
2026-08-19,0.106083,
2026-08-26,0.141013,
2026-09-02,0.120352,
2026-09-09,0.110213,
2026-09-16,0.056631,
2026-09-23,0.066908,
