# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:40.679134+00:00
date,fund_value_inr,benchmark_value_inr
2025-07-14,10000.00,
2025-07-15,9999.70,
2025-07-16,10001.30,
2025-07-17,10005.60,
2025-07-18,10006.39,
2025-07-21,10012.49,
2025-07-22,10017.19,
2025-07-23,10021.98,
2025-07-24,10022.68,
2025-07-25,10020.18,
2025-07-28,10024.88,
2025-07-29,10029.48,
2025-07-30,10029.68,
2025-07-31,10030.98,
2025-08-01,10035.27,
2025-08-04,10044.36,
2025-08-05,10047.26,
2025-08-06,10034.57,
2025-08-07,10037.37,
2025-08-08,10042.37,
2025-08-11,10044.86,
2025-08-12,10036.27,
2025-08-13,10033.07,
2025-08-14,10040.37,
2025-08-18,10045.46,
2025-08-19,10047.76,
2025-08-20,10051.46,
2025-08-21,10053.16,
2025-08-22,10051.06,
2025-08-25,10053.86,
2025-08-26,10047.46,
2025-08-28,10058.95,
2025-08-29,10057.85,
2025-09-01,10061.05,
2025-09-02,10059.35,
2025-09-03,10059.85,
2025-09-04,10065.15,
2025-09-05,10072.24,
2025-09-09,10081.24,
2025-09-10,10081.34,
2025-09-11,10081.84,
2025-09-12,10082.24,
2025-09-15,10085.43,
2025-09-16,10089.73,
2025-09-17,10096.92,
2025-09-18,10097.42,
2025-09-19,10100.32,
2025-09-22,10105.52,
2025-09-23,10106.12,
2025-09-24,10106.22,
2025-09-25,10109.41,
2025-09-26,10112.81,
2025-09-30,10122.30,
2025-10-01,10129.60,
2025-10-03,10137.79,
2025-10-06,10146.78,
2025-10-07,10151.88,
2025-10-08,10153.38,
2025-10-09,10155.18,
2025-10-10,10158.57,
2025-10-13,10164.47,
2025-10-14,10166.87,
2025-10-15,10173.96,
2025-10-16,10175.36,
2025-10-17,10174.86,
2025-10-20,10180.86,
2025-10-23,10180.36,
2025-10-24,10180.06,
2025-10-27,10186.85,
2025-10-28,10188.85,
2025-10-29,10189.95,
2025-10-30,10190.95,
2025-10-31,10193.25,
2025-11-03,10198.84,
2025-11-04,10202.74,
2025-11-06,10205.74,
2025-11-07,10206.34,
2025-11-10,10214.23,
2025-11-11,10216.83,
2025-11-12,10220.23,
2025-11-13,10220.13,
2025-11-14,10220.03,
2025-11-17,10224.12,
2025-11-18,10229.22,
2025-11-19,10234.71,
2025-11-20,10236.11,
2025-11-21,10237.31,
2025-11-24,10242.41,
2025-11-25,10246.21,
2025-11-26,10252.10,
2025-11-27,10253.80,
2025-11-28,10256.10,
2025-12-01,10257.90,
2025-12-02,10257.80,
2025-12-03,10259.20,
