# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:51.035436+00:00
stretch_ending,fund_return,benchmark_return
2021-11-15,0.142722,
2021-11-22,0.132882,
2021-11-29,0.122044,
2021-12-06,0.118936,
2021-12-13,0.124408,
2021-12-20,0.106007,
2021-12-27,0.112091,
2022-01-03,0.129069,
2022-01-10,0.141525,
2022-01-17,0.145141,
2022-01-24,0.130074,
2022-01-31,0.136820,
2022-02-07,0.137681,
2022-02-14,0.137150,
2022-02-21,0.138390,
2022-02-28,0.128167,
2022-03-07,0.097898,
2022-03-14,0.113980,
2022-03-21,0.125648,
2022-03-28,0.116200,
2022-04-04,0.128313,
2022-04-11,0.131052,
2022-04-18,0.127709,
2022-04-25,0.122366,
2022-05-02,0.129872,
2022-05-09,0.118639,
2022-05-16,0.110694,
2022-05-23,0.109462,
2022-05-30,0.112512,
2022-06-06,0.111209,
2022-06-13,0.102646,
2022-06-20,0.096748,
2022-06-27,0.110875,
2022-07-04,0.116325,
2022-07-11,0.136422,
2022-07-18,0.152703,
2022-07-25,0.167197,
2022-08-01,0.182704,
2022-08-08,0.175987,
2022-08-12,0.178503,
2022-08-22,0.184345,
2022-08-29,0.179681,
2022-09-05,0.189759,
2022-09-12,0.186511,
2022-09-19,0.170292,
2022-09-26,0.158769,
2022-10-03,0.172425,
2022-10-10,0.171491,
2022-10-17,0.155827,
2022-10-21,0.158098,
2022-10-31,0.155334,
2022-11-07,0.162480,
2022-11-14,0.155003,
2022-11-21,0.158065,
2022-11-28,0.160287,
2022-12-05,0.170101,
2022-12-12,0.167884,
2022-12-19,0.165433,
2022-12-26,0.149944,
2023-01-02,0.148037,
2023-01-09,0.142829,
2023-01-16,0.125860,
2023-01-23,0.121938,
2023-01-30,0.117819,
2023-02-06,0.120660,
2023-02-13,0.120096,
2023-02-20,0.127800,
2023-02-27,0.132111,
2023-03-06,0.137150,
2023-03-13,0.164139,
2023-03-20,0.212336,
2023-03-27,0.234776,
2023-04-03,0.263303,
2023-04-10,0.232651,
2023-04-17,0.221293,
2023-04-24,0.233983,
2023-04-28,0.234941,
2023-05-08,0.245715,
2023-05-15,0.254290,
2023-05-22,0.260458,
2023-05-29,0.248944,
2023-06-05,0.237867,
2023-06-12,0.245031,
2023-06-19,0.243408,
2023-06-26,0.237354,
2023-07-03,0.238330,
2023-07-10,0.235166,
2023-07-17,0.238854,
2023-07-24,0.234968,
2023-07-31,0.245532,
2023-08-07,0.228875,
2023-08-14,0.235190,
2023-08-21,0.224125,
2023-08-28,0.214248,
2023-09-04,0.230233,
2023-09-11,0.244071,
2023-09-18,0.240041,
2023-09-25,0.253649,
2023-09-29,0.240358,
2023-10-09,0.233156,
2023-10-16,0.244554,
2023-10-23,0.228982,
2023-10-30,0.233467,
2023-11-06,0.223391,
2023-11-13,0.214763,
2023-11-20,0.214647,
2023-11-24,0.210883,
2023-12-04,0.212401,
2023-12-11,0.206324,
2023-12-18,0.207354,
2023-12-22,0.201058,
2024-01-01,0.206437,
2024-01-08,0.203278,
2024-01-15,0.210110,
2024-01-19,0.212252,
2024-01-29,0.226817,
2024-02-05,0.195923,
2024-02-12,0.188095,
2024-02-19,0.204748,
2024-02-26,0.216783,
2024-03-04,0.209307,
2024-03-11,0.204103,
2024-03-18,0.207039,
2024-03-22,0.216302,
2024-04-01,0.221219,
2024-04-08,0.217554,
2024-04-15,0.216390,
2024-04-22,0.225877,
2024-04-29,0.221673,
2024-05-06,0.212695,
2024-05-13,0.215397,
2024-05-17,0.212748,
2024-05-27,0.208576,
2024-06-03,0.201590,
2024-06-10,0.217013,
2024-06-14,0.222021,
2024-06-24,0.214410,
2024-07-01,0.221087,
2024-07-08,0.225574,
2024-07-15,0.226221,
2024-07-22,0.225550,
2024-07-29,0.239752,
2024-08-05,0.221404,
2024-08-12,0.228013,
2024-08-19,0.235029,
2024-08-26,0.246028,
2024-09-02,0.230658,
2024-09-09,0.232333,
2024-09-16,0.233107,
2024-09-23,0.248445,
2024-09-30,0.250257,
2024-10-07,0.225290,
2024-10-14,0.219574,
2024-10-21,0.221383,
2024-10-28,0.203418,
2024-11-04,0.193615,
2024-11-11,0.189095,
2024-11-18,0.187250,
