# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 24 Sep 2026 (2 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:35:52.976872+00:00
date,nav
2019-07-24,1000.29120
2019-07-28,1000.88870
2019-08-01,1001.47440
2019-08-04,1001.91810
2019-08-09,1002.63850
2019-08-13,1003.20760
2019-08-18,1003.90940
2019-08-23,1004.59850
2019-08-30,1005.56660
2019-09-01,1005.84790
2019-09-06,1006.53980
2019-09-13,1007.50720
2019-09-15,1007.78580
2019-09-20,1008.49070
2019-09-27,1009.48370
2019-09-29,1009.76100
2019-10-04,1010.43610
2019-10-09,1011.07570
2019-10-13,1011.80070
2019-10-19,1012.55930
2019-10-25,1013.35020
2019-10-28,1013.74520
2019-11-01,1014.25540
2019-11-10,1015.43200
2019-11-14,1015.96010
2019-11-17,1016.36000
2019-11-22,1017.02810
2019-11-25,1017.43340
2019-11-29,1017.96660
2019-12-08,1019.13880
2019-12-12,1019.64450
2019-12-15,1020.03040
2019-12-20,1020.68660
2019-12-23,1021.08320
2019-12-29,1021.83560
2020-01-03,1022.41120
2020-01-08,1022.93600
2020-01-12,1023.54040
2020-01-17,1024.20190
2020-01-20,1024.60470
2020-01-26,1025.41820
2020-01-29,1025.82160
2020-02-05,1026.75450
2020-02-09,1027.28900
2020-02-14,1027.95200
2020-02-19,1028.61790
2020-02-22,1029.02910
2020-02-28,1029.82270
2020-03-01,1030.08190
2020-03-05,1030.59840
2020-03-15,1031.87000
2020-03-20,1032.48380
2020-03-23,1032.82590
2020-03-28,1033.06610
2020-04-03,1033.27420
2020-04-09,1033.64120
2020-04-14,1034.24390
2020-04-19,1034.64520
2020-04-25,1035.13780
2020-04-29,1035.41910
2020-05-03,1035.80310
2020-05-10,1036.46270
2020-05-14,1036.75030
2020-05-16,1036.92580
2020-05-22,1037.44380
2020-05-26,1037.75210
2020-06-03,1038.44540
2020-06-06,1038.71590
2020-06-12,1039.24330
2020-06-14,1039.41580
2020-06-18,1039.74880
2020-06-27,1040.47160
2020-07-01,1040.80500
2020-07-04,1041.06790
2020-07-09,1041.52110
2020-07-12,1041.79130
2020-07-16,1042.15500
2020-07-25,1042.97430
2020-07-29,1043.33540
2020-08-01,1043.60970
2020-08-06,1044.06150
2020-08-09,1044.33640
2020-08-13,1044.70510
2020-08-22,1045.51150
2020-08-26,1045.85930
2020-08-29,1046.12140
2020-09-03,1046.54720
2020-09-09,1047.07160
2020-09-13,1047.43480
2020-09-17,1047.79830
2020-09-22,1048.25230
2020-09-29,1048.89400
2020-10-04,1049.35430
2020-10-08,1049.71730
2020-10-12,1050.07740
2020-10-18,1050.61300
2020-10-24,1051.13320
2020-10-30,1051.65270
2020-11-01,1051.82710
2020-11-06,1052.25160
2020-11-12,1052.75590
2020-11-17,1053.13710
2020-11-26,1053.82530
2020-11-29,1054.06820
2020-12-03,1054.39800
2020-12-13,1055.27210
2020-12-17,1055.62290
2020-12-23,1056.16940
2020-12-27,1056.53110
2020-12-31,1056.86090
2021-01-07,1057.43720
2021-01-13,1057.98440
2021-01-17,1058.34200
2021-01-21,1058.70360
2021-01-28,1059.34540
2021-01-30,1059.53010
2021-02-04,1059.97810
2021-02-11,1060.61210
2021-02-14,1060.86580
2021-02-19,1061.25530
2021-02-25,1061.72960
2021-03-01,1062.09380
2021-03-09,1062.81550
2021-03-14,1063.27810
2021-03-18,1063.64590
2021-03-25,1064.29660
2021-04-03,1065.17570
2021-04-07,1065.53590
2021-04-08,1065.62420
2021-04-18,1066.51800
2021-04-25,1067.16320
2021-04-29,1067.56590
2021-05-06,1068.21910
2021-05-16,1069.17750
2021-05-20,1069.55310
2021-05-23,1069.84300
2021-05-27,1070.22170
2021-06-03,1070.87580
2021-06-05,1071.06430
2021-06-10,1071.53020
2021-06-15,1071.99780
2021-06-23,1072.75400
2021-06-26,1073.03880
2021-07-01,1073.50350
2021-07-05,1073.88570
2021-07-14,1074.72180
2021-07-18,1075.09920
2021-07-24,1075.66570
2021-07-29,1076.13640
2021-08-04,1076.70060
2021-08-08,1077.06780
2021-08-12,1077.42740
2021-08-21,1078.25920
2021-08-25,1078.62280
2021-08-28,1078.89840
2021-09-02,1079.35090
2021-09-08,1079.88890
2021-09-11,1080.16560
2021-09-16,1080.63130
2021-09-21,1081.10990
2021-09-29,1081.87700
2021-10-02,1082.16110
2021-10-07,1082.63480
2021-10-13,1083.18270
2021-10-17,1083.55510
2021-10-20,1083.84470
2021-10-27,1084.53530
2021-11-01,1085.02130
2021-11-07,1085.62350
2021-11-11,1086.01190
2021-11-17,1086.59000
2021-11-21,1087.01150
2021-11-27,1087.62270
2021-12-02,1088.10680
2021-12-05,1088.42060
2021-12-09,1088.80470
2021-12-16,1089.50310
2021-12-19,1089.84890
2021-12-24,1090.36790
2021-12-28,1090.78630
2022-01-04,1091.49520
2022-01-08,1091.88570
2022-01-12,1092.29200
2022-01-16,1092.68770
2022-01-20,1093.14220
2022-01-29,1094.21620
2022-02-02,1094.64060
2022-02-05,1094.94140
