# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:51.964981+00:00
date,fund_below_high,benchmark_below_high
2020-01-01,0.000000,
2020-01-06,-0.002625,
2020-01-09,0.000000,
2020-01-15,0.000000,
2020-01-20,-0.005240,
2020-01-23,-0.001382,
2020-01-29,-0.004604,
2020-02-03,-0.021011,
2020-02-05,0.000000,
2020-02-12,-0.000020,
2020-02-17,-0.011657,
2020-02-20,0.000000,
2020-02-27,-0.026731,
2020-03-02,-0.058969,
2020-03-05,-0.046763,
2020-03-13,-0.145061,
2020-03-16,-0.193721,
2020-03-23,-0.329049,
2020-03-26,-0.258196,
2020-03-30,-0.284038,
2020-04-03,-0.291060,
2020-04-09,-0.219738,
2020-04-17,-0.199814,
2020-04-24,-0.206113,
2020-04-30,-0.166764,
2020-05-05,-0.204617,
2020-05-08,-0.198171,
2020-05-13,-0.193721,
2020-05-18,-0.224237,
2020-05-22,-0.211033,
2020-06-01,-0.158314,
2020-06-03,-0.144474,
2020-06-08,-0.138967,
2020-06-15,-0.159536,
2020-06-17,-0.152445,
2020-06-23,-0.111444,
2020-06-24,-0.121753,
2020-07-01,-0.114515,
2020-07-06,-0.094083,
2020-07-13,-0.095491,
2020-07-15,-0.106436,
2020-07-20,-0.073953,
2020-07-27,-0.075606,
2020-07-29,-0.065004,
2020-08-03,-0.076888,
2020-08-10,-0.035808,
2020-08-13,-0.035720,
2020-08-17,-0.045550,
2020-08-19,-0.030947,
2020-08-27,-0.003208,
2020-08-31,-0.033295,
2020-09-03,-0.012010,
2020-09-09,-0.039852,
2020-09-15,-0.004065,
2020-09-18,-0.005198,
2020-09-24,-0.065784,
2020-09-28,-0.026957,
2020-09-30,-0.028206,
2020-10-07,-0.008202,
2020-10-14,-0.003296,
2020-10-15,-0.021203,
2020-10-21,-0.003716,
2020-10-27,0.000000,
2020-10-30,-0.012006,
2020-11-04,0.000000,
2020-11-10,-0.003116,
2020-11-12,0.000000,
2020-11-23,0.000000,
2020-11-25,-0.016480,
2020-11-27,-0.001237,
2020-12-08,0.000000,
2020-12-10,-0.006041,
2020-12-17,-0.000710,
2020-12-21,-0.031595,
2020-12-23,-0.002498,
2020-12-29,0.000000,
2021-01-04,0.000000,
2021-01-11,0.000000,
2021-01-14,-0.001796,
2021-01-18,-0.028096,
2021-01-21,-0.012574,
2021-01-29,-0.057273,
2021-02-02,0.000000,
2021-02-05,-0.002861,
2021-02-10,0.000000,
2021-02-18,-0.001810,
2021-02-22,-0.034122,
2021-02-25,0.000000,
2021-03-03,0.000000,
2021-03-05,-0.022484,
2021-03-10,-0.009932,
2021-03-18,-0.050821,
2021-03-23,-0.032343,
2021-03-25,-0.061460,
2021-04-01,-0.020838,
2021-04-09,-0.015966,
2021-04-12,-0.059410,
2021-04-20,-0.051117,
2021-04-27,-0.023573,
2021-04-28,-0.011606,
2021-05-04,-0.026951,
2021-05-10,0.000000,
2021-05-14,-0.018110,
2021-05-19,-0.001355,
2021-05-24,0.000000,
2021-06-01,-0.002116,
2021-06-02,0.000000,
2021-06-09,-0.006127,
2021-06-15,0.000000,
2021-06-18,-0.015420,
2021-06-22,-0.004017,
2021-06-25,0.000000,
2021-06-30,-0.001902,
2021-07-07,0.000000,
2021-07-08,-0.007873,
2021-07-16,0.000000,
2021-07-20,-0.017728,
2021-07-23,-0.000973,
2021-08-02,0.000000,
2021-08-05,-0.005165,
2021-08-11,-0.021762,
2021-08-13,-0.005857,
2021-08-20,-0.021475,
2021-08-26,-0.016155,
2021-08-30,0.000000,
2021-09-03,0.000000,
2021-09-07,-0.003704,
2021-09-15,0.000000,
2021-09-20,-0.027071,
2021-09-23,0.000000,
2021-09-28,-0.009406,
2021-09-30,-0.000417,
2021-10-06,-0.011865,
2021-10-11,0.000000,
2021-10-18,0.000000,
2021-10-20,-0.028027,
2021-10-28,-0.043903,
2021-10-29,-0.047680,
2021-11-09,-0.006928,
2021-11-11,-0.020923,
2021-11-17,-0.021700,
2021-11-25,-0.042328,
2021-11-26,-0.074877,
2021-12-02,-0.058477,
2021-12-06,-0.077840,
2021-12-10,-0.041765,
2021-12-16,-0.053531,
2021-12-20,-0.101442,
2021-12-28,-0.064729,
2021-12-30,-0.065704,
2022-01-04,-0.034001,
2022-01-07,-0.030647,
2022-01-13,-0.001013,
2022-01-20,-0.024004,
2022-01-24,-0.077446,
2022-01-31,-0.050046,
2022-02-02,-0.033277,
2022-02-07,-0.054966,
2022-02-14,-0.089660,
2022-02-15,-0.065543,
2022-02-23,-0.091446,
2022-02-24,-0.141075,
2022-03-02,-0.104632,
2022-03-08,-0.126797,
2022-03-14,-0.085585,
2022-03-17,-0.069751,
2022-03-25,-0.064244,
2022-03-31,-0.047635,
2022-04-04,-0.024684,
2022-04-08,-0.012497,
2022-04-11,-0.010401,
2022-04-19,-0.041998,
2022-04-25,-0.057533,
2022-04-28,-0.047298,
2022-05-05,-0.076035,
2022-05-10,-0.113472,
2022-05-12,-0.133824,
2022-05-18,-0.103044,
2022-05-25,-0.129546,
2022-05-30,-0.100472,
2022-06-02,-0.093574,
2022-06-08,-0.111290,
2022-06-10,-0.115012,
2022-06-16,-0.164748,
2022-06-20,-0.182234,
2022-06-27,-0.145583,
2022-06-30,-0.148572,
2022-07-05,-0.144176,
2022-07-11,-0.116857,
2022-07-14,-0.126910,
2022-07-19,-0.101948,
2022-07-26,-0.098237,
2022-07-28,-0.080633,
2022-08-02,-0.059046,
2022-08-10,-0.058773,
2022-08-16,-0.034929,
2022-08-18,-0.029111,
2022-08-22,-0.056629,
2022-08-29,-0.050832,
2022-09-01,-0.031897,
2022-09-07,-0.025956,
2022-09-13,0.000000,
2022-09-16,-0.026883,
2022-09-22,-0.018862,
2022-09-26,-0.064372,
2022-10-03,-0.065177,
2022-10-06,-0.034165,
2022-10-13,-0.062524,
2022-10-18,-0.038373,
2022-10-21,-0.041676,
2022-10-27,-0.023512,
2022-11-01,-0.006637,
2022-11-10,-0.021733,
2022-11-15,-0.014611,
2022-11-18,-0.026377,
2022-11-21,-0.027661,
2022-11-25,-0.004490,
2022-12-02,0.000000,
2022-12-07,-0.014291,
2022-12-13,-0.010100,
2022-12-14,-0.001597,
2022-12-20,-0.020258,
2022-12-23,-0.075976,
2022-12-28,-0.042371,
2023-01-03,-0.026146,
2023-01-06,-0.042893,
2023-01-13,-0.037327,
2023-01-18,-0.037595,
2023-01-24,-0.047948,
