# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:51.792099+00:00
date,fund_value_inr,benchmark_value_inr
2020-11-19,10000.00,
2020-11-20,10019.79,
2020-11-25,9982.41,
2020-11-27,10052.08,
2020-12-07,10354.14,
2020-12-08,10340.24,
2020-12-14,10513.26,
2020-12-18,10587.83,
2020-12-21,10283.57,
2020-12-28,10735.86,
2020-12-31,10789.44,
2021-01-04,10981.25,
2021-01-07,11147.17,
2021-01-12,11436.34,
2021-01-18,11155.67,
2021-01-20,11445.93,
2021-01-27,11004.44,
2021-01-29,10831.92,
2021-02-02,11599.76,
2021-02-08,11992.98,
2021-02-11,12127.12,
2021-02-15,12210.98,
2021-02-18,12184.40,
2021-02-22,11856.35,
2021-02-26,11881.53,
2021-03-03,12445.48,
2021-03-05,12216.98,
2021-03-10,12414.39,
2021-03-17,12079.04,
2021-03-18,11943.41,
2021-03-25,11794.77,
2021-03-30,12181.20,
2021-04-06,12167.50,
2021-04-09,12403.59,
2021-04-12,11957.20,
2021-04-16,12219.58,
2021-04-23,11995.58,
2021-04-28,12473.36,
2021-04-30,12323.03,
2021-05-04,12295.84,
2021-05-10,12737.14,
2021-05-14,12458.57,
2021-05-18,12757.03,
2021-05-25,12917.76,
2021-05-26,13011.01,
2021-05-31,13229.21,
2021-06-07,13414.63,
2021-06-09,13376.75,
2021-06-11,13538.07,
2021-06-17,13424.82,
2021-06-18,13430.22,
2021-06-25,13690.30,
2021-06-29,13624.13,
2021-07-05,13789.96,
2021-07-08,13716.59,
2021-07-12,13774.56,
2021-07-15,13972.67,
2021-07-20,13738.58,
2021-07-22,13935.29,
2021-07-27,13931.09,
2021-08-03,14373.29,
2021-08-04,14412.67,
2021-08-11,14357.50,
2021-08-13,14562.20,
2021-08-17,14635.17,
2021-08-23,14411.77,
2021-08-26,14480.94,
2021-08-31,14944.03,
2021-09-03,15146.53,
2021-09-08,15197.81,
2021-09-15,15449.69,
2021-09-20,15169.42,
2021-09-23,15566.14,
2021-09-27,15592.93,
2021-09-30,15490.77,
2021-10-05,15700.08,
2021-10-06,15490.27,
2021-10-11,15781.44,
2021-10-18,16148.27,
2021-10-22,15771.25,
2021-10-26,16002.24,
2021-10-29,15583.03,
2021-11-08,16048.72,
2021-11-11,15956.86,
2021-11-15,16098.49,
2021-11-17,15894.09,
2021-11-22,15440.90,
2021-11-25,15595.13,
2021-11-30,14952.62,
2021-12-06,14949.72,
2021-12-09,15559.94,
2021-12-15,15393.42,
2021-12-20,14698.34,
2021-12-22,15090.66,
2021-12-23,15184.52,
2021-12-30,15188.21,
2022-01-04,15744.26,
2022-01-07,15797.33,
2022-01-12,16264.02,
2022-01-17,16405.65,
2022-01-18,16144.77,
2022-01-24,15308.86,
2022-01-28,15486.28,
2022-02-02,16069.81,
2022-02-07,15594.63,
2022-02-10,15899.79,
2022-02-14,15086.96,
2022-02-16,15515.96,
2022-02-23,15243.39,
2022-02-24,14519.92,
2022-03-02,14865.56,
2022-03-07,14237.15,
2022-03-10,14901.35,
2022-03-15,14987.11,
2022-03-17,15535.55,
2022-03-25,15505.97,
2022-03-29,15626.31,
2022-04-04,16107.49,
2022-04-07,15971.95,
2022-04-11,16118.59,
2022-04-18,15728.46,
2022-04-21,15831.32,
2022-04-25,15455.49,
2022-04-28,15640.31,
2022-05-04,15119.35,
2022-05-06,14982.91,
2022-05-13,14324.61,
2022-05-17,14789.20,
2022-05-19,14350.90,
2022-05-25,14474.44,
2022-05-30,15049.18,
2022-06-02,15096.06,
2022-06-03,14991.70,
2022-06-09,14925.33,
2022-06-13,14332.51,
2022-06-17,13925.49,
2022-06-22,13986.07,
2022-06-27,14473.64,
2022-07-01,14464.95,
2022-07-05,14513.52,
2022-07-08,14903.04,
2022-07-13,14690.04,
2022-07-15,14733.62,
2022-07-21,15201.81,
2022-07-26,15103.45,
2022-07-29,15565.24,
2022-08-01,15714.57,
2022-08-04,15719.47,
2022-08-10,15876.10,
2022-08-17,16276.91,
2022-08-22,15914.68,
2022-08-24,16054.02,
2022-08-29,15902.09,
2022-09-01,16141.37,
2022-09-07,16308.60,
2022-09-13,16766.39,
2022-09-16,16288.51,
2022-09-20,16520.60,
2022-09-22,16348.58,
2022-09-26,15768.25,
2022-10-03,15685.18,
2022-10-06,16158.87,
2022-10-11,15833.02,
2022-10-13,15882.39,
2022-10-18,16339.78,
2022-10-21,16365.27,
2022-11-01,16931.01,
2022-11-03,16859.24,
2022-11-07,16979.39,
2022-11-10,16855.95,
2022-11-15,17129.82,
2022-11-21,17002.08,
2022-11-24,17301.54,
2022-11-29,17400.10,
2022-12-01,17640.99,
2022-12-08,17486.66,
2022-12-09,17334.23,
2022-12-14,17488.36,
2022-12-20,17226.48,
2022-12-23,16594.37,
2022-12-27,16973.39,
2023-01-02,17093.74,
2023-01-04,16938.81,
2023-01-09,17031.67,
2023-01-11,16810.07,
2023-01-16,16909.32,
2023-01-18,17136.32,
2023-01-24,17034.76,
2023-01-27,16481.12,
2023-02-03,16814.07,
2023-02-07,16701.12,
2023-02-13,16689.32,
2023-02-16,16877.84,
2023-02-21,16780.28,
2023-02-22,16534.79,
2023-02-28,16394.16,
2023-03-02,16440.34,
2023-03-08,16903.72,
2023-03-13,16406.65,
2023-03-15,16288.51,
2023-03-22,16479.22,
2023-03-24,16272.21,
2023-03-28,16202.55,
2023-04-05,16784.18,
2023-04-11,16895.53,
2023-04-12,16917.22,
2023-04-19,16667.23,
2023-04-21,16665.23,
2023-04-28,17113.63,
2023-05-04,17295.24,
2023-05-05,17154.91,
2023-05-10,17254.56,
2023-05-15,17375.71,
2023-05-18,17206.68,
2023-05-24,17248.07,
2023-05-29,17500.45,
2023-06-01,17481.66,
2023-06-05,17629.19,
2023-06-07,17769.53,
2023-06-12,17704.26,
2023-06-15,17710.15,
2023-06-21,17912.86,
2023-06-26,17719.85,
2023-06-30,18149.35,
2023-07-05,18470.00,
2023-07-10,18360.85,
2023-07-13,18425.22,
2023-07-17,18775.96,
2023-07-20,19003.86,
