# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m0
# Generated: 2026-09-26T10:35:52.421313+00:00
date,nav
2024-06-26,10.02710
2024-06-27,10.05820
2024-06-28,10.05680
2024-07-01,10.08680
2024-07-02,10.11530
2024-07-03,10.12750
2024-07-04,10.15070
2024-07-05,10.19210
2024-07-08,10.15400
2024-07-09,10.19950
2024-07-11,10.13810
2024-07-12,10.12310
2024-07-15,10.17160
2024-07-16,10.18650
2024-07-18,10.16010
2024-07-19,9.95510
2024-07-22,10.00210
2024-07-23,10.01140
2024-07-25,10.11800
2024-07-26,10.28480
2024-07-29,10.37490
2024-07-30,10.41510
2024-07-31,10.44890
2024-08-01,10.41130
2024-08-02,10.24660
2024-08-05,9.89130
2024-08-06,9.86000
2024-08-07,10.04330
2024-08-09,10.03600
2024-08-12,10.05770
2024-08-13,9.93280
2024-08-14,9.92320
2024-08-16,10.09520
2024-08-19,10.13950
2024-08-20,10.19920
2024-08-21,10.29640
2024-08-23,10.30480
2024-08-26,10.35080
2024-08-27,10.29420
2024-08-28,10.23950
2024-08-29,10.22220
2024-08-30,10.27320
2024-09-02,10.23970
2024-09-03,10.26260
2024-09-05,10.29400
2024-09-06,10.18820
2024-09-09,10.15180
2024-09-10,10.21790
2024-09-11,10.13410
2024-09-12,10.25750
2024-09-13,10.24220
2024-09-16,10.23880
2024-09-17,10.22660
2024-09-19,10.14620
2024-09-20,10.26450
2024-09-23,10.39500
2024-09-24,10.44300
2024-09-25,10.42940
2024-09-26,10.47740
2024-09-27,10.59300
2024-09-30,10.56550
2024-10-01,10.58860
2024-10-04,10.29320
2024-10-07,10.07290
2024-10-08,10.22550
2024-10-09,10.26910
2024-10-10,10.26300
2024-10-11,10.30100
2024-10-14,10.31480
2024-10-15,10.34320
2024-10-17,10.16280
2024-10-18,10.19700
2024-10-21,10.07090
2024-10-22,9.82000
2024-10-23,9.81430
2024-10-24,9.72050
2024-10-25,9.56230
2024-10-28,9.64350
2024-10-29,9.67720
2024-10-31,9.78200
2024-11-04,9.72950
2024-11-05,9.79820
2024-11-06,9.98720
2024-11-07,9.88020
2024-11-08,9.78660
2024-11-11,9.73070
2024-11-12,9.57100
2024-11-13,9.35610
2024-11-18,9.35600
2024-11-19,9.44050
2024-11-21,9.36870
2024-11-22,9.49230
2024-11-25,9.67980
2024-11-26,9.69630
2024-11-27,9.75210
2024-11-28,9.70920
2024-11-29,9.80540
2024-12-03,9.90540
2024-12-04,9.88520
2024-12-05,9.91490
2024-12-06,9.95900
2024-12-09,9.93270
2024-12-10,9.97690
2024-12-11,10.00860
2024-12-12,9.93860
2024-12-16,9.91030
2024-12-17,9.80000
2024-12-18,9.73500
2024-12-19,9.66450
2024-12-20,9.46660
2024-12-23,9.48760
2024-12-24,9.49780
2024-12-26,9.50610
2024-12-27,9.50650
2024-12-30,9.43110
2025-01-01,9.54760
2025-01-02,9.65300
2025-01-03,9.65370
2025-01-06,9.42650
2025-01-07,9.55820
2025-01-08,9.51920
2025-01-09,9.44670
2025-01-10,9.29490
2025-01-13,9.03610
2025-01-15,9.15590
2025-01-16,9.24690
2025-01-17,9.27780
2025-01-20,9.28910
