# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:37.250583+00:00
date,fund_value_inr,benchmark_value_inr
2015-02-02,10000.00,
2015-02-04,10199.94,
2015-02-10,9798.80,
2015-02-26,9886.74,
2015-03-02,10156.28,
2015-03-12,10331.54,
2015-03-24,9878.52,
2015-03-26,9818.41,
2015-04-08,10254.98,
2015-04-16,10102.50,
2015-04-27,9463.46,
2015-05-07,9416.64,
2015-05-11,9622.90,
2015-05-20,9851.95,
2015-06-01,9917.11,
2015-06-03,9724.14,
2015-06-16,9483.71,
2015-06-23,9853.84,
2015-06-29,9839.92,
2015-07-07,10244.86,
2015-07-20,10384.06,
2015-07-28,10060.11,
2015-08-03,10490.35,
2015-08-06,10642.83,
2015-08-19,10364.44,
2015-08-24,9590.00,
2015-09-07,9416.01,
2015-09-14,9866.50,
2015-09-21,10127.17,
2015-09-29,9626.07,
2015-10-07,10024.04,
2015-10-20,10164.50,
2015-10-29,9992.41,
2015-11-04,9832.33,
2015-11-16,9491.30,
2015-11-20,9648.85,
2015-12-07,9615.31,
2015-12-09,9380.58,
2015-12-16,9443.85,
2015-12-31,9789.94,
2016-01-01,9831.70,
2016-01-18,8928.82,
2016-01-21,8878.20,
2016-02-01,9145.21,
2016-02-11,8702.94,
2016-02-18,8900.98,
2016-02-25,8647.90,
2016-02-29,8630.18,
2016-03-03,9185.07,
2016-03-16,9181.90,
2016-03-21,9601.39,
2016-03-29,9507.75,
2016-04-07,9573.55,
2016-04-20,10115.79,
2016-04-27,10089.21,
2016-05-05,9831.07,
2016-05-18,10020.88,
2016-05-24,9815.25,
2016-05-30,10118.95,
2016-06-08,10368.24,
2016-06-14,10278.39,
2016-06-24,10341.03,
2016-07-01,10856.69,
2016-07-13,10872.51,
2016-07-22,11082.57,
2016-07-26,11039.54,
2016-08-03,10985.76,
2016-08-18,11381.21,
2016-08-25,11328.06,
2016-08-31,11572.92,
2016-09-12,11302.12,
2016-09-22,11619.11,
2016-09-29,11457.13,
2016-10-05,11920.28,
2016-10-17,11697.56,
2016-10-21,11769.69,
2016-11-01,11757.67,
2016-11-10,11529.90,
2016-11-21,10652.96,
2016-11-30,11135.08,
2016-12-02,10935.78,
2016-12-09,11097.12,
2016-12-26,10549.83,
2017-01-03,11033.22,
2017-01-09,11080.04,
2017-01-12,11323.63,
2017-01-23,11321.10,
2017-02-06,12001.27,
2017-02-09,12085.42,
2017-02-15,11934.83,
2017-02-22,12071.50,
2017-03-09,12097.44,
2017-03-16,12381.52,
2017-03-27,12465.04,
2017-04-05,13007.91,
2017-04-11,13291.36,
2017-04-18,13276.81,
2017-04-26,13762.10,
2017-05-10,13797.53,
2017-05-16,13765.90,
2017-05-24,13011.71,
2017-05-31,13409.68,
2017-06-12,13321.10,
2017-06-21,13484.97,
2017-06-27,13150.90,
2017-07-04,13396.39,
2017-07-13,13922.18,
2017-07-18,13792.47,
2017-08-01,13975.96,
2017-08-09,13662.76,
2017-08-10,13376.78,
2017-08-29,13689.34,
2017-09-01,14040.49,
2017-09-12,14478.96,
2017-09-21,14439.73,
2017-09-27,13859.54,
2017-10-06,14378.36,
2017-10-18,14625.75,
2017-10-23,14801.65,
2017-11-06,15404.62,
2017-11-08,15149.64,
2017-11-15,14944.64,
2017-11-29,15440.05,
2017-12-06,15103.45,
2017-12-08,15478.65,
2017-12-26,16118.95,
2018-01-02,15951.91,
2018-01-08,16326.48,
2018-01-15,16318.25,
