# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:48.741901+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.110005,
2016-01-08,0.106894,
2016-01-15,0.101814,
2016-01-22,0.102664,
2016-01-29,0.105527,
2016-02-05,0.106564,
2016-02-12,0.102514,
2016-02-18,0.103827,
2016-02-26,0.103950,
2016-03-04,0.109829,
2016-03-18,0.109908,
2016-03-23,0.113844,
2016-03-31,0.112325,
2016-04-07,0.113760,
2016-04-13,0.114920,
2016-04-22,0.115935,
2016-04-29,0.114600,
2016-05-13,0.115511,
2016-05-20,0.113098,
2016-05-27,0.114881,
2016-06-03,0.117570,
2016-06-10,0.120078,
2016-06-17,0.120969,
2016-06-24,0.122656,
2016-07-01,0.124260,
2016-07-15,0.127822,
2016-07-22,0.127898,
2016-07-29,0.134191,
2016-08-05,0.138200,
2016-08-12,0.136597,
2016-08-19,0.139975,
2016-08-26,0.140559,
2016-09-02,0.141946,
2016-09-09,0.138500,
2016-09-23,0.137273,
2016-09-30,0.136269,
2016-10-07,0.135794,
2016-10-14,0.135104,
2016-10-21,0.136003,
2016-10-28,0.134016,
2016-11-04,0.126621,
2016-11-11,0.127420,
2016-11-25,0.125130,
2016-12-02,0.122286,
2016-12-09,0.122369,
2016-12-16,0.121597,
2016-12-23,0.117341,
2016-12-30,0.117848,
2017-01-06,0.119910,
2017-01-20,0.121175,
2017-01-27,0.124930,
2017-02-03,0.126739,
2017-02-10,0.125984,
2017-02-17,0.124509,
2017-02-23,0.124151,
2017-03-03,0.124476,
2017-03-10,0.121017,
2017-03-17,0.122379,
2017-03-31,0.116866,
2017-04-07,0.115445,
2017-04-13,0.114408,
2017-04-21,0.112446,
2017-04-28,0.113821,
2017-05-05,0.113498,
2017-05-12,0.111904,
2017-05-19,0.103622,
2017-06-02,0.099756,
2017-06-09,0.094462,
2017-06-16,0.094863,
2017-06-23,0.094296,
2017-06-30,0.090834,
2017-07-07,0.094658,
2017-07-14,0.096915,
2017-07-21,0.094758,
2017-07-28,0.096389,
2017-08-11,0.090833,
2017-08-18,0.090722,
2017-08-24,0.090034,
2017-09-01,0.089009,
2017-09-08,0.086337,
2017-09-15,0.089413,
2017-09-22,0.088219,
2017-10-06,0.091295,
2017-10-13,0.091551,
2017-10-18,0.091476,
2017-10-27,0.092298,
2017-11-03,0.093124,
2017-11-10,0.093354,
2017-11-17,0.089988,
2017-11-24,0.091943,
2017-11-30,0.089329,
2017-12-15,0.092297,
2017-12-22,0.091577,
2017-12-29,0.090931,
2018-01-05,0.093778,
2018-01-12,0.092069,
2018-01-19,0.088906,
2018-01-25,0.088374,
2018-02-09,0.089804,
2018-02-16,0.086899,
2018-02-23,0.086507,
2018-03-01,0.085427,
2018-03-09,0.085014,
2018-03-16,0.085722,
2018-03-23,0.086434,
2018-03-28,0.085515,
2018-04-06,0.087360,
2018-04-13,0.085230,
2018-04-27,0.090271,
2018-05-04,0.088862,
2018-05-11,0.089653,
2018-05-18,0.085667,
2018-05-25,0.086054,
2018-06-01,0.086982,
2018-06-08,0.088182,
2018-06-15,0.089785,
2018-06-29,0.079875,
2018-07-06,0.079434,
2018-07-13,0.083836,
2018-07-20,0.081707,
2018-07-27,0.089742,
2018-08-03,0.086338,
2018-08-10,0.084458,
2018-08-17,0.084799,
2018-08-31,0.096668,
2018-09-07,0.094997,
2018-09-14,0.092184,
2018-09-21,0.082431,
2018-09-28,0.074445,
2018-10-05,0.060874,
2018-10-12,0.062646,
2018-10-26,0.054441,
2018-11-02,0.067930,
2018-11-09,0.067982,
2018-11-16,0.066432,
2018-11-22,0.062279,
2018-11-30,0.064915,
2018-12-07,0.063259,
2018-12-14,0.067656,
2018-12-28,0.066960,
2019-01-04,0.066169,
2019-01-11,0.068647,
2019-01-18,0.075655,
2019-01-25,0.069327,
2019-02-01,0.073393,
2019-02-08,0.070715,
2019-02-15,0.067406,
2019-02-22,0.070900,
2019-03-08,0.075909,
2019-03-15,0.083177,
2019-03-22,0.080944,
2019-03-29,0.086536,
2019-04-05,0.084733,
2019-04-12,0.082074,
2019-04-18,0.079941,
2019-04-26,0.077640,
2019-05-10,0.066984,
2019-05-17,0.066942,
2019-05-24,0.078940,
2019-05-31,0.079565,
2019-06-07,0.076440,
2019-06-14,0.073813,
2019-06-21,0.070932,
2019-06-28,0.073460,
2019-07-05,0.072540,
2019-07-19,0.064707,
2019-07-26,0.057406,
2019-08-02,0.049182,
2019-08-09,0.051819,
2019-08-16,0.049789,
2019-08-23,0.042755,
2019-08-30,0.047642,
2019-09-06,0.046085,
2019-09-20,0.054429,
2019-09-27,0.056376,
2019-10-04,0.048391,
2019-10-11,0.051134,
2019-10-18,0.056370,
2019-10-25,0.053100,
2019-11-01,0.060533,
2019-11-08,0.059458,
2019-11-22,0.062984,
2019-11-29,0.063146,
2019-12-06,0.059399,
2019-12-13,0.062367,
2019-12-20,0.066897,
2019-12-27,0.069916,
2020-01-03,0.071973,
2020-01-10,0.071131,
2020-01-24,0.074116,
2020-01-31,0.070745,
2020-02-07,0.071169,
2020-02-14,0.071494,
2020-02-20,0.073801,
2020-02-28,0.057580,
2020-03-06,0.055461,
2020-03-20,-0.007432,
2020-03-27,-0.010880,
2020-04-03,-0.021877,
2020-04-09,0.002468,
2020-04-17,0.011481,
2020-04-24,0.008117,
2020-04-30,0.021260,
2020-05-08,0.007147,
2020-05-15,0.004358,
2020-05-22,0.003721,
2020-06-05,0.030831,
2020-06-12,0.025413,
2020-06-19,0.031752,
2020-06-26,0.037621,
2020-07-03,0.041930,
2020-07-10,0.045731,
2020-07-17,0.048781,
2020-07-24,0.059592,
2020-08-07,0.067530,
2020-08-14,0.066308,
2020-08-21,0.072501,
2020-08-28,0.073719,
2020-09-04,0.066414,
2020-09-11,0.068084,
2020-09-18,0.069195,
2020-09-25,0.060017,
2020-10-09,0.071460,
2020-10-16,0.067512,
2020-10-23,0.070306,
2020-10-30,0.058741,
2020-11-06,0.068605,
2020-11-13,0.075047,
