# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:34:48.643564+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-01,10000.00,
2013-01-07,10055.30,
2013-01-18,10063.19,
2013-01-24,9994.57,
2013-01-31,10015.61,
2013-02-08,9941.88,
2013-02-28,9890.49,
2013-03-11,9959.06,
2013-03-18,9952.48,
2013-03-22,9874.36,
2013-04-03,9959.68,
2013-04-15,9965.59,
2013-05-02,10056.40,
2013-05-14,10065.43,
2013-05-17,10118.02,
2013-05-30,10111.49,
2013-06-12,10045.85,
2013-06-19,10070.86,
2013-06-26,9981.93,
2013-07-09,10047.89,
2013-07-22,10041.36,
2013-07-31,9896.29,
2013-08-06,9840.93,
2013-08-14,9929.19,
2013-08-28,9869.50,
2013-09-11,10059.17,
2013-09-19,10129.77,
2013-09-30,10103.35,
2013-10-10,10258.76,
2013-10-17,10227.69,
2013-10-28,10271.40,
2013-11-05,10428.84,
2013-11-13,10396.83,
2013-11-22,10444.93,
2013-12-09,10603.32,
2013-12-16,10577.00,
2013-12-31,10704.83,
2014-01-02,10685.88,
2014-01-20,10709.22,
2014-01-27,10652.14,
2014-01-30,10632.51,
2014-02-14,10688.96,
2014-02-26,10756.17,
2014-03-10,10870.27,
2014-03-20,10914.71,
2014-03-26,10979.68,
2014-04-02,11156.86,
2014-04-21,11341.78,
2014-04-30,11328.25,
2014-05-15,11467.84,
2014-05-23,11828.43,
2014-05-30,11778.19,
2014-06-09,12038.94,
2014-06-16,12007.71,
2014-07-04,12235.60,
2014-07-14,12096.69,
2014-07-17,12213.10,
2014-07-28,12157.69,
2014-08-13,12195.44,
2014-08-19,12303.12,
2014-08-26,12321.92,
2014-09-12,12576.56,
2014-09-16,12482.98,
2014-09-25,12435.51,
2014-10-17,12484.59,
2014-10-27,12584.81,
2014-10-31,12656.77,
2014-11-18,12795.21,
2014-11-27,12783.51,
2014-12-05,12911.71,
2014-12-16,12801.94,
2014-12-22,12902.99,
2015-01-07,12924.30,
2015-01-09,12977.93,
2015-01-27,13127.55,
2015-02-06,12991.35,
2015-02-09,12964.14,
2015-02-20,13095.17,
2015-03-03,13109.06,
2015-03-18,13086.81,
2015-03-27,12967.07,
2015-04-10,13200.13,
2015-04-16,13200.45,
2015-04-27,13038.46,
