# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:34:40.554591+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-01,10000.00,
2013-01-04,10147.11,
2013-01-15,10259.70,
2013-01-21,10254.86,
2013-01-31,9987.91,
2013-02-08,9595.26,
2013-02-19,9602.17,
2013-02-28,9080.02,
2013-03-11,9522.74,
2013-03-22,8824.46,
2013-04-02,9136.65,
2013-04-12,8761.27,
2013-04-22,9161.52,
2013-05-03,9123.87,
2013-05-17,9380.81,
2013-05-23,8937.74,
2013-05-30,9017.85,
2013-06-18,8582.04,
2013-06-25,8080.95,
2013-07-01,8538.18,
2013-07-08,8272.27,
2013-07-23,8496.74,
2013-08-02,7831.96,
2013-08-14,8106.85,
2013-08-21,7618.19,
2013-08-28,7610.60,
2013-09-03,7645.47,
2013-09-11,8424.91,
2013-09-19,8742.96,
2013-09-30,8184.89,
2013-10-11,8819.97,
2013-10-17,8655.25,
2013-11-01,9417.76,
2013-11-13,9002.31,
2013-11-19,9465.76,
2013-11-27,9293.44,
2013-12-09,10033.15,
2013-12-17,9575.92,
2013-12-27,9943.71,
2014-01-10,9516.87,
2014-01-23,9742.03,
2014-01-27,9340.40,
2014-02-04,9254.76,
2014-02-20,9380.12,
2014-03-03,9516.18,
2014-03-07,10008.98,
2014-03-20,10018.99,
2014-03-31,10617.47,
2014-04-07,10614.01,
2014-04-21,11105.09,
2014-05-08,10890.98,
2014-05-19,12389.40,
2014-05-23,12895.67,
2014-05-30,12488.17,
2014-06-09,13655.42,
2014-06-23,13243.78,
2014-07-02,14003.18,
2014-07-11,13075.25,
2014-07-17,13705.15,
2014-07-24,13770.07,
2014-08-08,13200.61,
2014-08-19,14060.50,
2014-08-28,14081.91,
2014-09-12,14883.10,
2014-09-16,14429.33,
2014-09-25,13983.49,
2014-10-16,13842.59,
2014-10-22,14327.11,
2014-11-05,14921.44,
2014-11-13,14825.43,
2014-11-28,15482.96,
2014-12-04,15711.23,
2014-12-16,14586.46,
2014-12-22,15082.02,
2015-01-07,14923.51,
2015-01-09,15229.13,
2015-01-28,16143.94,
2015-02-06,15247.78,
2015-02-09,14934.56,
2015-02-19,15795.49,
2015-03-03,16054.49,
2015-03-13,15324.10,
2015-03-26,14678.32,
2015-04-10,15684.98,
2015-04-13,15769.59,
2015-04-27,14595.09,
2015-05-04,15150.05,
2015-05-13,14725.97,
2015-06-01,15290.60,
2015-06-03,14738.41,
2015-06-11,14445.21,
2015-06-23,15162.14,
2015-06-30,14979.45,
