# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:52.699264+00:00
date,fund_below_high,benchmark_below_high
2013-01-01,0.000000,
2013-01-09,0.000000,
2013-01-16,-0.000312,
2013-01-29,0.000000,
2013-02-04,-0.001817,
2013-02-08,0.000000,
2013-02-22,-0.000342,
2013-03-01,0.000000,
2013-03-12,-0.000024,
2013-03-20,0.000000,
2013-04-02,0.000000,
2013-04-12,0.000000,
2013-04-25,0.000000,
2013-05-14,0.000000,
2013-05-21,0.000000,
2013-05-31,-0.001386,
2013-06-04,0.000000,
2013-06-19,0.000000,
2013-06-27,-0.002824,
2013-07-10,-0.000069,
2013-07-16,-0.013775,
2013-07-22,-0.009699,
2013-07-31,-0.016679,
2013-08-19,-0.021942,
2013-08-21,-0.014962,
2013-08-29,-0.017299,
2013-09-10,-0.003999,
2013-09-19,0.000000,
2013-10-08,0.000000,
2013-10-15,-0.001080,
2013-10-21,0.000000,
2013-11-05,0.000000,
2013-11-14,-0.002292,
2013-11-20,-0.000068,
2013-12-06,0.000000,
2013-12-13,-0.000781,
2013-12-18,0.000000,
2014-01-06,0.000000,
2014-01-16,0.000000,
2014-01-23,0.000000,
2014-01-30,-0.001265,
2014-02-05,0.000000,
2014-02-14,-0.000631,
2014-02-25,0.000000,
2014-03-14,0.000000,
2014-03-26,-0.000196,
2014-03-27,0.000000,
2014-04-09,0.000000,
2014-04-21,0.000000,
2014-05-02,0.000000,
2014-05-13,0.000000,
2014-05-22,0.000000,
2014-06-10,0.000000,
2014-06-17,-0.000099,
2014-06-23,0.000000,
2014-07-09,0.000000,
2014-07-14,-0.002136,
2014-07-21,0.000000,
2014-08-06,-0.000699,
2014-08-11,0.000000,
2014-08-20,0.000000,
2014-09-01,0.000000,
2014-09-10,0.000000,
2014-09-18,0.000000,
2014-09-29,0.000000,
2014-10-13,0.000000,
2014-11-03,0.000000,
2014-11-13,-0.000488,
2014-11-17,0.000000,
2014-12-03,0.000000,
2014-12-12,0.000000,
2014-12-17,-0.001558,
2014-12-24,-0.000074,
2015-01-06,-0.000161,
2015-01-13,0.000000,
2015-01-30,0.000000,
2015-02-06,-0.001669,
2015-02-16,0.000000,
2015-03-03,-0.000481,
2015-03-04,0.000000,
2015-03-16,0.000000,
2015-04-06,0.000000,
2015-04-08,-0.000261,
2015-04-20,0.000000,
2015-04-30,-0.000513,
2015-05-11,0.000000,
2015-05-26,0.000000,
2015-06-02,-0.000729,
2015-06-08,0.000000,
2015-06-23,-0.000039,
2015-06-24,0.000000,
2015-07-03,0.000000,
2015-07-13,0.000000,
2015-07-22,0.000000,
2015-07-31,0.000000,
2015-08-19,0.000000,
2015-08-28,0.000000,
2015-09-04,-0.000341,
2015-09-10,-0.000524,
2015-09-18,0.000000,
2015-09-30,0.000000,
2015-10-09,0.000000,
2015-10-29,0.000000,
2015-10-30,-0.000168,
2015-11-09,0.000000,
2015-12-01,0.000000,
2015-12-07,0.000000,
2015-12-15,-0.000988,
2015-12-21,0.000000,
2016-01-08,0.000000,
2016-01-15,-0.000454,
2016-01-21,0.000000,
2016-02-03,-0.000330,
2016-02-16,0.000000,
2016-02-25,-0.001599,
2016-03-01,0.000000,
2016-03-18,0.000000,
2016-03-23,-0.000048,
2016-04-04,0.000000,
2016-04-21,-0.000179,
2016-04-27,0.000000,
2016-05-13,0.000000,
2016-05-20,-0.000071,
2016-05-25,0.000000,
2016-06-03,0.000000,
2016-06-13,0.000000,
2016-06-22,0.000000,
2016-06-30,0.000000,
2016-07-12,0.000000,
2016-07-21,0.000000,
2016-08-08,0.000000,
2016-08-18,-0.000180,
2016-08-22,0.000000,
2016-08-30,0.000000,
2016-09-09,0.000000,
2016-09-28,0.000000,
2016-09-29,-0.000390,
2016-10-10,0.000000,
2016-10-27,-0.000256,
2016-11-01,0.000000,
2016-11-21,0.000000,
2016-11-25,0.000000,
2016-12-08,-0.003351,
2016-12-14,-0.001597,
2016-12-28,-0.001147,
2016-12-30,0.000000,
2017-01-09,0.000000,
2017-01-18,0.000000,
2017-02-06,0.000000,
2017-02-09,-0.003355,
2017-02-20,0.000000,
2017-03-06,0.000000,
2017-03-10,-0.001310,
2017-03-21,0.000000,
2017-04-07,-0.000822,
2017-04-11,0.000000,
2017-04-26,-0.000396,
2017-05-02,0.000000,
2017-05-12,0.000000,
2017-05-23,0.000000,
2017-05-31,0.000000,
2017-06-19,0.000000,
2017-06-28,-0.000049,
2017-06-29,0.000000,
2017-07-10,0.000000,
2017-07-19,0.000000,
2017-08-04,0.000000,
2017-08-11,-0.000027,
2017-08-16,0.000000,
2017-09-06,0.000000,
2017-09-14,-0.000059,
2017-09-22,-0.000719,
2017-09-26,0.000000,
2017-10-06,-0.000122,
2017-10-16,0.000000,
2017-11-06,0.000000,
2017-11-14,-0.000570,
2017-11-20,0.000000,
2017-11-24,-0.000422,
2017-12-08,0.000000,
2017-12-22,-0.001422,
2018-01-01,0.000000,
2018-01-11,-0.000636,
2018-01-15,0.000000,
2018-02-01,-0.001002,
2018-02-06,0.000000,
2018-02-22,-0.000507,
2018-02-23,0.000000,
2018-03-14,0.000000,
2018-03-21,-0.000125,
2018-04-06,0.000000,
2018-04-16,-0.000206,
2018-04-25,-0.002978,
2018-05-07,-0.001262,
2018-05-16,-0.004292,
2018-05-24,-0.003659,
2018-05-30,-0.000732,
2018-06-07,-0.001438,
