# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:34:52.018040+00:00
date,nav
2016-02-26,9.99700
2016-03-03,10.47800
2016-03-10,10.49500
2016-03-21,10.86000
2016-03-28,10.76100
2016-04-07,10.87100
2016-04-18,11.33600
2016-04-26,11.51800
2016-04-28,11.35700
2016-05-05,11.24700
2016-05-12,11.51800
2016-05-23,11.28700
2016-05-27,11.72300
2016-06-08,11.96900
2016-06-13,11.76200
2016-06-20,11.92900
2016-06-24,11.72400
2016-07-04,12.30900
2016-07-14,12.55000
2016-07-19,12.48700
2016-07-28,12.84400
2016-08-03,12.65300
2016-08-11,12.73700
2016-08-19,13.11100
2016-08-26,13.06600
2016-09-08,13.55500
2016-09-12,13.13600
2016-09-22,13.40300
2016-09-29,13.13700
2016-10-04,13.65000
2016-10-13,13.47200
2016-10-24,13.83200
2016-11-04,13.22900
2016-11-10,13.49200
2016-11-15,12.87600
2016-11-22,12.68900
2016-11-30,13.04800
2016-12-09,13.05500
2016-12-14,12.87200
2016-12-26,12.49400
2017-01-03,12.95100
2017-01-11,13.30600
2017-01-18,13.40800
2017-01-20,13.27400
2017-01-27,13.60700
2017-02-06,13.93100
2017-02-15,13.79100
2017-02-21,14.07300
2017-03-01,14.11900
2017-03-10,13.99700
2017-03-16,14.30300
2017-03-27,14.17700
2017-04-05,14.78900
2017-04-11,14.87300
2017-04-19,14.69200
2017-04-25,15.02200
2017-05-05,14.95400
2017-05-17,15.30600
2017-05-24,14.71400
2017-05-26,15.20000
2017-06-05,15.32600
2017-06-13,15.29700
2017-06-20,15.51700
2017-06-28,15.19600
2017-07-04,15.42200
2017-07-13,16.06400
2017-07-18,16.03300
2017-07-31,16.45400
2017-08-07,16.38700
2017-08-11,15.74100
2017-08-17,16.17200
2017-08-29,15.96100
2017-09-01,16.22400
2017-09-08,16.25400
2017-09-20,16.64400
2017-09-27,15.93200
2017-10-06,16.40400
2017-10-11,16.37000
2017-10-17,16.70800
2017-11-02,17.19700
2017-11-06,17.30800
2017-11-15,16.93100
2017-11-21,17.36800
2017-11-29,17.51800
2017-12-06,17.13200
2017-12-14,17.24200
2017-12-22,17.85300
2018-01-01,17.86600
2018-01-08,18.29700
2018-01-16,18.19400
2018-01-23,18.52400
2018-01-31,18.09700
2018-02-06,17.38200
2018-02-12,17.76200
2018-02-20,17.36300
2018-02-26,17.73100
2018-03-07,17.12100
2018-03-14,17.48700
2018-03-23,16.85200
2018-04-03,17.48200
2018-04-06,17.60000
2018-04-19,17.86100
2018-04-25,17.79000
2018-04-30,18.06300
2018-05-11,17.95500
2018-05-21,17.33700
2018-05-28,17.67800
2018-06-05,17.01000
2018-06-07,17.32300
2018-06-13,17.43700
2018-06-22,17.27300
2018-06-28,16.77600
2018-07-10,17.26000
2018-07-16,16.94400
2018-07-19,16.90600
2018-07-30,17.55600
2018-08-09,17.70100
2018-08-13,17.39700
2018-08-21,17.71200
2018-08-31,17.91100
2018-09-05,17.63200
2018-09-14,17.71100
2018-09-24,16.88300
2018-10-08,16.08200
2018-10-15,16.43700
2018-10-23,16.06200
2018-10-26,15.98400
2018-11-02,16.73900
2018-11-12,16.65700
2018-11-19,16.93200
2018-12-03,17.03300
2018-12-10,16.50800
2018-12-13,16.93800
2018-12-19,17.18900
2018-12-27,16.93800
2019-01-03,16.92200
2019-01-10,17.09900
2019-01-21,17.13800
2019-01-29,16.69000
2019-02-01,17.02100
2019-02-15,16.54100
2019-02-19,16.43800
2019-02-28,16.78900
2019-03-05,17.20900
2019-03-12,17.73000
2019-03-25,17.66800
2019-04-01,18.23000
2019-04-04,18.06000
2019-04-16,18.14100
2019-04-22,17.84200
2019-05-03,17.74600
2019-05-13,17.05300
2019-05-16,17.11000
2019-05-27,18.24600
2019-06-03,18.34000
2019-06-10,18.07600
2019-06-17,17.79900
2019-06-26,18.09100
2019-07-04,18.23700
2019-07-10,17.67800
2019-07-17,17.84800
2019-07-24,17.29700
2019-08-05,16.53800
2019-08-09,16.98700
2019-08-22,16.47300
2019-08-27,17.01000
2019-09-03,16.70100
2019-09-17,16.87900
2019-09-23,17.92200
2019-09-30,17.75000
2019-10-07,17.20200
2019-10-18,17.78200
2019-10-25,17.68200
2019-10-31,18.10700
2019-11-13,17.90800
2019-11-21,18.00100
2019-11-28,18.22700
2019-12-03,18.04000
2019-12-11,17.81800
2019-12-13,18.03800
2019-12-26,18.12800
2020-01-02,18.46300
2020-01-08,18.18700
2020-01-17,18.86900
2020-01-22,18.63400
2020-02-03,18.14300
2020-02-06,18.69900
