# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:34:51.366934+00:00
date,nav
2021-08-20,9.99050
2021-08-24,10.09430
2021-08-26,10.07260
2021-08-31,10.43980
2021-09-01,10.42280
2021-09-06,10.59460
2021-09-09,10.59120
2021-09-15,10.77410
2021-09-20,10.60810
2021-09-21,10.72450
2021-09-23,10.89040
2021-09-28,10.83090
2021-10-01,10.81160
2021-10-05,10.99160
2021-10-08,10.98190
2021-10-13,11.25780
2021-10-18,11.41560
2021-10-20,11.16520
2021-10-25,10.98140
2021-10-27,11.08450
2021-10-29,10.81520
2021-11-08,11.11850
2021-11-11,10.99760
2021-11-12,11.10810
2021-11-17,11.02180
2021-11-22,10.68210
2021-11-25,10.76110
2021-11-29,10.40900
2021-12-02,10.62020
2021-12-06,10.34550
2021-12-09,10.69070
2021-12-14,10.62740
2021-12-16,10.56270
2021-12-20,10.15410
2021-12-23,10.46040
2021-12-27,10.44240
2021-12-30,10.55420
2022-01-05,10.96720
2022-01-06,10.90480
2022-01-10,11.05420
2022-01-13,11.19610
2022-01-17,11.24040
2022-01-20,10.93270
2022-01-24,10.52080
2022-01-28,10.59200
2022-02-02,10.96700
2022-02-07,10.68380
2022-02-10,10.91130
2022-02-14,10.45350
2022-02-15,10.74720
2022-02-18,10.71550
2022-02-24,10.03440
2022-02-28,10.42810
2022-03-04,10.12020
2022-03-07,9.95210
2022-03-10,10.31850
2022-03-15,10.33290
2022-03-17,10.71280
2022-03-24,10.67680
2022-03-25,10.62480
2022-03-31,10.73400
2022-04-04,11.03540
2022-04-07,10.96950
2022-04-08,11.08810
2022-04-12,10.95030
2022-04-19,10.73220
2022-04-21,10.99100
2022-04-27,10.73260
2022-04-28,10.86520
2022-05-04,10.48970
2022-05-10,10.18000
2022-05-12,9.90760
2022-05-17,10.22160
2022-05-19,9.96230
2022-05-20,10.21870
2022-05-25,9.99290
2022-05-30,10.35680
2022-06-02,10.33830
2022-06-07,10.13910
2022-06-09,10.17470
2022-06-13,9.84610
2022-06-17,9.48970
2022-06-21,9.68520
2022-06-22,9.53900
2022-06-27,9.86460
2022-06-30,9.78660
2022-07-05,9.87720
2022-07-07,10.11970
2022-07-11,10.18730
2022-07-14,10.06730
2022-07-18,10.28190
2022-07-22,10.54420
2022-07-26,10.42680
2022-07-29,10.86770
2022-08-01,10.99060
2022-08-05,11.01560
2022-08-08,11.06770
2022-08-12,11.16170
2022-08-18,11.35590
2022-08-22,11.03010
2022-08-24,11.14950
2022-08-29,11.05920
2022-09-01,11.22570
2022-09-07,11.27800
2022-09-08,11.36730
2022-09-13,11.53870
2022-09-16,11.21830
2022-09-20,11.43080
2022-09-26,10.88160
2022-09-28,10.81920
2022-10-03,10.82790
2022-10-06,11.10110
2022-10-11,10.84560
2022-10-12,10.95120
2022-10-14,10.93760
2022-10-20,11.14220
2022-10-21,11.13980
2022-10-31,11.42940
2022-11-01,11.54660
2022-11-07,11.59160
2022-11-10,11.44630
2022-11-15,11.63040
2022-11-18,11.49190
2022-11-21,11.42320
2022-11-24,11.62790
2022-11-30,11.82920
2022-12-01,11.86990
2022-12-05,11.84880
2022-12-09,11.68030
2022-12-14,11.81580
2022-12-16,11.57510
2022-12-19,11.69070
2022-12-23,11.25050
2022-12-27,11.45980
2022-12-29,11.49030
2023-01-03,11.53780
2023-01-06,11.36300
2023-01-09,11.49370
2023-01-12,11.37520
2023-01-18,11.53890
2023-01-20,11.43040
2023-01-24,11.46570
2023-01-27,11.22380
2023-02-02,11.04250
2023-02-03,11.15310
2023-02-07,11.09650
2023-02-13,11.14740
2023-02-16,11.30870
2023-02-20,11.20770
2023-02-22,11.01760
2023-02-28,10.84170
2023-03-02,10.89810
