# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:50.557810+00:00
date,fund_below_high,benchmark_below_high
2021-11-03,0.000000,
2021-11-09,0.000000,
2021-11-11,-0.004190,
2021-11-15,0.000000,
2021-11-17,-0.002716,
2021-11-22,-0.035012,
2021-11-25,-0.017376,
2021-11-29,-0.056176,
2021-12-02,-0.043748,
2021-12-06,-0.064090,
2021-12-08,-0.037554,
2021-12-14,-0.033398,
2021-12-16,-0.044647,
2021-12-20,-0.092966,
2021-12-23,-0.053499,
2021-12-24,-0.063317,
2021-12-30,-0.061288,
2022-01-03,-0.039573,
2022-01-06,-0.037351,
2022-01-10,-0.029639,
2022-01-11,-0.030074,
2022-01-17,-0.013394,
2022-01-20,-0.031881,
2022-01-24,-0.083379,
2022-01-27,-0.090550,
2022-02-01,-0.056475,
2022-02-02,-0.046493,
2022-02-08,-0.062602,
2022-02-10,-0.048068,
2022-02-14,-0.093111,
2022-02-17,-0.070488,
2022-02-21,-0.092560,
2022-02-24,-0.137902,
2022-02-28,-0.095507,
2022-03-03,-0.096483,
2022-03-07,-0.141565,
2022-03-10,-0.097972,
2022-03-15,-0.105268,
2022-03-17,-0.071812,
2022-03-21,-0.083592,
2022-03-24,-0.078364,
2022-03-28,-0.080886,
2022-03-31,-0.070265,
2022-04-04,-0.041042,
2022-04-07,-0.032557,
2022-04-11,-0.008098,
2022-04-19,-0.039167,
2022-04-21,-0.022130,
2022-04-25,-0.048406,
2022-04-28,-0.025851,
2022-05-02,-0.041748,
2022-05-04,-0.069183,
2022-05-10,-0.124644,
2022-05-13,-0.151209,
2022-05-17,-0.116632,
2022-05-19,-0.140270,
2022-05-20,-0.127485,
2022-05-25,-0.156863,
2022-05-30,-0.119019,
2022-06-02,-0.121918,
2022-06-07,-0.144271,
2022-06-09,-0.140077,
2022-06-13,-0.166304,
2022-06-15,-0.161869,
2022-06-20,-0.198291,
2022-06-21,-0.176239,
2022-06-27,-0.164797,
2022-06-29,-0.169464,
2022-06-30,-0.172982,
2022-07-05,-0.155075,
2022-07-11,-0.117347,
2022-07-13,-0.120614,
2022-07-15,-0.117579,
2022-07-19,-0.101509,
2022-07-21,-0.086539,
2022-07-26,-0.102291,
2022-07-29,-0.072701,
